indicator_id,url,title,publisher,published,brief,why_not
gov.policy--data-localisation-policies,https://www.ovp.gov.zm/?p=10669,"ZAMBIA, HUAWEI SIGN MOU FOR NATIONAL AI DATA CENTRE AT MOBILE CONGRESS.","Office of the Vice President, Republic of Zambia",2026-05-26,progress,"Over cap (2 progress max) for this indicator; fetched and staged instead as progress rank 1 for gov.policy--data-storage-cloud-strategy, the more directly on-point indicator for a cloud/AI-data-centre MoU. inq/Mezzanine partnership and Infratel storage tender were closer, more direct localisation events for this indicator."
gov.legislate--legislation-covering-digital-id,https://www.parliament.gov.zm/sites/default/files/images/publication_docs/2026%20Budget%20Speech.pdf,2026 Budget Address,Ministry of Finance and National Planning,2025-09-26,progress,Two-item cap: zambiamonitor digitalisation announcement selected instead as more directly topical and fully capturable; the budget address is a very large multi-sector document
gov.legislate--ai-legislation-regulations,https://www.parliament.gov.zm/node/12443,"Wednesday, 25th June, 2025 National Assembly proceedings",National Assembly of Zambia,2025-06-25,baseline,Fetched and considered as baseline; National AI Strategy document selected instead as the primary instrument itself rather than a parliamentary statement about the absence of one; also dated before the progress window
gov.legislate--ai-legislation-regulations,https://www.parliament.gov.zm/node/12759,"Wednesday, 5th November, 2025 National Assembly proceedings (CPA Africa Region Conference report)",National Assembly of Zambia,2025-11-05,progress,"Fetched to roughly 60,000 characters of a long Hansard record; the AI-governance recommendation passage could not be located within reach and could not be verified as genuinely present"
gov.protect--national-data-protection-readiness,https://bidsfactory.com/en/tenders/consultancy-services-for-the-design-development-an-OP00461498,"Consultancy Services for the Design, Development, and Deployment of a Digital Data Protection Compliance Management System",Smart Zambia Institute / DZAP,2026-08-10,progress,"Origin-screen DROP: bidsfactory.com is an excerpt aggregator (World Bank procurement/tender notices); inadmissible-origin, never fetched"
gov.protect--national-data-protection-readiness,https://bidsfactory.com/en/tenders/consultancy-services-for-the-review-and-developmen-OP00461500,Consultancy Services for the Review and Development of National Data Protection Guidelines and Compliance Frameworks,Smart Zambia Institute / DZAP,2026-08-10,progress,"Origin-screen DROP: bidsfactory.com is an excerpt aggregator; inadmissible-origin, never fetched"
gov.regional--regional-legal-harmonisation,https://sadc.int/sites/default/files/2026-08/PRELIMINARY%20STATEMENT%20-%20SEOM%20ZAMBIA.pdf,Preliminary Statement - SADC Electoral Observation Mission to Zambia,SADC,2026-08-15,progress,"DUP-EXACT against raw-url-index.py: already admitted at raw/2026/2026-08-15-zambia-sadc-eom-preliminary-statement-digital-systems.md, never fetched"
gov.regional--regional-legal-harmonisation,https://www.comesa.int/comesa-launches-inaugural-idea-annual-digital-forum-to-drive-inclusive-cross-border-digital-transformation-in-africa/,COMESA Launches Inaugural IDEA Annual Digital Forum,COMESA,2026-07-27,progress,"DUP-EXACT against raw-url-index.py: already admitted at raw/2026/2026-07-27-comesa-idea-annual-digital-forum-launch-lusaka.md, never fetched"
gov.regional--cross-border-data-transfers,https://au.int/sites/default/files/decisions/46188-Assembly_Decisions_31_March_E.pdf,"Decisions, Declarations and Resolutions - 39th AU Assembly",African Union,2026-02-15,progress,"Fetched to 20,000 characters of a very large consolidated decisions document (Dec.942-982); the specific AfCFTA cross-border data-transfer decision (cited by the Agent as Dec.956) could not be located or verified within reach"
gov.standards--national-interoperability-standards,https://www.parliament.gov.zm/sites/default/files/images/publication_docs/2026%20Budget%20Speech.pdf,2026 Budget Address,Ministry of Finance and National Planning,2025-09-26,progress,"Describes ongoing implementation of shared government platforms (Government Service Bus, SmartCare Pro) rather than a new interoperability standard or instrument; weaker significance than the ZNSDI Policy and the Border Management Act within the two-item cap"
