indicator_id,file,brief,rank,why
gov.policy--data-localisation-policies,baseline/2024-01-01-cote-divoire-strategie-nationale-gouvernance-donnees-sngd-2030.md,1,1,"The national data governance strategy is the instrument that states the localisation rule itself - a copy of data generated in Cote d'Ivoire held in the Cloud national or Datacenter National, critical data classed as sovereignty-relevant - and the report's ledger holds news of it but not the document."
gov.policy--data-localisation-policies,progress/2025-12-09-cote-divoire-data-center-national-vitib-chantier-taux-execution.md,2,1,The only in-window movement on the localisation policy's own vehicle: the ministry's dated site visit putting the Data Center National above 20 per cent execution at FCFA 42.361bn. The brief found no new decree or regulator decision imposing localisation in the window.
gov.policy--open-data-policy,baseline/2014-01-01-cote-divoire-initiative-ivoirienne-open-data.md,1,1,"The portal's own founding statement of the policy, naming the CICG as pilot, dating the initiative to 2014 and citing loi n 2013-867 as its legal basis - the closest thing to an enacting instrument, since both briefs established that no standalone Ivorian open-data act exists."
gov.legislate--digital-payments-legislation,progress/2026-02-28-bceao-liste-etablissements-paiement-agrees-umoa.md,2,1,A dated regulator publication with a stated national position: nine licensed payment institutions in Cote d'Ivoire out of thirty-one in the Union under Instruction n 001-01-2024. Baseline is nil because that instruction is already held in the base under XWA.
gov.legislate--digital-payments-legislation,progress/2026-04-29-civ-conseil-des-ministres-projet-loi-reglementation-bancaire-fintech.md,2,2,"A distinct national event: the Council of Ministers adopting a banking-regulation bill that expressly brings FinTech firms and electronic-money operations into the national perimeter, which the communique says the current law does not cover."
gov.legislate--legislation-enabling-data-interoperability,baseline/2017-08-02-civ-ordonnance-2017-500-echanges-electroniques-autorites-administratives.md,1,1,"The enacting statute itself: chapter V mandates the referentiel general d'interoperabilite and a state interoperability platform all administrative authorities must connect to, and articles 25-26 bar re-demanding data already produced. Statute beats the 2024 amending ordinance and the news of it."
gov.legislate--legislation-enabling-data-interoperability,progress/2025-09-25-cote-divoire-lancement-plateforme-interoperabilite-administration.md,2,1,"A completed step, not an intention: the ministry's own record of the launch of the platform article 20 of the ordinance requires, naming UXP, the SNDI and twelve pilot structures."
gov.legislate--legislation-enabling-data-interoperability,progress/2026-01-17-cote-divoire-oneci-la-poste-application-maposte-nni-rnpp.md,2,2,"A distinct later event: the state's reference identity, the NNI on the RNPP, put to work across institutions to request and track civil-status documents, the criminal record and residence certificates."
gov.legislate--statistics-legislation,baseline/2025-06-18-civ-conseil-des-ministres-decrets-application-loi-systeme-statistique-national.md,1,1,"Names the governing statute - loi n 2020-950 modifying loi n 2013-537 - and records its three implementing decrees on the statistical visa, pricing and administrative-file transfers. Taken as baseline only because the statute's own text on ins.ci could not be fetched by either client."
gov.legislate--statistics-legislation,progress/2025-09-17-cote-divoire-validation-rapport-diagnostic-systeme-statistique-national.md,2,1,The opening dated step of the framework's revision: consensus adoption of the diagnostic report on the national statistical system as the basis for the SNDS 2026-2030.
gov.legislate--statistics-legislation,baseline/2026-05-05-cote-divoire-validation-strategie-nationale-developpement-statistique-2026-2030.md,2,2,"The closing dated step of the same reform and a distinct event: technical validation of the consolidated SNDS 2026-2030 on 30 April 2026, described by the ministry as the last stage before official adoption. Repointed at a sibling slice's baseline file for the same URL - baseline wins."
gov.standards--national-interoperability-standards,progress/2025-09-25-cote-divoire-lancement-plateforme-interoperabilite-administration.md,2,1,"The standard's move into implementation: the referentiel general d'interoperabilite adopted by decret 2021-913 is already held in the base, so the movement, not the instrument, is what this indicator can gain."
gov.standards--national-interoperability-standards,progress/2026-07-22-cote-divoire-cinq-administrations-integrent-plateforme-interoperabilite.md,2,2,"A distinct later event with stated positions: five administrations connected, a target of 100 interoperable services by end-2026 out of 31 judged mature, and the SNDI director general stating the platform itself is already available."
infra.connect--mobile-affordability,baseline/2025-01-01-cote-divoire-dge-telecommunication-prix-moyens-constates.md,1,1,"The most recent authoritative publication of the national price series, and the one that defines its own terms: prix moyens constates from real consumption, 0.33 FCFA per megabyte for mobile data at Q1 2025 against 0.80 in 2020. No in-window regulator decision or new measurement survived, so no progress item is staged."
infra.store--off-site-backup-capacity,baseline/2024-02-16-cote-divoire-lancement-construction-data-center-national.md,1,1,The only document that states an off-site resilience capacity for the state estate: the ministry's launch statement giving the Data Center National's declared specification and its disaster-recovery and business-continuity purpose.
infra.store--off-site-backup-capacity,progress/2025-10-02-cote-divoire-inauguration-data-center-st-digital-vitib.md,2,1,A completed step inside the window: a second Tier III facility commissioned at the VITIB and presented by the ministry as hosting administrations' and firms' strategic data.
infra.store--off-site-backup-capacity,progress/2025-12-09-cote-divoire-data-center-national-vitib-chantier-taux-execution.md,2,2,"A distinct event two months later on the state's own facility, with a stated position: above 20 per cent execution and FCFA 42.361bn of financing. One file, also selected by gov.policy--data-localisation-policies."
infra.energy--grid-reliability,baseline/2024-01-01-cote-divoire-dge-electricite-indicateurs-secteur.md,1,1,"The standing published series: temps moyen de coupure from 44h38 min in 2015 to 17h54 min in 2021 and back up to 26h13 mn in 2024, with system yield at 83.7 per cent. Ivorian primary sources publish TMC rather than SAIDI or SAIFI."
infra.energy--grid-reliability,progress/2026-05-21-cote-divoire-coupures-electricite-politique-maillage-reseau-national.md,2,1,"The government's own dated position on the 2026 outage episode - transmission and distribution loading, not a generation shortfall - with load-shedding described as temporary. Only one progress item is staged because the emergency-programme announcement exists solely as an undated flash line."
infra.energy--rural-electrification,baseline/2024-01-01-cote-divoire-dge-electricite-indicateurs-secteur.md,1,1,"The most recent authoritative publication of the coverage series: 8,690 localities electrified at end-2024, coverage 94.3 per cent on the RGPH 2014 base, access 98.6 per cent, with PRONER and PEPT outturns. One file, also selected by infra.energy--grid-reliability."
infra.energy--rural-electrification,progress/2026-06-05-cote-divoire-bad-approuve-proser-ii-electrification-rurale.md,2,1,"A dated financing decision with stated quantities: 103.14m euros approved on 15 May 2026 for 244 rural localities and over 107,000 household connections, plus the PROSER I outturn."
infra.energy--rural-electrification,progress/2026-03-01-cote-divoire-mission-300-compact-progress-report-q1-2026.md,2,2,"A distinct event and the government's own measurement: 684,735 new household connections in 2025, with four of ten priority reform actions reported delayed - a movement figure and a named obstacle in one primary document."
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2018-01-17-cote-divoire-attributions-direction-systemes-information-fonction-publique.md,1,1,"The state's own statement of an in-house ICT directorate's mandate and structure under decret n 2018-38 - running the SIGFAE, development, network, operations, audit and authorisations. The 2021 decree instituting a DSI in every ministry is already held in the base."
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2026-02-04-cote-divoire-conseil-des-ministres-ratification-pret-padci.md,2,1,"A completed legal step carrying a capacity component: ratification of the 128.6m euro IDA loan for PADCI phase 1, whose stated objects include making the digital agencies and AI governance frameworks operational and developing advanced and intermediate digital skills. Repointed at a sibling slice's file for the same URL."
dpi.exchange--interoperability-of-education-systems,progress/2026-08-25-cote-divoire-numerisation-carte-scolaire-sige.md,2,1,"The only in-window event found that is about education systems exchanging data rather than about the national platform generally: GIS data to be integrated into the existing SIGE for the carte scolaire, ministerially directed 19 August 2026. Secondary source, stated in the note; no MENA publication of the meeting was located. No baseline staged, since the authoritative baseline, the SNDECI 2024-2028, is already held in raw."
dpi.pay--b2b-and-b2g-functionality,baseline/2023-01-01-cote-divoire-tresormoney-contexte-de-creation.md,1,1,"The Treasury's own account of the platform through which the state collects and pays electronically, citing the decree of 6 November 2019 that instituted electronic collection for communes, regions and districts. Chosen over the BCEAO regional instruments because the indicator asks what Cote d'Ivoire itself operates. Undated page; year precision from its copyright line."
dpi.pay--b2b-and-b2g-functionality,progress/2026-05-28-cote-divoire-tresorpay-tresormoney-etablissements-publics-de-sante.md,2,1,"A completed, dated extension of the state payment rail into public health establishments by the DGTCP itself, with the USSD syntax published, the clearest business-to-government or citizen-to-government payment step in the window from an Ivorian primary source."
dpi.pay--b2b-and-b2g-functionality,progress/2026-04-02-uemoa-bceao-communique-connexion-pi-spi.md,2,2,The dated standing position of the interoperable instant payment platform that Ivorian banks and e-money issuers connect to: 80 participants at 2 April 2026 and a 30 June 2026 connection deadline. Distinct event from the Treasury deployment. Regional scope declared in the note; the 30 September 2025 launch list is already held in raw.
dpi.registry--business-register,baseline/2021-01-01-cote-divoire-tribunal-de-commerce-abidjan-fonctionnement-du-rccm.md,1,1,"The register's own operator describing the RCCM, the decree that made the Tribunal de Commerce the national file, the obligation to transmit local files in digital form, and the computerisation of filings. Chosen over the OHADA uniform act because the indicator asks about Cote d'Ivoire's register, and over the INS enterprise directory because that is a statistical repertoire, not the legal register."
dpi.registry--business-register,progress/2026-04-18-cote-divoire-validation-procedures-metier-gucii.md,2,1,"A ministry-published, dated implementation step on an integrated commerce and industry single window, with interoperability named as its purpose by the ministry's own information-systems lead."
dpi.registry--business-register,progress/2026-02-19-cote-divoire-cepici-bilan-2025-26948-entreprises-creees.md,2,2,"The register's published throughput for the year, 26 948 enterprises created in 2025 up 6 per cent, from the CEPICI director general's own annual briefing. Distinct event from the GUCII workshop. No CEPICI bulletin carrying the figure was located, so the national daily is used and that is stated."
dpi.registry--tax-register,baseline/2025-01-01-cote-divoire-bodgi-2025-immatriculation-fichier-des-contribuables.md,1,1,"The DGI's own statement of what the fichier des contribuables is, how the numero de compte contribuable is assigned, and that the 2025 annexe fiscale gave the practice statutory footing. Chosen over the annexe fiscale PDF itself because the capture of that document truncated before the registration provision."
dpi.registry--tax-register,progress/2026-01-01-cote-divoire-bodgi-2026-etats-financiers-transmission-electronique.md,2,1,"The one in-window legal movement on the register's own obligations: electronic-only filing of financial statements for microenterprises from 2027 and for the taxe d'Etat de l'entreprenant from 2028, with the new penalty. Only one progress item selected; no second distinct event with a stated position was found in the window."
dpi.mis--social-protection,progress/2026-01-01-cote-divoire-world-bank-restructuring-paper-productive-social-safety-nets-p175594.md,2,1,"The largest documented movement in the social registry's information system in the window: mass surveys abandoned for on-demand registration, the SWIFT formula to be integrated into the SIG-RSU, guichet and village counts, with the government's request letter dated 3 September 2025."
