indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,SOM-gov.policy-digital-strategy,,,,,,,2026-07-31,0,strategy in finalisation with ITU support; no adopted text on record,
gov.policy--ict-strategy,2,SOM-gov.policy-ict-policy-2019-2024|SOM-gov.policy-digital-strategy,,,,,,,2026-07-31,0,2019-2024 ICT policy expired; national digital strategy in preparation as successor,
gov.policy--broadband-strategy,,,,,,,,,2026-07-31,0,only a backbone feasibility consultancy on record; no broadband plan drafted or adopted,
gov.policy--data-storage-cloud-strategy,2,SOM-infra.store-government-cloud-guidelines,,,,,Government data-hosting and cloud guidelines published,2028-04-30,2026-07-31,0,guidelines a planned project deliverable; none published on the World Bank's June 2026 report,
gov.policy--data-interoperability-framework-roadmap,2,SOM-gov.policy-egovernment-strategy,,,,,,,2026-07-31,0,e-government roadmap names the missing framework and a data-exchange hub as actions; no framework instrument,
gov.policy--data-localisation-policies,,,,,,,,,2026-07-31,0,no row states a localisation or hosting rule; the Data Protection Act's position on location is not recorded,
gov.policy--data-governance-policy,,,,,,,,,2026-07-31,0,data protection instruments held; no national data policy in drafting or adopted on record,
gov.policy--open-data-policy,2,SOM-data.open-open-government-data,,,,,,,2026-07-31,0,portal publishing under CC-BY terms of use; no adopted open data policy on record,
gov.legislate--data-protection-legislation,3,SOM-gov.protect-dp-act|SOM-gov.protect-dp-regulation,,,,,,,2026-07-31,0,"Law in force; the compliance act sits on a row mapped to the DPA indicator, not this one (CC)",
gov.legislate--cybersecurity-legislation,2,SOM-gov.legislate-cybersecurity-law,,,,,,,2026-07-31,0,bill passed by the lower house January 2026; upper-house readings pending at the as-at,
gov.legislate--legislation-covering-digital-id,3,SOM-gov.legislate-id-law-009,,,,,,,2026-07-31,0,law and implementing regulation in force; enrolment rights and grievance applied in practice not on record,
gov.legislate--digital-payments-legislation,3,SOM-gov.legislate-mobile-money-regulations,,,,,,,2026-07-31,0,mobile money regulations in force; no interoperability rules or licences on record; payment system bill unsigned,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-07-31,0,no data-sharing instrument drafted or in force on record; Law 46 covers civil registration only,
gov.legislate--ai-legislation-regulations,,,,,,,,,2026-07-31,0,"only an AI readiness assessment at inception; no gap analysis, guidance or cited absence of AI law",
gov.legislate--e-commerce-legislation,,,,,,,,,2026-07-31,0,only a missing e-commerce strategy on record; no e-transactions law or bill cited either way,
gov.legislate--statistics-legislation,3,SOM-gov.legislate-statistics-law-24,,,,,,,2026-07-31,0,law in force establishing the bureau; statute text not located so Charter principles unverified,
gov.legislate--access-to-information-legislation,2,SOM-gov.legislate-access-to-information-bill,,,,,,,2026-07-31,0,bill before the House of the People since March 2024; not enacted,
gov.protect--data-protection-authority,3,SOM-gov.protect-dpa,,,,,,,2026-07-31,0,constituted 2024 and running registration; no sanction on record and independence qualified by executive powers,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-07-31,0,only row mapped is a WhatsApp request; the law in force sits under the data-protection-legislation rows,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,IGAD comparative study commissioned; no REC model law referenced in a domestic draft on record,
gov.regional--shared-regional-infrastructure,2,SOM-gov.regional-eardip-financing-agreement|SOM-gov.regional-one-network-area,,,,,,,2026-07-31,0,party to a regional cross-border links project and a roaming roadmap; no shared asset in service on record,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-07-31,0,Data Protection Act in force but no row states its transfer provisions,
gov.standards--national-interoperability-standards,,,,,,,,,2026-07-31,0,no standards catalogue drafted or published on record; e-government roadmap notes the framework gap,
gov.standards--national-quality-standards,,,,,,,,,2026-07-31,0,only regulator type approval on record; no national standards body or quality policy cited,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-07-31,0,cyber frameworks reported aligned to international standards; ISO membership and national adoption not on record,
gov.discourse--non-governmental-contribution-to-national-policy,2,SOM-gov.discourse-public-debate-on-digital-policy|SOM-gov.policy-digital-inclusion-policy,,,,,,,2026-07-31,0,ad hoc stakeholder consultations on record; no standing mechanism or requirement,
finance.budget--sustainable-domestic-financing-of-digital-transformation,2,SOM-finance.budget-domestic-budget-appropriations-for-the-d,,,,,,,2026-07-31,0,"digital items financed from the general fund with no dedicated line, fund or programme",
finance.new--mobilisation-of-non-state-finance,1,,0,per cent of GDP,2026,outputs/non-state-finance/SOM-nonstate.csv@2026-02-03,,,2026-07-31,0,no private digital commitment starting 2024–2026 on record,
infra.connect--mobile-penetration,1,,47.9,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,modelled estimate; no survey figure in the 5 years to the as-at,
infra.connect--internet-usage,2,,27.6,% of population,2022,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,survey figure; no primary in the base,
infra.connect--mobile-affordability,3,,4,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,published tariffs; no primary in the base,
infra.connect--national-fibre-backbone,2,SOM-gov.policy-eardip-feasibility-study,,,,,,,2026-07-31,0,backbone routes being designed under a feasibility consultancy; no backbone segment in service on record,
infra.connect--internet-exchange-points,2,SOM-infra.connect-soixp,,,,,,,2026-07-31,0,registered exchange with zero peers on its own 2019 record,
infra.connect--satellite-broadband-licensing-and-availability,3,SOM-infra.connect-starlink,,,,,,,2026-07-31,0,one satellite operator licensed and in service with a reseller; no blanket terminal licensing on record,
infra.store--local-data-centre-capacity-all-providers,2,,0,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-07-31,,,2026-07-31,0,0 of 2 multi-tenant facilities in service at Tier III or above,
infra.store--local-data-centre-capacity-national-providers,4,,100,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-07-31,,,2026-07-31,0,1 of 1 multi-tenant facilities of known ownership nationally owned,
infra.store--off-site-backup-capacity,,,,,,,,,2026-07-31,0,"only the cloud guidelines row mapped; no backup site, plan or cited absence on record",
infra.energy--grid-reliability,4,,1.4039,outages per month,2025,ref:enterprise-surveys-outages@2026-09-24,,,2026-07-31,0,survey figure; no primary in the base,
infra.energy--rural-electrification,1,,24.4,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-07-31,0,survey figure; no primary in the base,
infra.capacity--robustness-of-government-hardware-and-software,,,,,,,,,2026-07-31,0,"only the regulator's own systems on record; core finance, revenue and payroll platforms not described",
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,,,,,,,,,2026-07-31,0,only an IPv6 migration centre on record; no government in-house systems capacity cited,
infra.cybersec--national-cybersecurity-readiness,2,SOM-infra.cybersec-somcirt|SOM-infra.cybersec-cyber-framework,,,,,,,2026-07-31,0,CERT and risk framework launched in 2026; cybersecurity law not in force at the as-at,
dpi.exchange--interoperability-of-health-systems,2,SOM-dpi.exchange-raad-ehr|SOM-dpi.exchange-caafimaad-plus,,,,,,,2026-07-31,0,record systems feeding the federal platform; no national HIE policy or architecture adopted on record,
dpi.exchange--interoperability-of-education-systems,3,SOM-dpi.exchange-hsc-govstack,,,,,,,2026-07-31,0,"certificate system links identity, payments and the examination registry; no shared learner identifier on record",
dpi.exchange--interoperability-of-social-protection-systems,2,SOM-dpi.exchange-usr-spds,,,,,,,2026-07-31,0,registry and delivery platform scaling mobile transfers; registry link to ID or payment provider not stated as in service,
dpi.id--robustness-of-system,3,SOM-dpi.id-eaqoonsi,,,,,,,2026-07-31,0,"credentials issued and legally equivalent to the card; no assurance level, audit or certification published",
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,2026-07-31,0,only a passport row mapped; no evidence on who builds or operates the ID platform,
dpi.id--authentication,3,SOM-dpi.id-hubiye,,,,,,,2026-07-31,0,consent-based verification platform in service; no volume or multi-channel use on record,
dpi.id--digital-id-from-birth,,,,,,,,,2026-07-31,0,digital civil registration piloted in 19 districts; no identifier assigned at birth stated,
dpi.id--interoperability-of-birth-registration-and-digital-id,2,SOM-dpi.registry-crvs,,,,,,,2026-07-31,0,civil registration piloted as the layer beneath legal identity; no exchange with the ID system on record,
dpi.id--use-by-other-systems,2,SOM-dpi.id-id-mandates,,,,,,,2026-07-31,0,"credential required for passports, banking and vehicles; no register shown keyed on the national number",
dpi.pay--governance-role-of-central-bank,3,SOM-dpi.pay-sips,,,,,,,2026-07-31,0,central bank co-owns the national switch; published oversight and consumer dispute function not on record,
dpi.pay--g2p-functionality,3,SOM-dpi.exchange-usr-spds|SOM-dpi.pay-national-payment-system,,,,,,,2026-07-31,0,mobile cash transfers and bulk salary payment in service; no provider choice or stream-wide counts,
dpi.pay--revenue-collection,3,SOM-dpi.pay-digital-revenue-receipts,,,,,,,2026-07-31,0,digital receipts mandated and revenue portal reported; electronic share of revenue not published,
