indicator_id,progress,summary,developments,row_ids
gov.policy--data-governance-policy,Advanced,"A [National Data Governance Policy](2026-07-27-eswatini-validates-national-data-governance-policy) is targeted for completion before end-2026, with government undecided between a standalone law and amendments to existing legislation.","A first national workshop ran in April 2026 and the policy was validated in July, on a procurement issued through a continental alliance in 2025 ([validation](2026-07-27-eswatini-validates-national-data-governance-policy), [workshop](2026-04-30-eswatini-first-national-data-policy-workshop), [procurement](2025-07-25 RFP - Eswatini National Data Policy (Smart Africa))).

The minister told the Senate the completion target and stated that government has not decided between a standalone data-governance law and amendments to what exists; the target was put as aspirational in debate rather than as a statutory deadline ([senate](2026-08-10-eswatini-senate-data-governance-policy)).

That undecided question matters more than the date: the country already has a data protection Act, so whether data governance sits inside it or beside it decides which authority enforces what.",SWZ-gov.policy-datapolicy
gov.policy--ai-strategy,No change,"No [national artificial-intelligence strategy or statute](2026-08-04-eswatini-online-media-publishing-guidelines-2026) is held, and two instruments now carry artificial-intelligence rules while neither is an artificial-intelligence instrument.","The finding is stated in coverage of the online media guidelines: rules on the technology are arriving inside instruments written for something else ([absence](2026-08-04-eswatini-online-media-publishing-guidelines-2026)).

A national fourth-industrial-revolution strategy framed the prime minister's address to a global artificial-intelligence governance dialogue in Geneva ([strategy](2026-07-06-eswatini-champions-human-centred-ai)), so the country argues a position internationally on the strength of an instrument that is not about artificial intelligence either.",SWZ-tech.ai-strategy|SWZ-tech.ai-4ir
gov.legislate--cybersecurity-legislation,Advanced,"[Cybersecurity, critical infrastructure, e-commerce and artificial-intelligence legislation](2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g) was named as forthcoming alongside the capital's smart-city deployment.","The communications regulator publicly stated that cyberbullying is a criminal offence under the computer crime statute ([statement](2026-08-28-eswatini-esccom-cyberbullying-warning)). No prosecution or complaint figure is on the base.

Four instruments were named together in August 2025 ([legislation](2025-08-04-eswatini-ramps-up-tech-reform-legislation-5g)).

None has entered the base since as a draft, a tabling or an enactment. Naming a legislative programme alongside a deployment of 59 camera systems and a fifth-generation network is the sequence worth recording: the deployment is in progress and the four laws that would govern it are a list.",SWZ-gov.legislate-bills|SWZ-gov.discourse-cyberbullying-enforcement-notice
gov.legislate--data-protection-legislation,No change,"The [Data Protection Act 2022](2022-03-04 Eswatini Data Protection Act 2022 (Act No. 5 of 2022)) has been effective since March 2022, and its gazetted text names a Commission while the regulator describes itself as the designated Agency.","The Act was gazetted and took effect on 4 March 2022. The mismatch between the body the statute names and the body describing itself as designated is recorded rather than resolved ([Act](2022-03-04 Eswatini Data Protection Act 2022 (Act No. 5 of 2022))).

The Act is being read in press accounts as exposing online naming and shaming to a substantial penalty; that is an account of legal exposure rather than an enforcement action, and no complaint, ruling or authority statement is held ([exposure](2026-08-16-eswatiniobserver-data-protection-act-online-shaming)).

A statute whose enforcing body is ambiguous on the face of the record is a limit on everything the protection cells below can say.",SWZ-gov.protect-act|SWZ-gov.protect-data-protection-act-online-speech
gov.legislate--e-commerce-legislation,Advanced,"[Online Media Publishing Guidelines 2026](2026-08-04-eswatini-online-media-publishing-guidelines-2026) are stated by the ministry as complete in development, and [restrictions on children reaching harmful content](2026-08-19-times-eswatini-childrens-social-media-access) were raised in the Senate with no instrument behind them.","The ministry stated development of the guidelines is complete, and used the same account to state that implementation, enforcement and oversight of data protection are vested in the regulator rather than itself ([guidelines](2026-08-04-eswatini-online-media-publishing-guidelines-2026)).

A senator asked during a Senate debate what prevents minors reaching harmful content; the answer was that two offices are working together on online-content regulation. No instrument, timetable, age-verification method or definition of harmful content is stated, and no draft is held ([question](2026-08-19-times-eswatini-childrens-social-media-access)).

Guidelines complete but unpublished, and content regulation that exists only as an answer in debate, are the two forms this unit's regulation of platforms takes.",SWZ-gov.legislate-mediaguidelines|SWZ-gov.protect-childrens-social-media-access
gov.protect--data-protection-authority,Advanced,"The authority [opened its first major investigation](2026-06-24-home-affairs-investigated-for-sensitive-data-breach), into a ministry that [published unblurred national identity documents](2026-06-24-home-affairs-investigated-for-sensitive-data-breach) and missed the 72-hour breach-notification duty.","The investigation was opened in June 2026, following an awareness campaign in February and a lender assessment naming digital transformation as key to growth ([investigation](2026-06-24-home-affairs-investigated-for-sensitive-data-breach), [campaign](2026-02-03-eswatini-launches-data-protection-campaign), [assessment](2025-07-31 Eswatini Economic Update - Digital Transformation Key to Unlocking Growth)).

The breach was the ministry's own publication of unblurred identity documents, and it missed the statutory 72-hour notification ([breach](2026-06-24-home-affairs-investigated-for-sensitive-data-breach)).

The ICT ministry stated on the record that implementation, enforcement and oversight are vested in the regulator and not in itself, which settles the mandate question in practice even as the statute's naming of the body remains unresolved ([mandate](2026-08-04-eswatini-online-media-publishing-guidelines-2026)).

A first investigation opening against a government ministry, rather than a private controller, is the strongest single fact about this authority in the record.

The authority has used its powers: [three enforcement notices under section 41 of the Act are published, two in June 2024 against a mobile operator and an insurer and one in March 2025 against the science and technology park](2024-01-01-eswatini-dpa-enforcement). No register of complaints, breach notifications or registered controllers accompanies them.",SWZ-gov.protect-authority|SWZ-gov.protect-breach|SWZ-gov.standards-mandate|SWZ-gov.protect-data-protection-enforcement-notices
gov.protect--national-data-protection-readiness,Advanced,"[Advisory guidelines on health data](2026-07-28-times-eswatini-esccom-health-data-guidelines) went to validation workshops, [sector guidelines](2026-08-11-eswatini-data-protection-financial-sector-breaches) were validated over a week, and [biometric gate passes](2025-07-23-outcry-over-digital-gate-pass-in-schools) were deployed in schools without ministry approval.","Health-data guidelines opened validation workshops in July 2026 ([health](2026-07-28-times-eswatini-esccom-health-data-guidelines)), and sector guidelines were validated at a week-long workshop in August; no breach count, penalty or enforcement action is published behind the regulator's ranking, and the draft guidelines are not held ([sector](2026-08-11-eswatini-data-protection-financial-sector-breaches)).

Some public schools deployed biometric gate passes without education ministry approval, charging about E200 per pupil ([schools](2025-07-23-outcry-over-digital-gate-pass-in-schools)).

Guidelines being validated at sector level while individual schools are already collecting children's biometrics for a fee, unapproved, is the gap between the regime being written and the practice on the ground.",SWZ-gov.protect-health|SWZ-gov.protect-sector-data-protection-guidelines|SWZ-gov.protect-schools
gov.regional--cross-border-data-transfers,Advanced,"[Regional transfers are permitted under conditions](2022-03-04 Eswatini Data Protection Act 2022 (Act No. 5 of 2022)) by the Data Protection Act, while a [United States bilateral health agreement](2026-08-20-von-eswatini-us-health-funding-deal-pathogen-data) has data-sharing terms that remain unpublished.","The Act permits transfers within the regional bloc under conditions, which is an adequacy model written into the statute ([bloc](2022-03-04 Eswatini Data Protection Act 2022 (Act No. 5 of 2022))).

The health memorandum was announced in August 2026. A federal complaint records that the State Department entered into dozens of such bilateral agreements between December 2025 and February 2026, each typically a memorandum plus at least one further data-sharing agreement, that a freedom-of-information request of December 2025 covers this country's agreements, and that the department published a subset of the memoranda in March 2026 and then withdrew public access. The data-sharing terms remain unpublished ([agreement](2026-08-20-von-eswatini-us-health-funding-deal-pathogen-data)).

So the statute governs regional transfers on published conditions and the largest bilateral transfer arrangement runs on terms nobody outside the parties can read.

A regional federated know-your-customer layer is being funded: technical assistance was announced in August 2025 to connect national digital identity systems across 16 member states over the existing regional settlement and immediate-clearing payment systems ([framework](2025-08-22-cross-border-digital-identity-framework)). The announcement is the implementing partners' rather than the regional secretariat's, and names no Eswatini commitment, date or instrument.",SWZ-gov.regional-sadc|SWZ-gov.protect-us-health-data-sharing-agreement|SWZ-gov.regional-regional-federated-ekyc
gov.discourse--open-discussion-of-government-policy,Advanced,"The prime minister [first dismissed a memorandum with a hyperscaler, then acknowledged in writing that Cabinet had approved it](2026-04-13-the-real-google-problem-in-eswatini-is-not-the-mou).","A former minister defended the memorandum publicly and the attorney-general confirmed that Cabinet and legal consultation preceded signature ([defence](2026-04-10-former-minister-defends-google-mou), [account](2026-04-13-the-real-google-problem-in-eswatini-is-not-the-mou)).

The published analysis argues the memorandum was not the real problem. What the exchange establishes for this frame is narrower and sufficient: a head of government publicly denied and then confirmed the existence of an approved instrument, in writing, and that correction happened because the question was pressed in public.",SWZ-gov.discourse-google
finance.new--development-partner-project-financing,Advanced,"More than [E1.06bn of lender financing was approved](2026-07-19-eswatini-1-06-billion-world-bank-digital-funding) for a digital project, reported at US$65m, after the opportunity was [noted as absent from the prime minister year-end statement](2026-01-04-the-absent-agenda-eswatini-digital-imperative).","The financing was approved in mid-2026 and converted in the source at E16.37 to the dollar; the ministry's own quarterly report behind it is not held ([financing](2026-07-19-eswatini-1-06-billion-world-bank-digital-funding), [appraisal](2026-06-08-worldbank-padhi01184-digital-eswatini-project), [project](2026-06-15-wb-swz-001-digital-eswatini-project)).

A commentary in January 2026 noted the digital-transformation opportunity as omitted from the prime minister's 2025 year-end statement ([omission](2026-01-04-the-absent-agenda-eswatini-digital-imperative)).

The project is the vehicle for the electronic identity, the public-institution connectivity target, the short-code service access and the change-agent training recorded separately — so one operation carries most of the forward programme.",SWZ-finance.new-digitalproject|SWZ-finance.new-opportunity
