indicator_id,file,brief,rank,why
gov.policy--broadband-strategy,baseline/2019-10-31-liberia-mopt-national-ict-policy-2019-2024.md,1,1,The Cabinet-approved national ICT policy is the only adopted Liberian instrument carrying broadband and universal-access targets; Liberia has no separately titled national broadband strategy.
gov.policy--broadband-strategy,progress/2026-04-08-liberia-national-infrastructure-conference-2026-report.md,2,1,"The 2026-2029 infrastructure roadmap commits MoPT and the LTA to roll out a national broadband expansion plan in years 2-4, the only in-window governmental commitment to a broadband plan found."
gov.policy--data-storage-cloud-strategy,baseline/2026-02-16-liberia-worldbank-wardip-sop2-project-appraisal-document.md,1,1,"Liberia has no adopted cloud or data-centre strategy; this appraisal document sets the operative hosting rule for qualifying government workloads (commercial or sovereign cloud, or Tier III colocation) and funds the policy and legal foundations for data residency."
gov.policy--data-storage-cloud-strategy,progress/2026-02-13-liberia-great-project-procurement-plan.md,2,1,"Records the National Data Center and shared digital infrastructure requirements-and-bidding-document consultancy as signed, a completed procurement step toward national government hosting. File already staged by a sibling slice."
gov.policy--data-interoperability-framework-roadmap,baseline/2026-07-17-liberia-otdi-terms-of-reference-executive-order-163.md,1,1,"The instrument that assigns responsibility for the Government Interoperability Framework and its data-exchange standards; Liberia's framework is mandated and under development, not published."
gov.policy--data-interoperability-framework-roadmap,progress/2026-04-28-liberia-executive-order-163-otdi-national-digitalization.md,2,1,Executive Order 163 creates the framework duty and a 180-day deadline for the roadmap and the first framework releases — the decisive in-window movement.
gov.policy--data-interoperability-framework-roadmap,progress/2025-09-10-liberia-moe-au-iped-emis-modernisation-roadmap.md,2,2,"A distinct, completed sectoral event: a costed three-year EMIS roadmap adopted with national unique Learner and Teacher IDs for cross-system integration."
gov.policy--data-localisation-policies,baseline/2020-01-08-liberia-cbl-e-payment-services-regulations-2020.md,1,1,"The only binding, Gazette-published Liberian localisation rule found: section 9(c) requires the payment system to be hosted locally, with an offshore option conditioned on prompt information supply and unfettered CBL access."
gov.policy--data-localisation-policies,progress/2025-12-11-liberia-mopt-wardip-sop2-esmf.md,2,1,The adopted WARDIP-SOP2 framework gives effect to a sovereign multi-cloud component tying data sovereignty to controlled cross-border exchange. File already staged by a sibling slice.
gov.policy--open-data-policy,baseline/2010-01-01-liberia-freedom-of-information-act-2010.md,1,1,"Liberia has no adopted standalone open data policy; the FOI Act's publication-scheme sections are the standing statutory basis for proactive publication of legislation, budgets, accounts and material contracts."
gov.policy--open-data-policy,progress/2025-09-25-liberia-ogp-irm-action-plan-review-2024-2026.md,2,1,"The in-window independent assessment of the action plan that has carried Liberia's open-data commitments, and the only dated authoritative position on them inside the window."
gov.policy--open-data-policy,progress/2026-02-01-liberia-lisgis-wen-survey-2024-public-use-dataset.md,2,2,"A distinct event: LISGIS released an anonymised Public Use Dataset on its own microdata portal, open-data practice in the absence of a policy."
gov.legislate--legislation-covering-digital-id,baseline/2011-08-08-liberia-national-identification-registry-act-2011.md,1,1,The enacting statute itself: it creates the National Identification Registry and the National Biometric Identification System and makes the unique identifying number the primary government identity number. Still the operative foundation.
gov.legislate--legislation-enabling-data-interoperability,baseline/2025-04-01-liberia-executive-order-147-mandatory-nbis-enrollment.md,1,1,"The clearest operative instrument compelling cross-agency data sharing: it requires every public and private institution to use the NIR database, Identity Query Portal and e-Verification platform, naming the LRA, health, education, immigration, transport and telecom bodies."
gov.legislate--legislation-enabling-data-interoperability,progress/2026-04-28-liberia-executive-order-163-otdi-national-digitalization.md,2,1,"Executive Order 163 mandates secure data exchange among government systems and a Government Interoperability Framework, the decisive in-window legal movement on interoperability. File also selected for gov.policy--data-interoperability-framework-roadmap."
gov.legislate--ai-legislation-regulations,progress/2025-11-21-undp-liberia-ai-training-for-government.md,2,1,"No AI legislation or regulation exists in Liberia; this is the whole of the in-window movement — a first structured national AI capacity programme for officials, aligned to the AU Continental AI Strategy rather than to any domestic instrument."
gov.legislate--e-commerce-legislation,baseline/2002-06-19-liberia-electronic-transactions-law-chapter-13-title-14.md,1,1,"The only enacted Liberian e-commerce statute: Chapter 13 of Title 14 gives electronic records, contracts and signatures legal effect. No comprehensive e-commerce act has followed."
gov.legislate--e-commerce-legislation,baseline/2025-09-23-cbl-directive-002-2025-routing-government-payments-neps-iips.md,2,1,"A binding in-window instrument compelling all government mobile-money flows through NEPS/IIPS from October and December 2025, with sanctions under the New Payment Systems Law 2014."
gov.legislate--statistics-legislation,baseline/2004-07-01-liberia-national-statistics-and-geo-information-act-2004.md,1,1,"The operative statute itself, Chapter 50A creating LISGIS and its power to demand information from any ministry or agency; no repealing or amending Act was located."
gov.legislate--statistics-legislation,progress/2026-06-29-liberia-hor-summons-nec-lisgis-constitutional-threshold.md,2,1,No amendment to the Act moved inside the window; the House summoning LISGIS to justify the population benchmarks for a 73-to-87-seat expansion is the live legislative test of its statutory role.
gov.regional--regional-legal-harmonisation,baseline/2008-05-01-mru-consolidated-protocols-mano-river-declaration.md,1,1,"The consolidated MRU treaty framework binding Liberia, whose Second Protocol sets the adoption, ratification, deposit and registration procedure by which Union protocols acquire force in member states. The instrument itself, not commentary on it."
gov.regional--regional-legal-harmonisation,progress/2025-11-05-ecowas-sigmat-launch-cote-divoire-guinea-liberia.md,2,1,"Liberia joined the ECOWAS Interconnected System for the Management of Goods in Transit at a Monrovia launch on 31 October 2025, interconnecting its customs system with Guinea and Cote d'Ivoire under the ECOWAS Community Transit regime. A completed step, published by the issuing body."
gov.regional--regional-legal-harmonisation,progress/2026-06-23-ecowas-south-centre-lra-nra-simultaneous-tax-examination-mou.md,2,2,"A distinct later event: the LRA-NRA memorandum signed in Abuja on 22 June 2026 operationalises the ECOWAS Supplementary Act on Mutual Administrative Assistance in Tax Matters, turning a regional legal commitment into administrative action."
gov.standards--national-interoperability-standards,baseline/2026-07-17-liberia-otdi-terms-of-reference-executive-order-163.md,1,1,"The instrument naming OTDI the Executive Branch interoperability-standards authority and requiring a first release of a Government Interoperability Framework, with data-exchange, API and system-integration standards, within 180 days of EO 163. It establishes that the framework itself does not yet exist."
gov.standards--national-interoperability-standards,progress/2026-04-28-liberia-executive-order-163-otdi-national-digitalization.md,2,1,"Executive Order No. 163, signed 22 April 2026, creates the mandate and the 180-day deadline for the Government Interoperability Framework and a Technical Clearance gate on major ICT investments."
gov.standards--national-interoperability-standards,baseline/2025-09-23-cbl-directive-002-2025-routing-government-payments-neps-iips.md,2,2,"A distinct event: the Central Bank made routing through the national switch compulsory for all government-to-person and person-to-government mobile money from October and December 2025, making technical integration with NEPS/IIPS a mandatory interoperability requirement."
gov.standards--national-quality-standards,baseline/2022-08-05-liberia-act-establishing-liberia-standards-authority.md,1,1,"The enacting statute creating the Liberia Standards Authority as the apex national standards body, grounded expressly in the ECOWAS quality infrastructure and WTO TBT obligations. A statute beats a summary; captured as an excerpt because the scan defeated full extraction."
gov.standards--national-quality-standards,progress/2026-02-19-liberia-boakai-commissions-liberia-standards-authority-quality-laboratory.md,2,1,"The Authority's quality laboratory and quality mark were commissioned on 19 February 2026, moving the body from statute into operating testing, conformity assessment and metrology."
gov.standards--national-quality-standards,progress/2026-07-17-liberia-lisa-nationwide-surveillance-construction-materials.md,2,2,"A distinct later event: the first nationwide market surveillance, testing cement, rebar, roofing sheets and nails against national standards, with a National Technical Working Committee inaugurated. Enforcement rather than institution-building."
gov.standards--adoption-of-international-standards,baseline/2023-12-01-liberia-lta-national-numbering-plan.md,1,1,"The operative Liberian instrument that adopts ITU-T Recommendations E.164 and E.212, i.e. an international standard given domestic legal effect by the regulator, rather than a membership record."
gov.standards--adoption-of-international-standards,progress/2026-04-21-liberia-launches-e-phyto-system-agricultural-trade.md,2,1,"Liberia launched the IPPC/FAO ePhyto electronic phytosanitary certificate exchange on 20 April 2026 under the Regional ePhyto Africa Window, adopting an internationally recognised digital standard in support of the WTO Trade Facilitation Agreement."
gov.standards--adoption-of-international-standards,progress/2026-02-19-liberia-boakai-commissions-liberia-standards-authority-quality-laboratory.md,2,2,Second selection of one file: commissioning the LiSA quality laboratory operationalises the conformity-assessment machinery through which adopted international and ECOWAS standards are actually applied and enforced.
gov.discourse--non-governmental-contribution-to-national-policy,baseline/2007-01-01-liberia-telecommunications-act-2007.md,1,1,"Sections 7(1) and 11(4) impose Liberia's clearest binding consultation duty, requiring the Ministry and the LTA to consult publicly and take account of the results before adopting policy or exercising authority of substantial sector impact. No general cross-government consultation statute was found."
gov.discourse--non-governmental-contribution-to-national-policy,progress/2026-02-23-liberia-lta-consultation-document-satellite-communications-guidelines.md,2,1,"A dated, published instance of that duty operating: consultation opened 23 February 2026 under the LTA's 2009 Consultation Guidelines, with a public forum on 5 March, comments to 9 March and a published consultation report scheduled for 12 March."
gov.discourse--non-governmental-contribution-to-national-policy,progress/2025-11-14-liberia-national-data-policy-multistakeholder-consultation-au.md,2,2,"A distinct event: a two-day multi-stakeholder consultation on 13-14 November 2025 brought civil society, academia, the private sector and the media into the drafting of the National Data Policy, with the EU delegation head urging the participatory approach be retained."
finance.budget--sustainable-domestic-financing-of-digital-transformation,baseline/2015-09-01-liberia-lta-universal-access-fund-regulations-reg-0006.md,1,1,"LTA-REG-0006 is the operative domestic financing mechanism itself: a 0.5 per cent levy on licensee gross revenues, provision for national-budget contributions, annual legislative approval for disbursement and audited accounts. No consolidated domestic digital appropriation figure is published anywhere."
finance.budget--sustainable-domestic-financing-of-digital-transformation,progress/2026-04-07-liberia-imf-country-report-26-98-third-ecf-review-rsf.md,2,1,"Records the closing of a US$10m FY2026 fiscal gap through prior actions including the GST rise from 12 to 13 per cent, and ties further domestic revenue to VAT roll-out preparations, i.e. the fiscal space any domestically financed digital programme comes from."
finance.budget--sustainable-domestic-financing-of-digital-transformation,progress/2026-04-07-liberia-lra-adjustment-goods-and-services-tax-rates.md,2,2,"A distinct event by a different body: the revenue authority's own notice of the enacted GST change effective 1 May 2026, with telecommunications held at 15 per cent."
finance.mou--strategic-relationships,baseline/2024-09-24-liberia-cybaston-five-year-digital-fast-track-agreement.md,1,1,"The government's own record of the standing five-year master service framework agreement for the Digital Fast Track programme: undersea capacity to 1 Tbps, a scalable data centre for consolidated e-government, a security operations centre and a CSIRT, with handover to the Ministry in September 2029. The largest standing digital relationship the report does not already hold."
finance.mou--strategic-relationships,progress/2025-11-05-undp-orange-liberia-mou-digital-transformation-youth.md,2,1,"A signed public-private memorandum of 5 November 2025 on digital literacy, entrepreneurship and innovation hubs, and digital inclusion beyond Monrovia, published by one of the signatories."
finance.mou--strategic-relationships,progress/2026-05-26-liberia-digital-village-program-lofa-huawei-partnership.md,2,2,"A distinct event: Liberia's first Digital Village launched in Lofa County under a Ministry/LTA/Huawei strategic partnership, the government's own record of a relationship with no published instrument."
infra.connect--mobile-affordability,baseline/2026-04-01-liberia-lta-sector-trends-at-a-glance-data-snapshot-2025.md,1,1,"The most recent authoritative publication of the series: the regulator's own 5GB basket at US$8 flat across 2023-2025 against monthly incomes of US$59, US$63 and US$66, giving 13.6, 12.7 and 12.1 per cent against the 2 per cent benchmark, with a US$1.32 threshold price."
infra.connect--mobile-affordability,progress/2026-02-20-liberia-ghana-sierra-leone-ecowas-free-roaming-agreement-lta.md,2,1,"The clearest in-window consumer-facing price movement: Liberia, Ghana and Sierra Leone entered the ECOWAS Free Roaming Agreement, removing roaming charges among the three, with the regulator noting implementation still to follow."
infra.connect--mobile-affordability,progress/2026-04-07-liberia-lra-adjustment-goods-and-services-tax-rates.md,2,2,"Second selection of one file: the 2026 tax reform holds telecommunications GST at 15 per cent while the general services rate rises to 13, preserving a high tax component inside the mobile price and moving affordability the wrong way."
infra.connect--internet-exchange-points,baseline/2015-08-02-au-setting-up-and-launching-internet-exchange-point-liberia.md,1,1,"The founding record of the Liberia Internet Exchange Point, launched in Monrovia on 6 August 2015 by the AU Commission with the Ministry under the African Internet Exchange System project. No LIXP licence or establishing regulation exists to prefer over it."
infra.connect--internet-exchange-points,progress/2025-12-05-liberia-lta-strengthen-internet-exchange-point-national-peering-forum.md,2,1,"The regulator's most recent dated statement of the exchange's standing: functional, hosted by CCL, but with governance problems and many ISPs still not peering, alongside upgraded equipment and a new LIXPA leadership. Only one progress item survived; the cap is a maximum."
