indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,ZAF-dpi.govtech-roadmap,,,,,,,2026-07-31,0,"Cabinet-approved roadmap in force; no costed plan, budget lines or M&E report against it on record",
gov.policy--broadband-strategy,,,,,,,,,2026-07-31,0,Only the IMT spectrum roadmap under consultation; no national broadband plan in these rows,
gov.policy--data-storage-cloud-strategy,3,ZAF-gov.protect-data-cloud-policy,,,,,,,2026-07-31,0,"Policy gazetted 2024; no hosting classification, designated government cloud or migration act on record",
gov.policy--data-interoperability-framework-roadmap,2,ZAF-dpi.exchange-mzansixchange,,,,,,,2026-07-31,0,Interoperability standards a deliverable of the MzansiXchange pilot; no adopted framework,
gov.policy--ai-strategy,2,ZAF-gov.policy-ai-policy,,,,,,,2026-07-31,0,Draft policy gazetted for comment then withdrawn in April 2026; redraft under way,
gov.policy--data-localisation-policies,2,ZAF-gov.protect-data-cloud-policy,,,,,,,2026-07-31,0,Data and Cloud Policy in force asserts sovereignty; categorisation of localised data not shown in the rows,
gov.policy--data-governance-policy,3,ZAF-gov.protect-data-cloud-policy,,,,,,,2026-07-31,0,National policy gazetted; no data governance owner or implementing instruments on record,
gov.policy--open-data-policy,,,,,,,,,2026-07-31,0,Only a research open-science policy on record; no government open data policy,
gov.legislate--data-protection-legislation,3,ZAF-gov.protect-popia-health-information-regulations,,,,,,,2026-07-31,0,"POPIA in force with health regulations; enforcement sits under the authority indicator, not these rows",
gov.legislate--cybersecurity-legislation,3,ZAF-gov.legislate-cybercrimes-act-in-force,,,,,,,2026-07-31,0,"Cybercrimes Act in force, held as an excerpt; regulations, institutions and prosecutions not on record",
gov.legislate--legislation-covering-digital-id,3,ZAF-dpi.id-draft-regulations,,,,,,,2026-07-31,0,Identification Regulations in force and being amended; NIR Bill before Parliament; data-protection linkage contested,
gov.legislate--legislation-enabling-data-interoperability,2,ZAF-dpi.exchange-mzansixchange,,,,,,,2026-07-31,0,Draft data-exchange legislation a pilot deliverable; PAMA sets common norms but no data-sharing duty is stated,
gov.legislate--ai-legislation-regulations,,,,,,,,,2026-07-31,0,Not-held row covers state automated decisions only; SAHPRA AI device rules sit under control of AI abuse,
gov.legislate--e-commerce-legislation,3,ZAF-gov.legislate-ecta,,,,,,,2026-07-31,0,"ECTA in force since 2002, held as an excerpt; trust-service accreditation and online consumer enforcement not on record",
gov.legislate--statistics-legislation,3,ZAF-gov.legislate-statistics-act,,,,,,,2026-07-31,0,"Act and 2024 amendment in force; independence, coordination and confidentiality provisions not described in the rows",
gov.legislate--access-to-information-legislation,3,ZAF-gov.legislate-popia-enforcement-notices,,,,,,,2026-07-31,0,PAIA enforcement shown by one source only; procedures and proactive-disclosure duties not on record,
gov.protect--data-protection-authority,3,ZAF-gov.legislate-popia-enforcement-notices|ZAF-gov.protect-breach-portal,,,,,,,2026-07-31,0,Regulator issuing enforcement notices; statutory independence and budget funding not on record,
gov.protect--national-data-protection-readiness,3,ZAF-gov.legislate-breach-notification-rate,,,,,,,2026-07-31,0,Breach notification in use on the regulator's figures; other Guidelines practices and Malabo ratification not on record,
gov.regional--shared-regional-infrastructure,,,,,,,,,2026-07-31,0,Only SADC payment settlement on record here; no regional ICT asset in these rows,
gov.standards--national-interoperability-standards,3,ZAF-dpi.govtech-minimum-interoperability-standards-and,,,,,,,2026-07-31,0,MIOS revision 6 issued by the state IT agency; mandate and conformance testing not on record,
gov.standards--national-quality-standards,3,ZAF-gov.standards-digital-public-services-standard|ZAF-gov.standards-sabs-biometric-standards,,,,,,,2026-07-31,0,Digital Public Services Standard in force; no accredited certification of government ICT on record,
