indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,COG-gov.policy-digital-strategy-2030,,,,,,,"Strategy 2030 finalised and awaiting adoption decree; predecessor expired; no adoption instrument on record",0,
gov.policy--ict-strategy,3,COG-gov.policy-strategie-economie-numerique-2019,,,,,,,"Digital economy strategy approved by Decret 2019-150; no implementation plan or reporting on record",0,
gov.policy--broadband-strategy,,,,,,,,,"No broadband plan or its absence on record; the 2019 digital economy strategy shows no broadband targets",0,
gov.policy--data-storage-cloud-strategy,2,COG-infra.store-sovereign-data-centre|COG-infra.store-data-centre,,,,,,,"National data centre built and sovereign hosting named in a roadmap; no hosting policy adopted",0,
gov.policy--data-interoperability-framework-roadmap,2,COG-dpi.exchange-inter-administration-data-exchange,,,,,,,"Exchange platform named in the July 2026 roadmap; no framework instrument on record",0,
gov.policy--ai-strategy,2,COG-gov.policy-artificial-intelligence-strategy|COG-capacity.research-ai-strategy-technical-committee,,,,,,,"Drafting launched and technical committee seated May 2026; no draft text held",0,
gov.policy--data-localisation-policies,,,,,,,,,"Only the data protection law is held; no localisation rule or cited absence on record",0,
gov.policy--data-governance-policy,2,COG-gov.policy-data-governance-strategy,,,,,,,"Strategy in consultation June 2026 on a sponsor's account; no draft or adoption route published",0,
gov.policy--open-data-policy,2,COG-data.open-open-data-portal-or,,,,,,,"Statistics institute portal publishing data; no open data policy or founding instrument on record",0,
gov.legislate--data-protection-legislation,3,COG-gov.protect-loi-n-29-2019,,,,,,,"Loi 29-2019 in force per secondary outlet; commission installed 2026 but no enforcement act on record",0,
gov.legislate--cybersecurity-legislation,,,,,,,,,"Rows hold Malabo ratification and a strategy tender; no cybercrime law or bill on record",0,
gov.legislate--legislation-covering-digital-id,,,,,,,,,"ID system rests on decrees 2004-469 and 2024-2692; no identity law or bill in preparation on record",0,
gov.legislate--digital-payments-legislation,,,,,,,,,"Only a public-revenue payment order held; no payment-systems law or e-money regulation on record",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"No data-sharing instrument on record; exchange platform only named in a roadmap",0,
gov.legislate--ai-legislation-regulations,2,COG-gov.policy-artificial-intelligence-strategy,,,,,,,"January 2026 conferences on AI regulation set priorities; no instrument with legal effect",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"Only e-invoicing decree and orders held; no electronic-transactions law on record",0,
gov.legislate--statistics-legislation,3,COG-data.statistics-loi-36-2018,,,,,,,"Loi 36-2018 in force; Charter principles in its text not shown",0,
gov.legislate--access-to-information-legislation,,,,,,,,,"No access-to-information law or its absence on record",0,
gov.protect--data-protection-authority,3,COG-gov.protect-personal-data-protection-commission,,,,,,,"Commission appointed and inaugural session held January 2026; no registration or guidance or decision on record",0,
gov.protect--national-data-protection-readiness,3,COG-gov.protect-registration-notification-enforcement-regime,,,,,,,"Law in force and commission constituted; no Guidelines practices or enforcement on record",0,
gov.regional--regional-policy-collaboration,2,COG-gov.regional-first-central-african-cybersecurity,,,,,,,"Regional cybersecurity conference co-organised but not confirmed held; no policy-process contribution on record",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Malabo ratified; no REC instrument domesticated in the cyberlaw set on record",0,
gov.regional--shared-regional-infrastructure,,,,,,,,,"Only a regional data-centre feasibility study and the national backbone held; no regional asset in rows",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Rows hold an audit-provider draft and a CEMAC payments standard; no government interoperability standards",0,
gov.standards--national-quality-standards,,,,,,,,,"Rows hold regulator enforcement only; no standards body or quality policy on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"One operator ISO 9001 certificate; no ISO membership or national adoption on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"UNESCO assessment notes limited participation; no consultation or exclusion on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"No record on shutdowns or blocking or press freedom in the rows",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,COG-gov.legislate-tax-newly-imported-sim|COG-finance.budget-posts-telecommunications-digital-economy,,,,,,,"Finance law 2026 earmarks a terminal tax to digital programmes; no yield or execution published",0,
infra.connect--national-fibre-backbone,3,COG-infra.connect-backbone-transferred-state-operator,,,,,,,"Backbone phases one to three in service on the state operator; no open-access terms or length figure",0,
infra.connect--international-internet-bandwidth,2,COG-infra.connect-alternative-submarine-cable-connection,1,routes,2026,2026-01-20-congo-seeks-new-subsea-cable-wacs-failures-connectingafrica,,,"Regulator states reliance on WACS alone; alternative cable not confirmed carrying traffic",0,
infra.connect--internet-exchange-points,3,COG-infra.connect-cgix,,,,,,,"CGIX in service with 4 members and 70 Mb/s on its own undated counters",0,
infra.connect--satellite-broadband-licensing-and-availability,2,COG-data.satellite-low-orbit-satellite-broadband,,,,,,,"Low-orbit regulation in development; no licence or service on record",0,
infra.store--off-site-backup-capacity,,,,,,,,,"No backup or recovery site on record; data-centre sites asserted only after the as-at",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,,,,,,,,,"Only a youth digital-skills target held; nothing on government technical capacity",0,
infra.cybersec--national-cybersecurity-readiness,2,COG-infra.cybersec-information-systems-security-agency|COG-infra.cybersec-cybersecurity-strategy,,,,,,,"Agency by Loi 30-2019 operating; strategy only at tender so stage 3 fails",0,
dpi.exchange--national-data-exchange-system,,,,,,,,,"Platform only named in a roadmap; one point-to-point forest-finance link is no exchange layer",0,
dpi.exchange--use-of-digital-id-in-other-systems,,,,,,,,,"Rows hold ID decrees and a planned exchange platform; no other system using the ID",0,
dpi.exchange--interoperability-of-education-systems,,,,,,,,,"EMIS decreed and exams on a separate platform; no exchange or cited absence on record",0,
dpi.exchange--interoperability-of-social-protection-systems,,,,,,,,,"Only a planned exchange platform held; nothing on social protection links",0,
dpi.id--robustness-of-system,3,COG-dpi.id-numero-identification-unique,,,,,,,"Unique number since 2004 and computerised card decreed 2024; no assurance level or audit on record",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,"Nothing on supplier or operator or contracts of the ID system on record",0,
dpi.id--authentication,2,COG-gov.legislate-signature-electronique,,,,,,,"E-signature decree 2014 in force; no authentication service operating on record",0,
dpi.id--digital-id-from-birth,,,,,,,,,"Civil-status software validated but undeployed; no identifier at birth provided for",0,
dpi.id--interoperability-of-birth-registration-and-digital-id,,,,,,,,,"No linkage between civil register and ID planned or on record",0,
dpi.id--use-by-other-systems,3,COG-dpi.id-unique-identification-number-biometric,,,,,,,"Number mandatory for eight economic and five administrative formalities; no reconciliation on record",0,
dpi.pay--governance-role-of-central-bank,,,,,,,,,"Only a treasury special account held; nothing on the central bank's mandate",0,
dpi.pay--g2p-functionality,,,,,,,,,"Payroll platform running; payment of salaries to accounts not on record",0,
dpi.pay--revenue-collection,3,COG-dpi.pay-public-revenue-payment-platform|COG-dpi.govtech-tax-filing-portal,,,,,,,"Online payment live for large then medium firms; electronic share not published",0,
dpi.pay--b2b-and-b2g-functionality,3,COG-dpi.exchange-cemac-interoperable-qr-code,,,,,,,"Regional interoperable merchant QR live July 2026; no e-procurement or country adoption figure",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,COG-dpi.pay-payment-aggregator-licence,,,,,,,"Licensed aggregator operating across operators and banks; no volumes or agent figures",0,
dpi.pay--cross-border-functionality,3,COG-dpi.pay-gimacpay|COG-dpi.pay-european-remittance-corridor,,,,,,,"Regional switch and a licensed corridor live; no country volumes or costs published",0,
dpi.pay--consumer-protection,,,,,,,,,"Only an aggregator licence held; no consumer-protection rules on record",0,
dpi.registry--population-register,,,,,,,,,"No population register provided for or built on record",0,
dpi.registry--civil-register,2,COG-dpi.registry-integrated-civil-status-system,,,,,,,"Civil-status software built and validated February 2026; deployment unfunded",0,
dpi.registry--address-register,2,COG-dpi.registry-postal-addressing,,,,,,,"Addressing adopted by decree and run by the regulator; not deployed",0,
dpi.registry--business-register,3,COG-dpi.registry-business-register,,,,,,,"Online creation platform launched December 2025; public search and shared identifier not on record",0,
dpi.registry--social-protection-register,2,COG-dpi.registry-social-protection-register,,,,,,,"Single social register being stood up under a World Bank project",0,
dpi.registry--electoral-register,,,,,,,,,"Register permanent and public by statute and used in 2026; digital form not on record",0,
dpi.registry--tax-register,2,COG-dpi.registry-tax-register|COG-dpi.govtech-tax-filing-portal,,,,,,,"Unique number compulsory for taxpayers; register integrity or centralisation not assessed",0,
dpi.registry--land-register,,,,,,,,,"Paper title register under the 2000 statute; no digitisation or cited paper-only statement",0,
dpi.mis--health,,,,,,,,,"Only an obstetric pilot at one centre held; nothing on the HMIS",0,
dpi.mis--education,2,COG-dpi.mis-sige-education,,,,,,,"EMIS instituted by Decret 2023-1751; no census or output on record",0,
dpi.mis--social-protection,,,,,,,,,"Beneficiary figures given at a visit; no programme MIS on record",0,
dpi.mis--justice,2,COG-dpi.mis-justice,,,,,,,"Justice information system described under an earlier project; not in service on record",0,
dpi.mis--tax,3,COG-dpi.govtech-tax-filing-portal|COG-dpi.pay-public-revenue-payment-platform,,,,,,,"E-filing and e-payment available with roll-out by segment; no uptake published",0,
dpi.mis--customs,2,COG-dpi.mis-customs,,,,,,,"Electronic customs system rolled out to officers from 2019; coverage of posts not on record",0,
dpi.mis--land,,,,,,,,,"Departmental land single window decreed; no land information system on record",0,
dpi.govtech--e-government-services,2,COG-dpi.govtech-certified-electronic-invoicing-system|COG-dpi.govtech-digital-roadmap-priority-services,,,,,,,"E-invoicing live and priority services committed; no count of services online",0,
digital.localgov--ict-infrastructure-for-local-government,,,,,,,,,"Only a validated but undeployed revenue platform; nothing on local ICT equipment",0,
digital.localgov--digitalisation-of-local-government-records,2,COG-digital.localgov-local-authority-revenue-dematerialisation,,,,,,,"Central revenue platform validated; not deployed at any local authority",0,
digital.rural--digitalisation-of-rural-health-clinics,,,,,,,,,"Facility assessment validated; no rural clinic digitisation on record",0,
digital.rural--digitalisation-of-rural-primary-schools,2,COG-digital.rural-schools-connectivity,,,,,,,"Two Cuvette schools connected by the universal service fund; no national share",0,
digital.rural--digitalisation-of-rural-registry-offices,,,,,,,,,"Civil-status software undeployed; no rural office pilot on record",0,
