recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
TZA,2026,,Mars Growth Capital,Digital Payments and Fintech,Credit facility,25,commitment,reported,,"Mars Growth Capital (Liquidity/MUFG) — NALA payment-rails credit facility, 2026","""On 28 May 2026, NALA announced it had secured a US$25 million credit facility, which can rise to US$50 million, from Liquidity, a platform backed by Japan's MUFG through Mars Growth Capital."" NALA said the facility will support ""reliable and scalable payment infrastructure across international remittance corridors,"" including stablecoin-linked payment corridors.",,NALA,,,,https://www.eabusinessworld.com/2026/05/29/nala-50m-mufg-payment-infrastructure/,mars-growth-capital,2026-01-01-mars-growth-capital-nala-2026-payment-rails-facility-bw12
TZA,2025,2026,Vodacom Group,Digital Payments and Fintech,Equity,28,commitment,exact,Closed,Vodacom Tanzania M-Pesa Platform Modernisation \u2014 Fintech 2.0,"Vodacom Tanzania PLC completed a $28 million investment to migrate its M-Pesa platform from the legacy G2 system to a next-generation 'Fintech 2.0' platform, announced April 2026. The 15-month project, completed April 2026, modernises Tanzania's leading mobile money platform (30 million customers, ~41% market share, 600,000+ merchants). Key improvements: 1,000+ transactions/second capacity; system updates without service interruption (previously required nightly downtime); enhanced security; faster product deployment. The upgrade is part of a wider $100M modernisation programme announced Sep 2025 (Vodacom Tanzania 25th anniversary). The new platform also supports Tanzania becoming the first African country to enable M-Pesa contactless (tap-to-pay) payments.",Private sector,Vodacom Tanzania PLC,,,,https://www.vodacom.com/news-article.php?articleID=16796,vodacom,2026-01-01-vodacom-tza-mpesa-upgrade-2026-vodacom-tanzania-m-pesa-platform-modernisation-fintech
TZA,2026,,Yas (Yas Tanzania / Yas Fibre),Connectivity,Public-private partnership,114,commitment,reported,,"Yas Fibre — Zanzibar broadband PPP (ZICTIA), 2026","""Valued at approximately 300 billion Tanzanian shillings (US$114.5 million), the 20-year agreement will support a phased rollout designed to accelerate digital transformation and expand fiber infrastructure."" ""Under the agreement, around 100,000 households are expected to be connected to high-speed Internet within the first three years of implementation."" The expanded network is intended to support government services, education, healthcare and business development across the two islands.",,ZICTIA / Zanzibar,"TZS 300,000,000,000 (approx. US$114.5 million, 2026)",,,https://www.connectingafrica.com/partnerships/yas-zictia-to-expand-broadband-access-in-zanzibar,yas-tanzania,2026-01-01-yas-tanzania-tza-2026-zanzibar-broadband-ppp-bw14
TZA,2025,2028,Gates Foundation,Digital Payments and Fintech,Grant,2,commitment,rounded,Active,"Empower Women Enterprises using Data, Digital adoption, and growth loans","To expand financial inclusion for women entrepreneurs in Tanzania and other low- to middle-income countries through digital financial services, collateral-free loans, and gender-responsive data systems.",NGO/CS,Stichting BRAC International,,INV-088713,DAC-1601-INV-088713,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-088713,gates-foundation,2025-01-01-gates-tza-003-empower-women-enterprises-using-data-digital
TZA,2025,2026,Gates Foundation,Digital Payments and Fintech,Grant,1,commitment,exact,Active,Tanzania: Closing the Gender Gap in Collaboration with the BoT,To support Bank of Tanzania's strategic goal of closing the country's financial inclusion gender gap by 2028 by supporting regulator data and gender capacity building and driving women access to and usage of DFS.,NGO/CS,"Financial Sector Deepening, Tanzania",,INV-086559,DAC-1601-INV-086559,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DAC-1601-INV-086559,gates-foundation,2025-01-01-gates-tza-004-tanzania-closing-the-gender-gap-in
TZA,2024,2027,MIGA,Digital Payments and Fintech,Guarantee,40,commitment,exact,Active,Airtel Mobile Money Tanzania \u2013 Digital Financial Services Guarantee,"MIGA guarantee to The Rise Fund II Aurora S.à r.l (TPG) for its equity investment in Airtel Money Tanzania, the latest addition to the $180 million Airtel Mobile Commerce program. MIGA's first contract in Tanzania since 2014. Services: mobile wallet, airtime recharging, bill payments, merchant payments, international transfers. Risks: war and civil disturbance, expropriation, transfer restriction for up to 3 years.",Private sector,Airtel Money Tanzania,,MIGA-14897,,https://www.miga.org/press-release/miga-boost-mobile-money-services-tanzania,miga,2025-01-01-miga-tza-airtel-mobile-money-2025-airtel-mobile-money-tanzania-digital-financial
TZA,2025,,Wingu Africa,Data Storage,Corporate investment,50,commitment,reported,Active,"Wingu Africa — Tanzania (Mbezi) data centre Phase II, 2025","""Wingu Africa has launched the second phase of its data centre in Tanzania, a $50 million investment expected to bolster the country's digital infrastructure… The expanded facility, located in the Mbezi Industrial Area, is now the most connected data centre in Tanzania, with interconnections to 13 operators… The investment adds 80 high-density racks, bringing the total to 110, tailored to the financial and technology sectors."" Tier 3, 99.983% uptime guarantee.",,(recipient org unspecified,,,,https://www.thecitizen.co.tz/tanzania/news/national/tanzania-s-digital-shift-gathers-pace-with-50-million-data-centre-4970620,wingu-africa,2025-01-01-wingu-africa-tza-2025-tanzania-data-centre-phase2-bw02
TZA,2024,,British International Investment,Connectivity,Commercial loan,20,commitment,exact,Active,Helios Towers / TOA Tanzania \u2014 Debt Investment (Telecom Tower Infrastructure),"BII committed $20M to TowerCo of Africa Tanzania (TOA Tanzania), a provider of passive telecom infrastructure, in May 2024. The financing will fund construction of ~200 new telecom sites across Tanzania, increasing coverage in rural areas and bridging the digital divide. Helios Towers is Africa's leading independent telecoms infrastructure company, operating towers on over 14,000 sites and serving 144+ million mobile subscribers across Africa. The investment directly enables mobile internet and data services for underserved rural populations.",Private sector,Helios Towers PLC / TowerCo of Africa Tanzania (TOA Tanzania),,F355301,GB-COH-03877777-F355301-01,https://www.bii.co.uk/en/news-insight/news/toa-tanzania-secures-30-million-investment-from-british-international-investment-to-expand-telecom-infrastructure-and-enhance-connectivity-in-tanzania/,british-international-investment,2024-01-01-bii-tza-001-helios-towers-toa-tanzania-debt-investment
TZA,2024,2027,BMZ,Digital divides,Grant,3,commitment,exact,Active,Digital Center with a focus on Human Rights and Gender Equity Digitalzentrum mit Fokus auf Menschenrechte und Gleichberechtigung,"Context:   The Digital Transformation Centre Tanzania aims to strengthen the expertise in applying digital approaches in the fields of gender equality and human rights among key stakeholders in Tanzania.   Objective:   By tackling local digital transformation challenges and prioritizing participatory processes it bolsters both the economy and society.   Approach:   To achieve this the Digital Transformation Centre amalgamates innovative capacity, technical expertise, IT knowledge, research, and",Government,,"EUR 3,000,000",DE-1-202222214,DE-1-202222214,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=DE-1-202222214,bmz,2024-01-01-bmz-tza-001-digital-center-with-a-focus-on
TZA,2024,2027,European Union,Access to services,Grant,3,commitment,exact,Active,Good Financial Governance Phase (III) in Tanzania,"Contract related to: Good Financial Governance Phase (III) in Tanzania - Building a competitive, inclusive and climate-sensitive economy that responds to the needs of Tanzania¿s growing and young population, calls for an enabling environment with good fiscal governance and more inclusive financial markets that can mobilise and fund increased levels of investments. The Government¿s National Develop",Government,,"EUR 2,700,000",,XI-IATI-EC_INTPA-2024-PC-36283,https://d-portal.org/ctrack.html#view=act&aid=XI-IATI-EC_INTPA-2024-PC-36283,european-union,2024-01-01-ec-tza-010-good-financial-governance-phase-iii-in
