row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
BWA-gov.legislate-ai-legislation,BWA,gov.legislate,Governance,AI legislation or regulations,"an AI Act, or regulations made under an existing statute, with a gazette reference",2026-08-31,
BWA-gov.standards-ipv6-transition-plan,BWA,gov.standards,Governance,National IPv6 transition plan,"a regulator or ministry IPv6 transition plan with a target date, or a published IPv6 adoption percentage for Botswana",,
BWA-finance.budget-audited-outturn-digital-budget,BWA,finance.budget,Finance,Audited outturn for digital budget lines,the Auditor General's report on the accounts of the Government of Botswana for FY2024/25 or FY2025/26,,
BWA-infra.cybersec-cybersecurity-strategy,BWA,infra.cybersec,ICT Infrastructure,National Cybersecurity Strategy,"the strategy document itself, or a gazette notice or ministerial statement giving its date of adoption and version",,
BWA-dpi.registry-national-address-register,BWA,dpi.registry,DPI,National address register,"a national addressing standard or register with a coverage figure, or a ministerial statement that none is planned",2026-08-31,
BWA-capacity.literacy-digital-literacy-measure,BWA,capacity.literacy,Capacity,National digital literacy measure,a dated statistics-office or regulator household ICT survey reporting a digital-literacy or digital-skills rate,,
BWA-include.access-official-internet-penetration-figure,BWA,include.access,Inclusion,Official internet penetration figure,"the regulator's annual report, or a statistics-office household ICT access survey",2026-08-31,
BWA-data.statistics-gambling-statistics,BWA,data.statistics,Data,Gambling participation statistics,"An official participation series, an age breakdown or any independent research establishing who is betting, at what age and with whose money. None is held as the legal betting age is being lowered.",,
BWA-finance.sustain-uasf-receipts-and-disbursements,BWA,finance.sustain,Finance,Universal Access and Service Fund receipts and disbursements,"the fund's audited annual accounts or BOCRA annual-report figures for levy receipts, surplus transfers and disbursements would settle it; probed 2026-09-25, the framework states the sources but no held document gives their scale",2026-09-25,acquisition
BWA-finance.sustain-recurrent-digital-financing-source,BWA,finance.sustain,Finance,Financing source of recurrent digital lines,"the recurrent estimates print no financing column; a statement of whether any recurrent digital spending is externally financed would settle it; probed 2026-09-25, none held",2026-09-25,absence
BWA-geopol.sovereignty-identity-system-source-code-and-exit,BWA,geopol.sovereignty,Geopolitics,State control of identity-system source code and support contracts,"the identity system's support contracts, or a ministry statement on source-code ownership and exit terms, would settle it; probed 2026-09-25, the latest held account is the 2018 ID4D diagnostic",2026-09-25,acquisition
BWA-geopol.sovereignty-adhds-partnership-data-terms,BWA,geopol.sovereignty,Geopolitics,Data terms of the ADHDS health partnership,"publication of the agreement's data-residency, portability and exit clauses would settle it; probed 2026-09-25, neither party's announcement states them",2026-09-25,absence
BWA-geopol.sovereignty-ai-compute-and-model-hosting,BWA,geopol.sovereignty,Geopolitics,Where the state's AI compute and models are hosted,"a national AI policy or strategy addressing hosting, compute and model ownership would settle it; probed 2026-09-25, the policy was still in drafting",2026-09-25,absence
