row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
GHA-infra.energy-data-centre-power-arrangements,GHA,infra.energy,Infrastructure,Data-centre power arrangements,"this subject is effectively empty for the country; probed 2026-08-05, no power purchase or supply arrangement is published; an analyst market brief maps the facilities and their power constraints",2026-08-05,acquisition
GHA-dpi.id-ghana-card-payment-functionality,GHA,dpi.id,Digital public infrastructure,Ghana Card payment functionality,"probed 2026-08-05, trade press reported an activated card wallet in early April 2026 and the issuing authority denied it on 8 April 2026",2026-08-05,contradiction
GHA-digital.localgov-local-government-electronic-services,GHA,digital.localgov,Digital public infrastructure,Local government electronic services,"a district service platform, or a local-government digitisation report, would settle it; probed 2026-08-05, the ministry's programme-based estimates document the district data platform and MMDA integration",2026-08-05,acquisition
GHA-data.open-national-open-data-instrument,GHA,data.open,Governance and regulation,National open-data instrument,"a published policy or a live inventory would settle it; probed 2026-08-05, the 2016 open data policy located; the live inventory exists separately; the 2016 policy acquired on 2026-08-05 turned out to be the GHEITI extractives policy, not a national instrument, so a national open-data instrument remains unestablished",2026-08-05,absence
GHA-geopol.india-ghana-india-technology-cooperation-instrumen,GHA,geopol.india,Artificial intelligence and the technology sector,Ghana-India technology cooperation instrument,"a bilateral memorandum, a line-of-credit record or an Indian vendor contract would settle it; probed 2026-08-05, a joint trade committee discussed a possible digital MoU in May 2024; no signed instrument was located",2026-08-05,absence
GHA-geopol.gulf-ghana-gulf-technology-investment-instrument,GHA,geopol.gulf,Artificial intelligence and the technology sector,Ghana-Gulf technology investment instrument,"a sovereign-fund agreement, or a data-centre or AI memorandum, would settle it; probed 2026-08-05, the May 2025 innovation hub memorandum is reported with a component breakdown but its text is not published",2026-08-05,absence
GHA-include.divides-community-network-licensing-framework,GHA,include.divides,Inclusion and capacity,Community network licensing framework,"a civil-society policy lead places four other African states ahead of Ghana on enabling frameworks; probed 2026-08-05, no dedicated community-network licence exists; the authorised-ISP list defines the classes such a network must fit",2026-08-05,acquisition
GHA-capacity.training-distance-learning-loan-for-tertiary-institut,GHA,capacity.training,Inclusion and capacity,Distance-learning loan for tertiary institutions,"connects satellite campuses to fibre; borrowing terms unknown; probed 2026-08-05, the loan agreement is unpublished; terms appear only in a research database, which is a lead rather than a source",2026-08-05,absence
GHA-capacity.training-distance-learning-loan-for-a-local-governmen,GHA,capacity.training,Inclusion and capacity,Distance-learning loan for a local government institute,"the country announced sovereign default in December 2022; probed 2026-08-05, two attempts surfaced no distance-learning loan to a local-government institute",2026-08-05,absence
GHA-finance.sustain-digital-share,GHA,finance.sustain,Finance,Domestic share of the digital lines,"The 2025 and 2026 programme-based budget volumes for the Office of Government Machinery and the Ministry of the Interior, read into the budget extract, so the identity, Ghana Card and universal-service fund lines carry an appropriated stage beside the Act's; the three years held mix proposed and appropriated stages and yield no share.",2026-09-25,acquisition
GHA-finance.sustain-digital-outturn,GHA,finance.sustain,Finance,Outturn against the digital appropriations,"The Annual Budget Performance Report or the audited public accounts for 2024 or 2025, giving actual expenditure against the digital lines, read into the budget extract.",2026-09-25,acquisition
GHA-finance.sustain-ghana-card-gsa,GHA,finance.sustain,Finance,Ghana Card Government Support Agreement,"Publication of the NIA-IMS partnership agreement and its Government Support Agreement, or an audit of payments made under them.",2026-09-25,absence
GHA-geopol.sovereignty-hosting-rule,GHA,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"Enactment of the Data Protection Bill 2025 with its localisation provisions, or a government cloud or hosting policy fixing where state data is held.",2026-09-25,absence
GHA-geopol.sovereignty-core-system-terms,GHA,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the identity and customs hosting contracts","Publication of the NIA-IMS (Margins ID Group) contract terms and the Ghana Link ICUMS operating and hosting agreement.",2026-09-25,absence
