recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
BFA,2026,,World Bank,Data Exchange,Concessional Loan,120,commitment,reported,Approved,"'World Bank — Burkina Faso Economic Opportunities for Resilience Project, 2026'","""The World Bank approved today a new project in Burkina Faso to expand economic opportunities for vulnerable populations, foster social cohesion, and strengthen the country's social protection system."" ""The project will be implemented over five years and financed through an International Development Association (IDA) credit of $100 million and a $20 million grant from the Sahel Adaptive Social Protection Program."" ""It will support the expanded coverage and use of the social registry; promote its integration with other key databases—including those for internally displaced persons and health insurance—to ensure accurate, efficient, and inclusive identification of beneficiaries.""",Public Sector,Registre Social Unique / Economic Opportunities for Resilience Project,US$100 million IDA credit + US$20 million grant (Sahel Adaptive Social Protection Multi-Donor Trust Fund),P511652,,https://www.worldbank.org/en/news/press-release/2026/07/15/burkina-faso-new-world-bank-financing-to-expand-economic-opportunities-and-strengthen-social-protection-systems,world-bank,2026-06-15-world-bank-bfa-2026-economic-opportunities-resilience
BFA,2025,,Crdi,AI,Grant,1,commitment,reported,Active,"CRDI (IDRC) — CITADEL AI research centre (Burkina Faso), 2025","""Le Centre d'excellence en Intelligence Artificielle pour le Développement (CITADEL) vient de recevoir un financement compétitif international d'1 million de dollars canadiens … octroyé par le Centre de Recherches pour le Développement International (CRDI) … Oui, une version 2 (CITADEL 2.0) débute en Avril 2025, clairement orientée Recherche/Action.""",Research,CITADEL / Université Virtuelle du Burkina Faso,"CAD ≈1,000,000 (CITADEL 2.0)",,,https://lefaso.net/spip.php?article137461,crdi,2025-01-01-crdi-bfa-2025-citadel-ai-research-bw03
BFA,2024,2028,World Bank,Connectivity,Concessional Loan,150,commitment,exact,Active,Burkina Faso Digital Acceleration Project,"Accelerates digital economy development in Burkina Faso through improved broadband access, digital government services, digital financial services, and digital entrepreneurship support.",Public Sector,Burkina Faso,,P177022,44000-P177022,https://projects.worldbank.org/en/projects-operations/project-detail/P177022,world-bank,2024-01-23-wb-bfa-001-burkina-faso-digital-acceleration-project
BFA,2022,,Orange Burkina Faso,Connectivity,PPP,21,commitment,reported,Unknown,"Orange Burkina Faso — white-zones mobile coverage PPP (phase 1), 2022","Under a public-private partnership run by the regulator ARCEP, Orange Burkina Faso was awarded (by tender) implementation of phase 1 of the white-zones (""zones blanches"") coverage programme, installing 183 mobile sites (each ~6 km range) that newly covered about 300 of the 11,000 white zones nationally. ARCEP president Tontama Charles Millogo stated ""L'opérateur a supporté à plus de 60% le coût""; project chief Soumanan Sanou put the phase-1 cost at ""un peu plus de 13 milliards F CFA.""",PPP,"ARCEP ""Service universel"" white-zones programme","XOF ≈13,000,000,000 (phase 1 total cost)",,,https://www.sidwaya.info/couverture-du-burkina-faso-en-reseau-mobile-environ-300-zones-blanches-rayees-de-la-carte/,orange-burkina-faso,2022-01-01-orange-burkina-faso-bfa-2022-white-zones-mobile-coverage-ppp-bw01
BFA,2021,2025,Enabel,Digital divides,Grant,3,commitment,exact,Closed,Digital for Girls and Women \u2014 Burkina Faso,"D4GW-BFA (Digital for Girls and Women) project aims to give women and men equal opportunities to participate in and contribute to a digital economy. Implemented by Enabel in Burkina Faso (component of a multi-country programme also covering Belgium and Uganda). Budget EUR 2.25M, 2021-2025. Promotes inclusive, rights-based digital transformation including digital skills, digital rights awareness, and gender-sensitive digital policies.",Public Sector,,"EUR 2,250,000",BFA22005,BE-BCE_KBO-0264814354-BFA22005,https://open.enabel.be/en/evaluation/23/download/96,enabel,2021-01-01-enabel-bfa-d4gw-2021-digital-for-girls-and-women-burkina
BFA,2021,2026,United Nations Development Programme (UNDP),Training and skills,Grant,2,commitment,exact,Active,Transformation digitale inclusive pour acc\u00e9l\u00e9rer les progr\u00e8s vers les ODD (Burkina Faso),"Inclusive digital transformation to accelerate progress towards the SDGs in Burkina Faso. Covers digital inclusion, ICT policy, digital economy, and digital skills. Supports Burkina Faso's national digital transformation strategy.",Public Sector,Government of Burkina Faso,,125521,XM-DAC-41114-OUTPUT-00125521,https://open.undp.org/projects/00125521,undp,2021-01-01-undp-bfa-inclusive-digital-2021-transformation-digitale-inclusive-pour-accelerer-les
BFA,2021,,Export-Import Bank of China (China Eximbank),ICT Industry,Concessional Loan,91,commitment,exact,Active,China Eximbank provides RMB 560 million government concessional loan for Smart Burkina Faso Project,"On September 29, 2020, China Eximbank and the Government of Burkina Faso’s Ministry of Security signed an RMB 560 million government concessional loan (GCL) agreement [CHINA EXIMBANK GCL NO (2020) 7 TOTAL NO (699)] for the Smart Burkina Faso Project. The GCL carries a 20-year maturity, a 5-year grace period, and a 1% interest rate. The borrower is expected to used the proceeds of the loan to finance a $80 million (CFA 52,301,810,024) commercial contract (ID# 0Y08541900000) between Burkina Faso's Ministry of Security, Huawei Technologies Co, Ltd and China International Telecommunication Construction Corporation.   The purpose of the project is to establish a 650 kilometer fiber optic backbone network that connects various cities and localities in Burkina Faso, establish a 150 kilometer fiber optic network that connects other cities and localities in Burkina Faso, and strengthen public security by installing 900 surveillance cameras and 300 video surveillance sites. Huawei Technologies Co, Ltd and China International Telecommunication Construction Corporation are the contractors responsible for project implementation.  The project officially commenced on July 8, 2021 and it is expected to reach completion within 54 months (January 8, 2026).",Public Sector,Burkina Faso Minister of Security,"CNY 560,000,000",aiddata-gcdf3-86748,,https://www.imf.org/en/Publications/CR/Issues/2019/01/22/Burkina-Faso-2018-Article-IV-Consultation-First-Review-Under-the-Extended-Credit-Facility-46533,china-eximbank,2020-01-01-eximbank-cn-bfa-002-china-eximbank-provides-rmb-560-million
BFA,2019,2026,World Bank,Digital Payments and Fintech,Concessional Loan,28,commitment,exact,Active,Burkina Faso Financial Inclusion Support Project \u2014 Digital Payments Component,"Component 1 ($28.3M of $100M total) of the Financial Inclusion Support Project supports digitization of government payments and digital transformation of microfinance services. Includes G2P digitization, digital financial service channels, and digital MFI transformation in Burkina Faso.",Public Sector,,,P164786,,https://projects.worldbank.org/en/projects-operations/project-detail/P164786,world-bank,2019-04-30-wb-bfa-003-burkina-faso-financial-inclusion-support-project
BFA,2017,2021,Bank of China,Connectivity,Commercial Loan,87,commitment,exact,Closed,Bank of China provides $77.35 million buyer\u2019s credit loan for Phase 1 of National Telecommunications Backbone Project (PBNT),"On June 20, 2019, the Shenzhen Branch of Bank of China and the Government of Burkina Faso signed a $77.35 million buyer's credit loan agreement for Phase 1 of the National Telecommunications Backbone Project (PBNT). Then, on October 2, 2019, the Government of Burkina Faso authorized the ratification of the credit agreement. The loan carries the following borrowing terms: a 12-year maturity, a 3-year grace period, an interest rate of 6-month LIBOR plus a 2.5% margin, a management fee of 4%, a commitment fee of 0.8%. The loan is also backed by a Sinosure buyer’s credit insurance policy. The total cost of the buyer's credit insurance premium $6,843,413.73. Bank of China reportedly agreed to provide 60% of the funding needed for the first phase of PBNT while the other 40% would be provided by BNP Paribas. However, on October 8, 2019, the BNP Paribas announced that it was no longer involved in this project. The borrower was expected to use the proceeds of the Bank of China loan to partially finance a commercial contract that it signed with Huawei Technologies Co., Ltd.  in July 2014.   The purpose of the project is to construct a 307-kilometer fiber optic network linking the capital Ouagadougou and the city of Po, near the Ghanaian border. This fiber optic ‘backbone’ will have a capacity of 1,600 gigabits per second and will ten municipalities. It is parter of a larger, EUR 175 million program to provide 5,740 km of fiber optic coverage in Burkina Faso, at a cost of 175 million euros. Construction began on December 10, 2017.  Phase 1 was completed and officially inaugurated on October 26, 2021.",Public Sector,Government of Burkina Faso,,aiddata-gcdf3-60072,,https://www.jeuneafrique.com/593265/politique/ambassade-de-chine-au-burkina-pekin-resserre-sa-cooperation-avec-ouagadougou/,bank-of-china,2019-01-01-boc-bfa-001-bank-of-china-provides-7735-million
BFA,2016,2022,World Bank,Other GovTech and e-Gov,Concessional Loan,30,commitment,exact,Closed,"Burkina Faso Economic Governance, GovTech and Citizen Engagement Project","Strengthens economic governance and citizen engagement in Burkina Faso through GovTech solutions, digital public services, and digital accountability tools.",Public Sector,BURKINA FASO Ministry of Territorial Administration and Decentralization (MATD),,P155121,44000-P155121,https://projects.worldbank.org/en/projects-operations/project-detail/P155121,world-bank,2016-02-18-wb-bfa-002-burkina-faso-economic-governance-govtech-and
BFA,2013,,India Exim Bank,Energy,Line of Credit,25,commitment,reported,Closed,"India Exim Bank — Burkina Faso Rural Electrification Line of Credit, 2013","""The LOC of US$ 25 million was signed on 29.03.2013 for Rural Electrification. The project has been completed and US$ 24.28 million was utilized.""",Public Sector,Burkina Faso (Government of Burkina Faso),"US$25,000,000",,,https://www.mea.gov.in/Portal/ForeignRelation/India-Burkina-Faso-26.pdf,india-exim-bank,2013-03-29-india-exim-bank-bfa-2013-rural-electrification-loc
