row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
LBR-data.open-lta-revenue,LBR,data.open,Governance and regulation,Publication of the telecoms regulator's own revenue,"The Authority's licensing fees, spectrum charges, regulatory levies and numbering receipts, or an audited account of them from the General Auditing Commission.",,not probed on this run; probe capped at four across the three units
LBR-geopol.india-indian-digital-cooperation-with-liberia,LBR,geopol.india,Artificial intelligence and the technology sector,Indian digital cooperation with Liberia,"A bilateral memorandum, a line-of-credit agreement, or an India Stack or ITEC programme document naming Liberia.",,not probed on this run; probe capped at four across the three units
LBR-geopol.gulf-gulf-state-digital-investment-in-liberia,LBR,geopol.gulf,Artificial intelligence and the technology sector,Gulf state digital investment in Liberia,"An investment agreement, data-centre or connectivity commitment from a Gulf sovereign fund or operator.",,not probed on this run; probe capped at four across the three units
LBR-dpi.mis-star-p-digital-lending-platform,LBR,dpi.mis,Digital public infrastructure,STAR-P digital lending platform,"a deployment or acceptance record for the contracted platform, a project progress report naming it live, or a recovery of the sum paid",2026-08-11,
LBR-data.open-open-data-policy,LBR,data.open,Data,National open data policy,"An adopted national open data policy, an open-data provision inside the National Data Policy now in drafting, or a government open-data licence.",2026-09-04,
LBR-gov.legislate-ai-regulation,LBR,gov.legislate,Governance,Artificial intelligence legislation or regulation,"An artificial intelligence act, a regulator's AI guideline, a rule of evidence addressing synthetic media, or an AI provision inside the pending data or cybersecurity instruments.",2026-09-04,
LBR-finance.sustain-id-concession-terms,LBR,finance.sustain,Finance,Revenue model and state obligation under the OeSD identity concession,"Publication of the ratified OeSD concession agreement or its cost-recovery and revenue-sharing schedule, which the registry says it will disclose after legislative approval.",2026-09-25,absence
LBR-finance.sustain-digital-outturn-fy2025,LBR,finance.sustain,Finance,FY2025 outturn against the digital appropriations,"The FY2025 annual consolidated financial report's appropriation-account schedules, read into the budget extract; only the registry's FY2025 actual is read.",2026-09-25,acquisition
LBR-geopol.sovereignty-agreement-terms,LBR,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the OeSD concession and the US health data-sharing agreement",Publication of the OeSD concession agreement and of the data-sharing agreement under the December 2025 US-Liberia health memorandum.,2026-09-25,absence
LBR-geopol.sovereignty-hosting-rule,LBR,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"Adoption of the National Data Governance Policy of March 2026, or a regulation under the 2026 data protection act, fixing where government data is held.",2026-09-25,absence
