indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
dpi.exchange--use-of-digital-id-in-other-systems,Data Exchange,2,17,3,1,2,6,0,,staged,1
dpi.exchange--interoperability-of-health-systems,Data Exchange,2,22,6,1,2,8,1,headline-only-stub,staged,1
dpi.exchange--interoperability-of-education-systems,Data Exchange,2,16,4,1,2,7,0,,staged,1
dpi.exchange--interoperability-of-social-protection-systems,Data Exchange,2,17,5,1,2,8,0,,staged,1
dpi.id--digital-id-from-birth,Digital Identity and CRVS,2,20,3,1,1,6,0,,staged,4
dpi.id--interoperability-of-birth-registration-and-digital-id,Digital Identity and CRVS,2,18,5,1,1,6,1,already-seen,staged,4
dpi.pay--governance-role-of-central-bank,Digital Payments and Fintech,2,24,6,1,2,8,1,unfetchable,staged,2
dpi.pay--g2p-functionality,Digital Payments and Fintech,2,20,5,1,1,6,1,unfetchable,staged,2
dpi.pay--b2b-and-b2g-functionality,Digital Payments and Fintech,2,23,6,1,2,7,0,,staged,2
dpi.pay--p2p-p2g-and-p2b-functionality,Digital Payments and Fintech,2,22,5,1,2,7,2,unfetchable unfetchable,staged,2
dpi.pay--cross-border-functionality,Digital Payments and Fintech,2,18,3,1,1,6,0,,staged,2
dpi.pay--consumer-protection,Digital Payments and Fintech,2,19,4,1,1,6,0,,staged,2
