indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,GMB-gov.policy-masterplan,,,,,,,Master plan 2024-2034 adopted; no costed plan or monitoring report on record,0,
gov.policy--open-data-policy,3,GMB-gov.policy-open-data-strategy,,,,,,,"Strategy adopted; no licence, portal or publication obligation in force",0,
gov.legislate--access-to-information-legislation,3,GMB-gov.legislate-access-to-information-act,,,,,,,"Act in force on the press union's account; information officers unappointed, no oversight or disclosure record in this row",0,
gov.protect--data-protection-authority,2,GMB-gov.protect-information-commission,,,,,,,"Commission operating under both Acts; no registrations, guidance or report on record, which stage 3 needs (CC)",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"Bilateral Senegal memorandum and a tax master class only; no REC, ATU or continental digital process on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,Draft regulations published and discussed; no cited record either way on shutdowns or blocking in the 12 months,0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,Tax totals and ratio only; no digital line of the budget on record,0,
dpi.exchange--use-of-digital-id-in-other-systems,2,GMB-dpi.registry-ecrvs,,,,,,,Integration with the ID card committed in 2025; no system using the ID on record,0,
dpi.id--robustness-of-system,3,GMB-dpi.id-nims,,,,,,,"Biometric cards issuing nationwide; no assurance level, audit or certification published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,,,,,,,,,Enrolment under the supplier contract; who operates and maintains the platform is not stated,0,
dpi.id--use-by-other-systems,2,GMB-dpi.id-nims,,,,,,,Integration with civil registration and passport committed; no register keyed on the ID on record,0,
dpi.pay--g2p-functionality,3,GMB-dpi.pay-nafa-cash-transfers,,,,,,,One transfer programme on mobile money; UNDP pilot is not a state stream,0,
dpi.registry--population-register,2,GMB-dpi.id-nims,,,,,,,ID enrolment under way; no register updated from vital events or used by others on record,0,
dpi.registry--business-register,2,GMB-dpi.govtech-business-registration,,,,,,,Minister says system being finalised; no launch on record,0,
dpi.registry--electoral-register,3,GMB-dpi.registry-supplementary-voter-register|GMB-dpi.govtech-voter-roll-objections,,,,,,,Biometric roll revised with objections heard in court; supplementary counts unreconciled and no audit published,0,
dpi.registry--land-register,,,,,,,,,Land policy mandates a digital system; no digitisation project under way within the as-at,0,
dpi.mis--land,,,,,,,,,Assessment completed and system mandated by policy; no procurement or build on record by the as-at,0,
dpi.govtech--e-government-services,2,GMB-dpi.govtech-mygov,,,,,,,MyGov built but unlaunched; no transactional services in service on record,0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,,,,,,,,,Cabinet approved a research council bill; no research institution's activity on record,0,
include.access--citizen-participation-in-policy,3,GMB-gov.discourse-discourse,,,,,,,Several consultations in the 12 months under published guidelines; no account of changes made,0,
data.open--use-of-open-data,,,,,,,,,Budget-survey scores only; no dataset publication by a public body in these rows,0,
