row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
MDG-tech.ai-ai-strategy,MDG,tech.ai,Artificial intelligence and the technology sector,National artificial-intelligence strategy,"A national AI strategy or policy document, or a ministerial decision establishing one.",2026-08-31,probed 2026-08-31: a civil-society round table records the absence and calls for a sovereign policy; the national digital strategy carries no AI chapter
MDG-geopol.india-india,MDG,geopol.india,Artificial intelligence and the technology sector,Indian digital cooperation with Madagascar,"Any India-Madagascar digital cooperation agreement, line of credit or programme document.",2026-08-31,probed 2026-08-31: nothing admitted to the repository; the gap stands
MDG-gov.protect-us-health-data-sharing-agreement,MDG,gov.protect,Governance and regulation,United States bilateral health agreement and its data-sharing agreement,"The memorandum of understanding and the related data-sharing agreement themselves, a signature date, or a Malagasy government statement naming the instrument. The text is withheld rather than unpublished, and is in litigation in the United States District Court for the District of Columbia",,not probed on this run; no web access on the nightly pass
MDG-dpi.registry-address,MDG,dpi.registry,Digital public infrastructure,National address register,"A national addressing standard, a state address register or a mandate for one.",2026-08-31,probed 2026-08-31: the national geographic institute's own status report states spatial data infrastructures are not yet implemented; the only in-window development is a community-built mobile layer with no legal standing
MDG-geopol.usa-usa-engagement,MDG,geopol.usa,Artificial intelligence and the technology sector,United States digital investment engagement,"A United States hyperscaler memorandum, a development finance commitment, or the text of the 2004 investment-agency memoranda.",2026-08-31,probed 2026-08-31: nothing more recent than the 2019 investment climate statement found
MDG-finance.sustain-digital-outturn,MDG,finance.sustain,Finance,Outturn against the digital appropriations,"A year-end execution report or the loi de règlement for 2024 or 2025 giving payment against the digital lines, read into the budget extract; only the FDTIC's own accounts carry an outturn.",2026-09-25,acquisition
MDG-finance.sustain-idms-recurrent-financing,MDG,finance.sustain,Finance,Recurrent financing for the biometric identity system after PRODIGY,"A budget line, decree or CNECI budget providing for the operation and maintenance of the identity database after the project's June 2026 close.",2026-09-25,absence
MDG-geopol.sovereignty-hosting-rule,MDG,geopol.sovereignty,Geopolitics,Rule on where state data is hosted,"A government cloud or hosting policy, data classification or national data policy fixing where state data is held; the national data policy was still being drafted.",2026-09-25,absence
MDG-geopol.sovereignty-idms-control,MDG,geopol.sovereignty,Geopolitics,"Source code, operating skills and exit for the identity management system","The IN Groupe contract or a UGD, CNECI or audit statement on source-code ownership, administrative control and exit terms.",2026-09-25,absence
MDG-geopol.sovereignty-agreement-terms,MDG,geopol.sovereignty,Geopolitics,"Data jurisdiction, portability and exit terms of the Huawei state network and the IN Groupe contract","Publication of the 2020 China Eximbank-financed network contract or the IN Groupe identity contract, with their data, portability and exit clauses.",2026-09-25,absence
