indicator_id,file,brief,rank,why
include.access--citizen-feedback-portals,baseline/2026-09-03-mediateur-republique-senegal-textes-de-references.md,1,1,The Mediateur de la Republique is the standing national channel for citizen complaints about any public-service body; this is the institution own reference-texts page carrying Loi 99-04 and the three modes of saisine
include.access--citizen-feedback-portals,progress/2026-02-14-mediateur-republique-requetes-t4-2025.md,2,1,First published caseload figures in the window - 72 complaints in Q4 2025 with respondent and subject breakdown
include.access--citizen-feedback-portals,progress/2026-03-18-mepm-senegal-mecanisme-gestion-plaintes-petrole-gaz.md,2,2,Distinct event - launch of a new multi-channel state grievance portal for the oil and gas sector on 17 March 2026
include.access--citizen-participation-in-policy,baseline/2025-05-09-presidence-senegal-lancement-jubbanti.md,1,1,JUBBANTI is the state digital platform through which citizens at home and in the diaspora submit contributions to national policy dialogue; the presidential communique is its founding record as there is no decree
include.access--citizen-participation-in-policy,progress/2026-05-22-ogp-senegal-rapport-resultats-2023-2025.md,2,1,"IRM results report of 22 May 2026 - the only in-window authoritative assessment of Senegal co-creation practice, with the 14-region 400-participant consultation and the finding that the citizen-participation commitments produced no early results"
include.access--citizen-participation-in-policy,progress/2026-05-21-presidence-senegal-journee-nationale-dialogue-consultations.md,2,2,Distinct event - the Journee nationale du dialogue opened its first consultation cycle on 21 May 2026 and is stated to be now a standing fixture of the republican agenda
include.access--gender-equity,baseline/2016-01-01-senegal-sneeg-ii-equite-egalite-genre-2016-2026.md,1,2,"The national gender-equity instrument itself - SNEEG II 2016-2026, the standing strategy and the frame for sex-disaggregated data and gender-responsive budgeting"
include.access--gender-equity,progress/2025-11-21-itu-wtdc-25-snapshot-report-artp-senegal-women-entrepreneurs.md,2,1,"Distinct event - an ITU-ARTP agreement signed at WTDC-25 to train 200 young women entrepreneurs, the only in-window instrument naming a Senegalese state body and a gender target"
include.access--gender-equity,progress/2025-09-30-itu-academy-concept-dtc-senegal-digital-literacy.md,2,2,Distinct event - a completed July-September 2025 delivery across seven centres with a measured 50 per cent female share of 560 trainees
include.access--inclusion-of-refugees-and-idps,baseline/2026-09-03-unhcr-senegal-demande-asile-procedure-cne.md,1,1,"UNHCR Senegal own statement of the standing documentation route - CNE lodgement, six-month renewable recepisse permitting free movement, two interviews, appeal and presidential recours - which is what the indicator asks of access to documents and services"
include.access--inclusion-of-refugees-and-idps,progress/2026-02-05-cedeao-initiative-aide-humanitaire-refugies-deplaces-senegal.md,2,1,"Distinct dated event with a stated position - a 313,083,755 FCFA nine-month ECOWAS-UNHCR-state programme launched at Dakar 29 January 2026 widening refugee and IDP access to education, health, training and social assistance"
data.statistics--national-strategy-for-development-of-statistics,baseline/2019-12-01-senegal-snds-iii-2019-2023-rapport-final.md,1,2,The strategy document itself and the only full SNDS text obtainable; SNDS IV 2024-2028 is referenced as published but its text is unreachable behind a JavaScript portal
data.statistics--national-strategy-for-development-of-statistics,progress/2026-04-01-afristat-lettre-116-senegal-revision-snds-iv.md,2,2,Dated in-window event with a stated position - the SNDS IV revision launched at Dakar on 27 March 2026 to realign on SND 2025-2029 and produce a 2026-2029 action plan
data.statistics--statistics-from-administrative-data,baseline/2026-09-03-anec-senegal-missions-etat-civil-statistiques-vitales.md,1,1,ANEC own mandate page is the clearest primary statement that administrative records feed official statistics - production of a civil-status statistical yearbook and transmission of civil-status data to the statistical services
data.statistics--statistics-from-administrative-data,progress/2026-01-23-anec-ansd-protocole-interoperabilite-etat-civil.md,2,1,Distinct completed step on the exact indicator - ANEC and ANSD signed an interoperability protocol on 23 January 2026 linking the civil register to the statistical agency
data.statistics--statistics-from-administrative-data,progress/2026-06-17-senegal-conseil-des-ministres-rnu-996194-menages.md,2,2,"Distinct event with a stated position - the RNU update and extension completed at the start of 2026 at 996,194 households against 545,000, confirmed as the single targeting base"
data.open--use-of-open-data,baseline/2026-09-03-anads-ansd-catalogue-de-donnees-vues-licences.md,1,2,The only Senegalese public-data system found publishing a measure of use - per-dataset view counts and per-dataset access terms across the national data archive
data.open--use-of-open-data,progress/2025-10-07-anads-ansd-rnu-2025-enquete-mise-a-jour-extension.md,2,3,"Distinct in-window publication - the 2025 RNU survey record published 7 October 2025, with its methodology, response rates and the authorisation-based re-use conditions that define what open means here"
data.satellite--agricultural-use-of-satellite-data,baseline/2023-11-01-cse-senegal-campagne-agro-pastorale-2023-bulletin-17.md,1,1,"The system itself in operation - CSE recurrent NDVI-based national plant-production map and pastoral fodder balance, bulletin 17 of a standing series"
data.satellite--agricultural-use-of-satellite-data,progress/2026-04-03-digital-earth-africa-ansd-senegal-framework-agreement.md,2,1,"Distinct event - a five-year framework agreement signed February 2026 putting Earth observation into ANSD official agricultural statistics for rice, groundnut, millet and maize"
data.satellite--agricultural-use-of-satellite-data,progress/2025-10-06-irri-isra-riice-senegal-rice-satellite-monitoring.md,2,2,"Distinct event - RIICE piloted with ISRA over the Senegal River Valley and Casamance combining Sentinel-1A, Landsat and Sentinel-2 with ORYZA modelling"
data.satellite--meteorological-use-of-satellite-data,baseline/2024-04-01-country-hydromet-diagnostics-senegal-peer-review.md,1,3,"The fullest dated authoritative statement of the standing position - EUMETSAT products via a ground receiver feeding forecasting, nowcasting and warnings alongside WRF, radar and ENACTS"
data.satellite--meteorological-use-of-satellite-data,progress/2026-05-18-eumetsat-amsaf-anacim-nowcasting-afrique-ouest.md,2,1,"Distinct event - AMSAF launched 18 May 2026 with ANACIM named as the West Africa regional centre producing nowcasting products, and MTG and Lightning Imager data stated to be in operational use"
data.satellite--meteorological-use-of-satellite-data,progress/2026-01-20-anacim-noaa-news-systeme-alerte-precoce-dakar.md,2,2,Distinct event - the NOAA NEWS Africa early-warning project launched at Dakar on 20 January 2026 with Senegal among five pilot countries
geopol.eu--eu-mous-engagements-and-commitments,baseline/2026-09-03-eeas-delegation-ue-senegal-global-gateway.md,1,3,"The EU Delegation own statement of the standing cooperation instrument in the digital domain, including the D4D Hub support to Senegal data and AI strategies; no standalone EU-Senegal digital MoU was found"
geopol.eu--eu-mous-engagements-and-commitments,progress/2025-11-13-expertise-france-goin-digital-senegal-team-europe.md,2,1,"The best-evidenced in-window commitment - the EUR 13m Team Europe Goin Digital package with dates, funders, axes and named AI and geospatial activities"
geopol.gulf--gulf-mous-engagements-and-commitments,baseline/2023-04-13-presight-ai-g42-mcten-senegal-mou.md,1,1,The most specific standing Gulf-Senegal digital instrument - a signed MoU between the Senegalese digital ministry and G42 subsidiary Presight AI on big-data and AI transformation of government services
geopol.gulf--gulf-mous-engagements-and-commitments,progress/2025-12-10-primature-senegal-compte-rendu-mission-emiratie-mou.md,2,1,"The only in-window Gulf movement with an explicit digital outcome - ten UAE-Senegal MoUs signed 10 December 2025, one on digital infrastructure for the digitalisation of public finances"
geopol.india--india-mous-engagements-and-commitments,baseline/2026-04-01-mea-india-brief-on-india-senegal-relations.md,1,4,"India MEA own April 2026 country brief - the fullest standing statement of the instruments, the 1997 Joint Commission agreement, the 16 lines of credit including IT training and equipment, CEDT, TEAM-9 and ITEC; it also carries the only in-window movement, so it counts once as the baseline"
