indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--data-storage-cloud-strategy,3,SDN-gov.policy-data-centre-cloud-regulations,,,,,,,"Regulations current per the regulator; no hosting classification, designated government cloud or migration act on record",0,
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,"Unplaced: standards catalogue and a platform product page are not an interoperability framework or roadmap; no dated absence cited",0,
gov.policy--data-localisation-policies,,,,,,,,,"Unplaced: sectoral hosting-location disclosure only; no localisation rule and no cited absence",0,
gov.policy--data-governance-policy,,,,,,,,,"Unplaced: a data authority and a draft data and AI law are held but no data policy in drafting or adopted",0,
gov.policy--open-data-policy,,,,,,,,,"Unplaced: access-to-information law in force but no open data policy or portal on record and no cited absence",0,
gov.legislate--data-protection-legislation,2,SDN-gov.protect-draft-data-ai-law,,,,,,,"Combined data and AI bill being redrafted by the justice ministry; no published text",0,
gov.legislate--cybersecurity-legislation,2,SDN-infra.cybersec-draft-law,,,,,,,"Draft law returned by the Council of Ministers and being redrafted; no text published",0,
gov.legislate--legislation-enabling-data-interoperability,2,SDN-gov.legislate-draft-digital-transformation-law,,,,,,,"Digital transformation bill in drafting with the justice ministry; no text so data-sharing scope unconfirmed",0,
gov.legislate--ai-legislation-regulations,,,,,,,,,"Unplaced: draft data and AI law in preparation but no gap analysis consultation or guidance on record; cybercrime act not AI-specific",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"Unplaced: only a border-trade framework review is held; no e-transactions instrument or cited absence",0,
gov.protect--data-protection-authority,,,,,,,,,"Unplaced: draft law only; the cybersecurity authority is not a data protection authority; no cited absence",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"Unplaced: a bank directive and a privacy policy are held; no bill in these rows and no cited absence of a law",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"Unplaced: hosting-location disclosure and IGAD guidelines at procurement; no transfer rule or cited absence",0,
gov.standards--national-interoperability-standards,,,,,,,,,"Unplaced: general standards catalogue and one platform's design principle; no government interoperability standards or cited absence",0,
gov.standards--national-quality-standards,2,SDN-gov.standards-ssmo-fee-payment-integration,,,,,,,"Standards body active; no ICT or data quality standard adoption or national quality policy on record",0,
gov.discourse--open-discussion-of-government-policy,2,SDN-gov.legislate-cybercrime-law-speech-prosecutions,,,,,,,"Prosecutions under the cybercrime law for speech in August 2026; access-to-information law exists so not stage 1",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,"Unplaced: TSA commitment and a planned oversight system; no read budget document or digital line on record",0,
infra.connect--national-fibre-backbone,2,SDN-infra.connect-sudatel-backbone,,,,,,,"Operator's own results; figures group-wide, regional reach in Sudan and a national plan not stated",0,
infra.connect--internet-exchange-points,3,SDN-infra.connect-sixp,,,,,,,"Four members self-reported via registry; no growth over twelve months and no second exchange",0,
infra.connect--satellite-broadband-licensing-and-availability,1,SDN-infra.connect-starlink,,,,,,,"Never licensed on any source held; used informally and cut by an armed group in West Kordofan",0,
infra.capacity--robustness-of-government-hardware-and-software,2,SDN-dpi.mis-bayan,,,,,,,"Civil-service HR system replaced by Bayan; finance revenue and network systems and an inventory not on record",0,
dpi.exchange--national-data-exchange-system,,,,,,,,,"Unplaced: single window and central bank system are not an exchange layer; CONSOLEX named with no build; no cited absence",0,
dpi.exchange--use-of-digital-id-in-other-systems,3,SDN-dpi.id-national-number-bank-kyc,,,,,,,"Bank KYC uses the national number; SudaPass bank eKYC rolling out with no usage published",0,
dpi.id--robustness-of-system,3,SDN-dpi.id-sudapass,,,,,,,"In service; no published assurance level audit or security certification",0,
dpi.id--authentication,3,SDN-dpi.id-national-pki-root-key,,,,,,,"National root key operating; no usage across channels on record and root not browser-trusted",0,
dpi.id--use-by-other-systems,,,,,,,,,"Unplaced: bank use is not a public register; no register keyed on the national ID on record and no cited absence",0,
dpi.pay--governance-role-of-central-bank,3,SDN-dpi.pay-nips|SDN-dpi.pay-al-asjad,,,,,,,"Switch live with one bank; no published oversight statistics or consumer-protection function on record",0,
dpi.pay--revenue-collection,3,SDN-dpi.pay-isali,,,,,,,"Electronic collection in some states; electronic share of revenue unpublished and White Nile figure self-reported",0,
dpi.pay--b2b-and-b2g-functionality,2,SDN-dpi.pay-isali,,,,,,,"No e-procurement portal or interbank business payment service in these rows",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,SDN-dpi.pay-bankak,,,,,,,"Retail services in service; switch has one bank so no provider interoperability; no agent network reported",0,
dpi.registry--address-register,,,,,,,,,"Unplaced: a statutory mandate only; no addressing policy or project under way and no cited absence",0,
dpi.registry--land-register,2,SDN-dpi.registry-land-register,,,,,,,"Electronic system being restored office by office; not shown in service",0,
dpi.mis--justice,2,SDN-dpi.govtech-judiciary,,,,,,,"Judiciary digital-transformation contract signed; no system list or timetable disclosed",0,
dpi.govtech--e-government-services,3,SDN-dpi.govtech-baladna|SDN-dpi.govtech-salem,,,,,,,"Transactional services on several platforms; no usage figures or service inventory published",0,
digital.localgov--ict-infrastructure-for-local-government,2,SDN-infra.store-khartoum-datacentre,,,,,,,"One state data centre restored; no local administrations connected across regions on record",0,
digital.localgov--digitalisation-of-local-government-records,2,SDN-digital.localgov-land-records-electronic-system,,,,,,,"Land-office system being restored and Khartoum archiving plan adopted; not shown in service",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,,,,,,,,,"Unplaced: school-detection model is a UNICEF-Giga-Omdena product and education AI strategy is not a system; no cited absence",0,
tech.innovate--technology-hubs,2,SDN-tech.innovate-none,,,,,,,"University of Khartoum incubator hosting an AfDB-IGAD project; no cohorts on record",0,
tech.innovate--tech-startup-ecosystem,2,SDN-tech.innovate-orange-corners|SDN-tech.innovate-249startups,,,,,,,"Programmes and cohorts on record; no startup law or strategy",0,
include.access--citizen-participation-in-policy,,,,,,,,,"Unplaced: Mersal is a non-state ceasefire consultation; no state consultation on an instrument on record",0,
