indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,SWZ-gov.policy-digital-readiness-assessment,,,,,,,2026-07-31,0,Readiness assessment says a national strategy is in place; strategy itself not held and no horizon on record,
gov.policy--ict-strategy,4,SWZ-gov.policy-national-ict-policy,,,,,,,2026-07-31,0,2006 policy with implementation plan; ministry's 2024/25 report to Parliament runs against it; no successor,
gov.policy--broadband-strategy,2,SWZ-gov.policy-broadband-regulatory-strategy,,,,,,,2026-07-31,0,Regulator's 2018-2021 strategy expired; national broadband plan it awaited never located,
gov.policy--data-storage-cloud-strategy,2,SWZ-infra.store-ndc|SWZ-dpi.govtech-google,,,,,,,2026-07-31,0,National data centre and cloud memorandum on record; no government hosting or cloud policy adopted,
gov.policy--data-interoperability-framework-roadmap,2,SWZ-dpi.exchange-mchumanisi-data-exchange-platform|SWZ-gov.policy-datapolicy,,,,,,,2026-07-31,0,Exchange platform proposed in the draft data policy; no interoperability framework instrument,
gov.policy--ai-strategy,2,SWZ-tech.ai-4ir,,,,,,,2026-07-31,0,AI addressed through the 4IR strategy; no dedicated national AI strategy held,
gov.policy--data-localisation-policies,,,,,,,,,2026-07-31,0,Data Protection Act and mapping directive in force; no localisation rule or cited absence on record,
gov.policy--data-governance-policy,2,SWZ-gov.policy-datapolicy,,,,,,,2026-07-31,0,Draft validated July 2026; not yet adopted,
gov.policy--open-data-policy,,,,,,,,,2026-07-31,0,Draft data governance policy not shown to cover open data; no open data policy or portal on record,
gov.legislate--data-protection-legislation,3,SWZ-gov.protect-act,,,,,,,2026-07-31,0,Act in force since 2022; regulations and enforcement held only under the authority indicator,
gov.legislate--cybersecurity-legislation,,,,,,,,,2026-07-31,0,Only an announced cybersecurity bill here; a Computer Crime and Cybercrime Act 2022 sits under the discourse rows,
gov.legislate--legislation-covering-digital-id,,,,,,,,,2026-07-31,0,Only the 1983 civil registration Act and a planned digital ID; no identity law on record,
gov.legislate--digital-payments-legislation,3,SWZ-gov.legislate-national-payments-system-act,,,,,,,2026-07-31,0,Act in force; implementing regulations Cabinet-approved but not gazetted,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,2026-07-31,0,Electronic transactions Act creates no data-sharing duty; no instrument permitting public-body sharing on record,
gov.legislate--ai-legislation-regulations,2,SWZ-tech.ai-deepfake,,,,,,,2026-07-31,0,Regulator guidance on AI without legal effect; spectrum guidelines touch AI devices only,
gov.legislate--statistics-legislation,3,SWZ-gov.legislate-statistics-act-1967,,,,,,,2026-07-31,0,1967 Act constitutes the statistics office; Charter principles not on record,
gov.legislate--access-to-information-legislation,2,SWZ-gov.legislate-access-to-information-bill,,,,,,,2026-07-31,0,Bill named in the ministry's action plan; not tabled,
gov.protect--data-protection-authority,3,SWZ-gov.protect-authority|SWZ-gov.protect-data-protection-enforcement-notices,,,,,,,2026-07-31,0,Operating with enforcement notices; statutory independence and budget funding not on record,
gov.protect--national-data-protection-readiness,3,SWZ-gov.protect-health,,,,,,,2026-07-31,0,Law in force; Guidelines' practices only in validation (health data guidelines),
