indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,2,SDN-gov.policy-3x3-plan,,,,,,,2026-08-31,0,"3x3 plan announced by the ministry; no published text, horizon or costed plan held",
gov.policy--ict-strategy,,,,,,,,,2026-08-31,0,strategies expired 2011 and 2020; no successor and no cited statement of absence on record,
gov.policy--broadband-strategy,,,,,,,,,2026-08-31,0,only an ITU reconstruction resolution; no broadband plan or cited absence on record,
gov.policy--data-storage-cloud-strategy,3,SDN-gov.policy-data-centre-cloud-regulations,,,,,,,2026-08-31,0,"Regulations current per the regulator; no hosting classification, designated government cloud or migration act on record",
gov.policy--data-interoperability-framework-roadmap,,,,,,,,,2026-08-31,0,Unplaced: standards catalogue and a platform product page are not an interoperability framework or roadmap; no dated absence cited,
gov.policy--ai-strategy,,,,,,,,,2026-08-31,0,data and AI authority established; no strategy draft or cited absence on record,
gov.policy--data-localisation-policies,,,,,,,,,2026-08-31,0,Unplaced: sectoral hosting-location disclosure only; no localisation rule and no cited absence,
gov.policy--data-governance-policy,,,,,,,,,2026-08-31,0,Unplaced: a data authority and a draft data and AI law are held but no data policy in drafting or adopted,
gov.policy--open-data-policy,,,,,,,,,2026-08-31,0,Unplaced: access-to-information law in force but no open data policy or portal on record and no cited absence,
gov.legislate--data-protection-legislation,2,SDN-gov.protect-draft-data-ai-law,,,,,,,2026-08-31,0,Combined data and AI bill being redrafted by the justice ministry; no published text,
gov.legislate--cybersecurity-legislation,2,SDN-infra.cybersec-draft-law,,,,,,,2026-08-31,0,Draft law returned by the Council of Ministers and being redrafted; no text published,
gov.legislate--legislation-covering-digital-id,3,SDN-dpi.registry-civil-registry-act|SDN-gov.legislate-electronic-transactions-act,,,,,,,2026-08-31,0,Civil Registry Act 2011 founds the registry and national number; no data protection law on record,
gov.legislate--digital-payments-legislation,3,SDN-gov.legislate-mobile-payment-regulation-2020|SDN-gov.legislate-ussd-circular-2026,,,,,,,2026-08-31,0,non-bank licensing and consumer duties in force; no interoperability rule or licences issued on record,
gov.legislate--legislation-enabling-data-interoperability,2,SDN-gov.legislate-draft-digital-transformation-law,,,,,,,2026-08-31,0,Digital transformation bill in drafting with the justice ministry; no text so data-sharing scope unconfirmed,
gov.legislate--ai-legislation-regulations,,,,,,,,,2026-08-31,0,Unplaced: draft data and AI law in preparation but no gap analysis consultation or guidance on record; cybercrime act not AI-specific,
gov.legislate--e-commerce-legislation,,,,,,,,,2026-08-31,0,Unplaced: only a border-trade framework review is held; no e-transactions instrument or cited absence,
gov.legislate--statistics-legislation,3,SDN-gov.legislate-statistics-act-2003,,,,,,,2026-08-31,0,act in force assessed as outdated on a UN Women assessment; primary text not held,
gov.legislate--access-to-information-legislation,3,SDN-data.open-right-to-information-law,,,,,,,2026-08-31,0,law in force; oversight commission never effectively established,
gov.protect--data-protection-authority,,,,,,,,,2026-08-31,0,Unplaced: draft law only; the cybersecurity authority is not a data protection authority; no cited absence,
gov.protect--national-data-protection-readiness,,,,,,,,,2026-08-31,0,Unplaced: a bank directive and a privacy policy are held; no bill in these rows and no cited absence of a law,
gov.regional--regional-policy-collaboration,2,SDN-gov.regional-wtdc-resolution,,,,,,,2026-08-31,0,ITU resolution at a global conference; no regional or continental policy contribution on record,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-08-31,0,IGAD harmonisation consultancy awarded; no REC model referenced in a domestic draft,
gov.regional--shared-regional-infrastructure,2,SDN-infra.connect-horizon-fiber|SDN-gov.regional-port-sudan-douala-fibre,,,,,,,2026-08-31,0,Horizon Fiber binding agreement signed; no build or service on record,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-08-31,0,Unplaced: hosting-location disclosure and IGAD guidelines at procurement; no transfer rule or cited absence,
