recipient_country,start_year,end_year,financier,sector,instrument,commitment_usd_m,amount_basis,amount_quality,status,title,description,beneficiary_type,recipient_organisation,original_amount,project_id,iati_activity_id,url,financier_slug,record
ZMB,2026,,UK FCDO,AI,Grant,,,exact (ceiling as published),Pipeline,"UK FCDO -- Science and Technology Accelerator-Systems (STA-S), Southern Africa","""STA-S: Southern Africa is a 3-year programme worth up to GBP2.5 million, running to March 2030 and starting in the financial year 2026/2027, with up to GBP400,000 allocated for the year ending March 2027... The programme will focus on AI and emerging technologies, digital access and inclusion, climate and energy, health, space, and the wider policy, regulatory and institutional conditions... with a primary focus on South Africa and an initial focus on Zimbabwe and Zambia in Year 1."" Contract signature is expected in 2026 following the EOI process (deadline extended to 26 August 2026).",Multi-stakeholder,"unspecified -- open call, not-for-profit-led consortium (South Africa primary; Zimbabwe, Zambia Year 1)","GBP up to 2,500,000 over 3 years (to March 2030); GBP up to 400,000 for FY2026/27",(not stated),,https://www.gov.uk/international-development-funding/science-and-technology-accelerator-systems-sta-s-southern-africa-programme,uk-fcdo,2026-08-11-uk-fcdo-xsa-2026-sta-s
ZMB,2025,2025,Sida,National statistics,Grant,0,commitment,rounded,Closed,Zamstats Internal Control Review,ISC Assessment of ZamStats,Private Sector,PricewaterhouseCoopers Zambia,"SEK 106,995",,SE-0-SE-6-17618-17618A0101,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=SE-0-SE-6-17618-17618A0101,sida,2025-01-01-sida-17618-zamstats-isk-review
ZMB,2025,2030,World Bank,Connectivity,Grant,100,commitment,verified,Approved,"World Bank (IDA) — Digital Zambia Acceleration Project (DZAP), 2025","Project Appraisal Document (Report No. PADHI00683): ""PROPOSED GRANT IN THE AMOUNT OF SDR 73.9 MILLION (US$100 MILLION EQUIVALENT) TO THE REPUBLIC OF ZAMBIA FOR A DIGITAL ZAMBIA ACCELERATION PROJECT (DZAP) (P505094)"". Total Operation Cost US$120m (IDA US$100m grant + US$20m unguaranteed commercial financing). Components: (1) Affordable broadband US$50m; (2) Interoperable and secure platforms US$38m; (3) Digital Skills and Capabilities US$5m; (4) Program management US$7m. Implementing Agency: Smart Zambia Institute. Expected approval 11-Sep-2025; expected closing 31-Oct-2030. Part of Phase 2 of the Inclusive Digitalization in Eastern and Southern Africa (IDEA) MPA (P512859), overall envelope US$2.48bn.",Public Sector,Republic of Zambia,"XDR 73,900,000",P505094,,https://documents.worldbank.org/en/publication/documents-reports/documentdetail/099100625152522349,world-bank,2025-01-01-world-bank-zmb-2025-digital-zambia-acceleration-project-bw05
ZMB,2021,2026,MIGA,Digital Payments and Fintech,Guarantee,30,commitment,exact,Closed,Airtel Mobile Money Zambia \u2013 Digital Financial Services Guarantee,"MIGA political risk guarantee covering The Rise Fund II Aurora S.à r.l. (TPG private equity) equity investment in Airtel Mobile Commerce B.V.'s subsidiary providing Airtel Money digital financial services in Zambia. Services include mobile wallet (cash-in/cash-out), airtime recharging, bill payments, merchant payments; with international transfers, savings and microloans in some markets. Risks: war and civil disturbance, expropriation, transfer restriction and inconvertibility for up to 5 years.",Private Sector,Airtel Mobile Commerce,,MIGA-14898,,https://www.miga.org/project/airtel-mobile-commerce,miga,2022-01-01-miga-zmb-airtel-mobile-money-2022-airtel-mobile-money-zambia-digital-financial
ZMB,2021,2026,International Finance Corporation (IFC),Connectivity,Commercial Loan,75,commitment,exact,Active,IHS Zambia \u2014 IFC Loan (COVID Relief / Tower Refinancing),"IFC provided a $75 million senior loan to IHS Zambia Ltd under the Real Sector Emergency COVID Facility (RSE). IHS Zambia is the sole independent tower operator in Zambia with over 1,700 towers providing passive telecom infrastructure to all major mobile network operators. The RSE COVID financing enabled IHS Zambia to refinance existing debt on more favourable terms during the pandemic and maintain capital investment in tower upgrades. IHS Zambia enables mobile internet and data services for millions of Zambian consumers and businesses.",Private Sector,IHS Zambia Ltd (IHS Towers subsidiary),,SII-44235,XM-DAC-903-SII-44235,https://disclosures.ifc.org/project-detail/SII/44235/ihs-zambia-covid,ifc,2021-01-01-ifc-zmb-001-ihs-zambia-ifc-loan-covid-relief
ZMB,2020,2025,Sida,Digital Payments and Fintech,Grant,3,commitment,rounded,Active,FSDZ Women & Youth Financial Inclusion WIN 2 (Zambia),"Financial Sector Deepening Zambia (FSDZ) Women's and Youth Financial Inclusion (WIN 2) programme 2020-2025. Key work area is digitization for financial inclusion, expanding access to mobile money and digital payment platforms for women and youth in Zambia. Supports fintech innovation and last-mile digital financial services.",Public Sector,,"SEK 25,106,092",,SE-0-SE-6-12926,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=SE-0-SE-6-12926,sida,2020-01-01-sida-zmb-fsdz-win2-digital-finance-2020-fsdz-women-youth-financial-inclusion-win
ZMB,2020,2025,Sida,Digital Payments and Fintech,Grant,2,commitment,rounded,Active,UNCDF Zambia Digital Finance and Services,"UNCDF Zambia Digital Finance and Services programme 2020-2025, increasing access to finance for underserved populations through digital payment platforms and mobile money. Supports digital financial service providers, regulatory capacity and last-mile connectivity in Zambia.",Public Sector,,"SEK 16,900,000",,SE-0-SE-6-13733,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=SE-0-SE-6-13733,sida,2020-01-01-sida-zmb-uncdf-digital-finance-2020-uncdf-zambia-digital-finance-and-services
ZMB,2018,2021,Sida,Sectoral management information systems,Grant,2,commitment,rounded,Closed,Dairy Association of Zambia Digital Information Management System (DIMS),"Dairy Association of Zambia Digital Information Management System (DIMS) 2018-2021. Develops and deploys a digital platform for the Zambian dairy value chain, enabling member farmer data management, supply chain tracking and market information services. Sector: agricultural development with a core digital technology component.",Public Sector,,"SEK 17,200,000",,SE-0-SE-6-11863,https://d-portal.iatistandard.org/ctrack.html#view=act&aid=SE-0-SE-6-11863,sida,2018-01-01-sida-zmb-daz-dims-digital-ag-2018-dairy-association-of-zambia-digital-information
ZMB,2017,2026,World Bank,Connectivity,Concessional Loan,200,commitment,exact,Active,Zambia: Improved Rural Connectivity Project,"Improves rural connectivity in Zambia through expansion of broadband infrastructure to underserved rural areas, including last-mile connectivity, digital financial services, and e-government access in rural communities.",Public Sector,Ministry of Finance,,P159330,44000-P159330,https://projects.worldbank.org/en/projects-operations/project-detail/P159330,world-bank,2017-05-04-wb-zmb-001-zambia-improved-rural-connectivity-project
ZMB,2017,,Export-Import Bank of China (China Eximbank),Connectivity,Concessional Loan,348,commitment,exact,Active,China Eximbank provides $302 government concessional loan for Phase 2 of the Communication Towers Project,"In April 2016, the Government of Zambia and Huawei Technologies Co., Ltd. signed an MOU on Phase 2 of the Communication Towers Project. Then, on August 4, 2017, the Chinese Government and the Government of Zambia signed a preferential loan framework agreement for Phase 2 of the Communication Towers Project. On the same day, China Eximbank and the Government of the Republic of Zambia also signed a $302,034,321.68 government concessional loan (GCL) agreement for Phase II of the Smart Zambia National ICT Development Project. The borrowing terms of the GCL are unknown. However, it is known that the borrower was expected to use the proceeds of the loan to finance 100% of the cost of a commercial contract between the Government of Zambia and Huawei Technologies Co., Ltd., which was signed in August 2016. According to Ministry of Transport and Communications of Zambia, by the fourth quarter of 2018, the loan had achieved an 30.3% disbursement rate ($91,637,435.75 out of $302,034,321.68). As of July 2022, the Ministry of Finance & National Planning (MOFNP) of Zambia reported that the loan had achieved an 87.8% disbursement rate ($265,379,267.74 out of $302,034,321.68).   Phase 2 involved the construction of 808 communication towers, 1,009 2G, 3G and 4G wireless stations, as well as the installation of a matched transmission network and user access terminals in unserved and under-served areas. The broad objective is to improve communication services and reach 92 percent network coverage countrywide. Another objective is to ensure that 40 percent of the country has access to data services (from a baseline level of 5 percent). The targets of these communication towers will be relatively population dense villages and economically active areas like hospitals, schools, mines, and tourist areas. This is in line with the country's goal to provide universal access to information via information and communications technology (ICT). Huawei Technologies Co., Ltd. is the contractor resp",Public Sector,Government of Zambia,,aiddata-gcdf3-53207,,https://www.lusakatimes.com/2017/06/28/government-gets-280-million-loan-china-bank-finance-communication-towers/,china-eximbank,2017-01-01-eximbank-cn-zmb-004-china-eximbank-provides-302-government-concessional
