indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,SWZ-gov.policy-digital-readiness-assessment,,,,,,,"Readiness assessment says a national strategy is in place; strategy itself not held and no horizon on record",0,
gov.policy--ict-strategy,4,SWZ-gov.policy-national-ict-policy,,,,,,,"2006 policy with implementation plan; ministry's 2024/25 report to Parliament runs against it; no successor",0,
gov.policy--broadband-strategy,2,SWZ-gov.policy-broadband-regulatory-strategy,,,,,,,"Regulator's 2018-2021 strategy expired; national broadband plan it awaited never located",0,
gov.policy--data-storage-cloud-strategy,2,SWZ-infra.store-ndc|SWZ-dpi.govtech-google,,,,,,,"National data centre and cloud memorandum on record; no government hosting or cloud policy adopted",0,
gov.policy--data-interoperability-framework-roadmap,2,SWZ-dpi.exchange-mchumanisi-data-exchange-platform|SWZ-gov.policy-datapolicy,,,,,,,"Exchange platform proposed in the draft data policy; no interoperability framework instrument",0,
gov.policy--ai-strategy,2,SWZ-tech.ai-4ir,,,,,,,"AI addressed through the 4IR strategy; no dedicated national AI strategy held",0,
gov.policy--data-localisation-policies,,,,,,,,,"Data Protection Act and mapping directive in force; no localisation rule or cited absence on record",0,
gov.policy--data-governance-policy,2,SWZ-gov.policy-datapolicy,,,,,,,"Draft validated July 2026; not yet adopted",0,
gov.policy--open-data-policy,,,,,,,,,"Draft data governance policy not shown to cover open data; no open data policy or portal on record",0,
gov.legislate--data-protection-legislation,3,SWZ-gov.protect-act,,,,,,,"Act in force since 2022; regulations and enforcement held only under the authority indicator",0,
gov.legislate--cybersecurity-legislation,,,,,,,,,"Only an announced cybersecurity bill here; a Computer Crime and Cybercrime Act 2022 sits under the discourse rows",0,
gov.legislate--legislation-covering-digital-id,,,,,,,,,"Only the 1983 civil registration Act and a planned digital ID; no identity law on record",0,
gov.legislate--digital-payments-legislation,3,SWZ-gov.legislate-national-payments-system-act,,,,,,,"Act in force; implementing regulations Cabinet-approved but not gazetted",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"Electronic transactions Act creates no data-sharing duty; no instrument permitting public-body sharing on record",0,
gov.legislate--ai-legislation-regulations,2,SWZ-tech.ai-deepfake,,,,,,,"Regulator guidance on AI without legal effect; spectrum guidelines touch AI devices only",0,
gov.legislate--statistics-legislation,3,SWZ-gov.legislate-statistics-act-1967,,,,,,,"1967 Act constitutes the statistics office; Charter principles not on record",0,
gov.legislate--access-to-information-legislation,2,SWZ-gov.legislate-access-to-information-bill,,,,,,,"Bill named in the ministry's action plan; not tabled",0,
gov.protect--data-protection-authority,3,SWZ-gov.protect-authority|SWZ-gov.protect-data-protection-enforcement-notices,,,,,,,"Operating with enforcement notices; statutory independence and budget funding not on record",0,
gov.protect--national-data-protection-readiness,3,SWZ-gov.protect-health,,,,,,,"Law in force; Guidelines' practices only in validation (health data guidelines)",0,
gov.regional--regional-policy-collaboration,3,SWZ-gov.regional-sadc-ict-ministerial-participation,,,,,,,"Endorsed the draft SADC Digital Transformation Strategy at ministerial level",0,
gov.regional--regional-legal-harmonisation,3,SWZ-gov.regional-sadc,,,,,,,"SADC adequacy model carried in the Data Protection Act; Malabo not ratified",0,
gov.regional--shared-regional-infrastructure,3,SWZ-infra.connect-cross-border-backbone-route,,,,,,,"Cross-border route to Maputo in service; operational agreements and traffic not reported",0,
