indicator_id,file,brief,rank,why
infra.connect--internet-exchange-points,baseline/2026-01-01-sao-tome-isoc-pulse-ixp-tracker.md,1,1,country-specific ISOC tracker stating there are no active IXPs in Sao Tome and Principe and none listed in PeeringDB; the PCH directory returned DUP-EXACT so this is the citable statement
infra.connect--internet-usage,baseline/2024-11-01-sao-tome-ager-observatorio-estatistico-2023.md,1,1,the regulator's own most recent published sector statistics and the national publication of the series the indicator asks about
infra.connect--internet-usage,progress/2026-03-11-world-bank-sao-tome-dpf-fiscal-energy-digital-connectivity.md,2,1,"sets a dated national broadband-use figure of 146,000 people at Dec/2025 as the baseline of a new financing operation's results framework"
infra.connect--internet-usage,progress/2025-10-20-world-bank-isr-digital-sao-tome-and-principe-seq7.md,2,2,"distinct event: the October 2025 implementation status report on connectivity; already staged by a sibling slice, topped up with the infra.connect topic rather than restaged"
infra.connect--mobile-affordability,baseline/2026-01-01-sao-tome-cst-tarifarios-movel.md,1,1,"the incumbent operator's own published mobile price schedule, the only current national price evidence located; the ITU affordability series publication returned DUP-EXACT"
infra.connect--national-fibre-backbone,baseline/2015-06-17-world-bank-icr-central-african-backbone-apl2-sao-tome.md,1,1,"the completion report on the project that financed Sao Tome's ACE submarine landing and created STP-Cabo; already staged by a sibling slice, topped up rather than restaged"
infra.connect--national-fibre-backbone,progress/2025-09-17-sao-tome-banco-mundial-stp-digital-ajuda-memoria-dex-identidade.md,2,1,"the September 2025 mission aide-memoire recording the Sao Tome to Principe submarine link procurement still outstanding; already staged by a sibling slice, topped up rather than restaged"
infra.store--local-data-centre-capacity-national-providers,baseline/2021-08-09-sao-tome-resolucao-35-2020-estrategia-governacao-digital.md,1,1,"the enacted national strategy recording the INIC data centre and the state data centre serving 82 institutions and proposing a Centro de Dados Governamental; already staged by a sibling slice, topped up rather than restaged"
infra.store--off-site-backup-capacity,baseline/2024-07-23-inic-sao-tome-estrategia-nacional-ciberseguranca-d3.md,1,1,"the most recent dated national statement on where the country's data sits, recording dependence on external hosting of data and structuring services and describing no backup or disaster-recovery capability"
infra.energy--rural-electrification,baseline/2025-01-01-sao-tome-national-energy-compact-mission-300.md,1,1,the government's own energy compact giving the 84 percent access rate current in 2024 and naming rural electrification by grid extension and off-grid mini-grids as the route to 100 percent by 2030
infra.energy--rural-electrification,progress/2026-04-23-afdb-sao-tome-etreep-245-million-grant.md,2,1,"the largest in-window financing event for extending access, with 2,000 new connections, 40,000 prepaid meters and a solar plant and network rehabilitation on Principe"
infra.energy--sufficient-energy-and-water-for-data-centres,baseline/2025-01-01-sao-tome-emae-principais-indicadores-desempenho-2024.md,1,1,"the utility's own 2024 indicators, showing 33.0 MW available at the plants against 15.50 MW maximum referred to production and 58.5 percent combined efficiency; the gap the indicator turns on"
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2026-04-23-afdb-sao-tome-etreep-245-million-grant.md,2,1,states daily outages of three to four hours and losses above 34 percent and funds modernisation of the national dispatch centre
infra.energy--sufficient-energy-and-water-for-data-centres,progress/2025-12-05-sao-tome-imf-country-report-25-347-second-review-ecf.md,2,2,"distinct event: the 2025 supply crisis after an independent producer suspended generation; already staged by a sibling slice, topped up with the infra.energy topic rather than restaged"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,baseline/2022-05-24-world-bank-pad4839-digital-sao-tome-and-principe-project.md,1,1,"the fullest dated external assessment of the state's own capacity to run digital systems, recording a fragmented approach to digitization and nascent foundations for digital government service delivery"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2026-04-22-rstp-pnud-capacitacao-digitalizacao-inteligencia-artificial.md,2,1,"KOICA-funded UNDP training of senior public administration staff in digital transformation and AI; already staged by a sibling slice, topped up rather than restaged"
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,progress/2026-05-08-sao-tome-telanon-fao-sistema-registo-embarcacoes-formacao.md,2,2,"distinct event: FAO training technicians of four government bodies to operate and maintain the new fishing vessel registry system, with a permanent user manual"
infra.capacity--robustness-of-government-hardware-and-software,baseline/2021-08-09-sao-tome-resolucao-35-2020-estrategia-governacao-digital.md,1,1,"the enacted strategy's diagnosis of small and medium data centres, fragmented technologies and insufficient material resources across the administration; one file answering two indicators in this slice"
