indicator_id,progress,summary,developments,row_ids
gov.policy--digital-transformation-strategy,No change,"The [Plan Strategique Numerique 2023-2028](2025-08-04 Madagascar - Digital Economy (Country Commercial Guide)) is the standing national digital strategy, with no published implementation report held.","The plan is recorded as in force and is the country's only whole-of-government digital instrument on file ([plan](2025-08-04 Madagascar - Digital Economy (Country Commercial Guide))).

No implementation report, mid-term review or costing under it has been published, and the projects recorded elsewhere in this ledger cite donor programmes rather than the plan as their authority.",MDG-gov.policy-psn
gov.policy--ict-strategy,Advanced,"The digital strategy was [independently assessed for the first time](2025-12-01-madagascar-digital-readiness-assessment-undp) in December 2025, and a cybersecurity strategy entered drafting.","A United Nations development agency assessment of the national digital strategy was completed in December 2025 and formally handed to government, finding leadership and strategy in place and implementation reporting absent ([assessment](2025-12-01-madagascar-digital-readiness-assessment-undp), [handover](2025-12-17-undp-remise-rapport-dra-madagascar)).

Drafting of a national cybersecurity strategy was launched in the same month, intended to replace a cybersecurity law of 2014 ([launch](2025-12-16-madagascar-launches-drafting-national-cybersecurity-strategy)).

A June 2026 monitoring session on the two World Bank digital projects reported one on work plan and the other in its closing stage, with no new figures ([review](2026-06-19-madagascar-reviews-progress-decim-prodigy)). The strategy's own text on the ministry's site remains unreachable, so the base holds an assessment of it rather than the document.",MDG-gov.policy-dra|MDG-gov.policy-psn|MDG-infra.cybersec-cyber-strategy
gov.policy--broadband-strategy,No change,No standalone broadband strategy is held; delivery runs through a donor project whose ministry's [financial governance was criticised](2026-03-01-rapport-audit-mndpt-cour-des-comptes) by the audit court.,"The supreme audit institution examined the digital ministry's financial governance and asset management for 2022 to 2025, criticising its handling of the ICT development fund and of two flagship projects ([audit](2026-03-01-rapport-audit-mndpt-cour-des-comptes)).

Parliament called in July 2026 for faster network rollout in underserved areas ([call](2026-07-07-madagascar-parliament-network-rollout-underserved-areas)).

The base holds no broadband plan, coverage target or universal service obligation as a document. What stands in its place is a project restructuring paper targeting enhanced broadband for 1,500 schools and health centres by March 2028 ([restructuring](2024-05-10-decim-restructuring-paper-rural-schools-connectivity)).",MDG-gov.policy-psn|MDG-infra.connect-decim|MDG-dpi.govtech-mndpt-audit
gov.policy--data-storage-cloud-strategy,Advanced,No cloud or data-storage strategy is held; the [physical layer was tendered in three lots](2026-02-12-appel-offres-datacenters-ugd-prodigy) in February 2026.,"Infrastructure equipment for the government data centres was put out to national tender in three lots in February 2026 ([tender](2026-02-12-appel-offres-datacenters-ugd-prodigy)), following an open quotation for air-conditioning at the secondary site in August 2025 ([quotation](2025-08-28-prodigy-iavoloha-datacenter-aircon-tender)).

Environmental and social safeguard documents for both data-centre sites were published in April 2026 ([safeguards](2026-04-21-publication-documents-gres-prodigy-datacenters)).

No policy on where state data must be held, what may be hosted abroad, or on procurement of cloud services is held. The order of events is a facility built first and a hosting policy not yet written.",MDG-infra.store-data-centres
gov.policy--data-interoperability-framework-roadmap,Advanced,The 2022 interoperability framework was [given a legal institutional basis](2025-12-01-decret-2025-1959-cadre-institutionnel-interoperabilite) by decree in December 2025.,"The framework was published in November 2022 as a technical instrument establishing an X-Road-based architecture and a coordinating role for the digital governance unit ([framework](2022-11-01-ugd-cadre-interoperabilite-v1.0.2), [page](2022-11-14-ugd-cadre-interoperabilite)).

A decree of December 2025 set the institutional framework for interoperability, giving the arrangement a basis in law ([decree](2025-12-01-decret-2025-1959-cadre-institutionnel-interoperabilite)). The platform built on it launched its first stage in April 2026 ([launch](2026-04-28-instat-interoperabilite-nationale)).

The decree's own text could not be captured, and the framework is held only to its second section; the governance model and architecture chapters are not in the base.",MDG-gov.policy-cadre-interop|MDG-dpi.exchange-rahaka
gov.policy--ai-strategy,No change,No national artificial-intelligence strategy exists; the [only adopted instrument](2026-06-19-ai-ethics-charter-judiciary) is an ethics charter binding the courts.,"A civil-society round table in July 2026 recorded the absence of any national strategy and called for a sovereign policy, noting that the national digital strategy carries no artificial-intelligence chapter ([round table](2026-07-01-compte-rendu-table-ronde-ia-madagascar-zama)).

Eighty-five magistrates adopted an ethics charter in June 2026 defining authorised and prohibited uses of artificial intelligence in the courts ([charter](2026-06-19-ai-ethics-charter-judiciary)).

A regional summit in May 2026 carried ministerial statements of ambition ([summit](2026-05-29-indian-ocean-ai-summit-madagascar)). What the base does not hold is any strategy, policy or governing instrument at national level.",MDG-tech.ai-ai-strategy|MDG-tech.ai-judiciary-charter
gov.policy--data-localisation-policies,No change,No localisation rule is held; the [2014 data-protection law](2014-12-16-loi-2014-038-protection-donnees-caractere-personnel) governs transfers abroad and its commission was constituted in 2025.,"The founding statute of 2014 regulates transfers of personal data abroad rather than requiring local storage ([statute](2014-12-16-loi-2014-038-protection-donnees-caractere-personnel)).

The supervisory commission that would administer such transfers became operational in August 2025 ([operationalisation](2025-08-06-cmil-operationalisation)).

Government data-centre construction proceeded in parallel, with safeguard documents for both national sites published in April 2026 ([safeguards](2026-04-21-publication-documents-gres-prodigy-datacenters)). The base holds no instrument requiring state or personal data to be held inside the country, and none of the data-centre documents states a hosting rule.",MDG-gov.protect-dpl|MDG-gov.protect-cmil|MDG-infra.store-data-centres
gov.policy--data-governance-policy,Advanced,No national data policy is adopted; [drafting was commissioned](2025-08-01-auda-nepad-reoi-draft-national-data-policy-madagascar) in August 2025 through a continental agency.,"A procurement notice of August 2025 sought consultants to draft a national data policy domesticating the African Union data policy framework, confirming that no such policy had been adopted ([notice](2025-08-01-auda-nepad-reoi-draft-national-data-policy-madagascar)).

The statistics office launched a microdata sharing platform for census and major survey data in August 2025 ([platform](2025-08-07-presentation-plateforme-microdonnees-instat-rgph3)).

The sequence is a data-sharing facility in service before the policy that would govern it. No adopted policy, no draft text and no consultation record is held.",MDG-gov.policy-data-policy|MDG-data.statistics-instat-microdata
gov.policy--open-data-policy,No change,Three of four known open-data platforms were reachable in August 2026 and [no whole-of-government open-data policy or mandate](2026-08-09-madagascar-assemblee-nationale-open-data-api) is held.,"A capture of August 2026 confirms institution-specific resources rather than a national programme: a licensed parliamentary open-data interface, a gated national-statistics microdata platform and an unconfirmed general portal ([capture](2026-08-09-madagascar-assemblee-nationale-open-data-api), [microdata](2026-08-09-madagascar-instat-microdata-platform), [portal](2026-08-09-madagascar-opendata-mg-portal)).

The finance ministry's own portal does not resolve. No open-data policy, public-sector information reuse instrument or publication mandate is held for the country.",MDG-data.open-open-data
gov.legislate--data-protection-legislation,No change,The [data-protection law of 2014](2025-02-25-gouvernance-numerique-donnees-personnelles-cmil-lexpress) has been in force since January 2015 and is recorded as unenforced.,"The law is in force and unenforced, and excludes part of journalistic practice from its scope ([law](2025-02-25-gouvernance-numerique-donnees-personnelles-cmil-lexpress)).

Eleven years on, no amendment, implementing decree, enforcement action or guidance under it is held, and the supervisory body it provides for has never been constituted.",MDG-gov.protect-dpl
