row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
XAF-infra.connect-abuja-declaration,XAF,infra.connect,Instruments and harmonisation,instrument,2026 Abuja Declaration on Meaningful Connectivity for Africa,Implemented,2026-07-31,"Adopted at the CPL-26 ministerial meeting, 2026-07-24",,Advanced,Did not exist,"Adopted, committing member states to technology-neutral regulation, continental harmonisation, fair access to spectrum and fibre, shared infrastructure and data governance; the text itself is not published",2026-07-27-atu-cpl26-abuja-declaration-sg-election-full-record|2026-07-31-atu-summit-abuja-declaration-digital-divide,,The full text was sought by the acquisition pass on 2026-07-30 and not obtained
XAF-infra.connect-digital-connectivity-infrastructure-report,XAF,infra.connect,Coordination and collaboration,instrument,Africa Digital Connectivity Infrastructure Report,Planned,2026-08-03,"Request for proposal for Phase 1 issued 2026-08-03, closing 2026-08-18",,Baseline not held,,"Phase 1, Country Pilots, put out as an open consultancy tender at a stated budget of US$165,000, funded jointly by the African Development Bank, the Asian Infrastructure Investment Bank and the Multilateral Cooperation Center for Development Finance; the pilot countries and the terms of reference are not established",2026-08-03-aiib-afdb-africa-digital-connectivity-rfp,,The terms of reference sit behind the AIIB procurement portal and were not retrievable at ingest; an acquisition line was filed 2026-08-09
XAF-infra.store-afcfta-datacentre-need,XAF,infra.store,Shared systems and infrastructure,measure,Data centres the AfCFTA Secretariat states digital trade requires,,2026-04-08,,,Baseline not held,,"More than 700, against about 220 on the continent, on the Secretary General's statement at Marrakech","2026-04-08 Africa's digital trade push requires 700 data centres, says AfCFTA chief",,"The Secretariat's own estimate, not an independent count"
XAF-infra.store-data-centre-occupancy,XAF,infra.store,Shared systems and infrastructure,measure,Time for a data centre to reach 85% occupancy,,2026-08-06,,,Baseline not held,,"Six to eight years in African markets against two to three in Europe, on the Africa Data Centres Association's 2026 Economic Report, which also puts 80-90% of the continent's data as still processed and stored abroad and projects the market at US$9.2bn by 2029",2026-08-06-africa-data-centre-occupancy-empty-capacity,,An industry association's own report; the occupancy and offshore-processing figures carry no stated method.
XAF-infra.cybersec-reported-cybercrime-losses,XAF,infra.cybersec,Shared systems and infrastructure,measure,Reported cybercrime losses across the continent,,2026-08-04,,,Regressed,About US$192m reported (2024),"About US$484m reported, more than double the 2024 figure, drawn from 36 member countries; INTERPOL puts AI at 55% of reported targeted crime and counts near 600,000 deepfake sextortion and harassment cases through a partner",2026-08-04-civ-interpol-ia-cybercrime-afrique|2026-08-05-senegal-interpol-report-bec-fraud-cybercrime-law,,"Reported losses, not measured losses: the base rate is reporting to national authorities, which INTERPOL does not claim is uniform across the 36 countries."
XAF-dpi.exchange-adapt,XAF,dpi.exchange,Shared systems and infrastructure,instrument,ADAPT (Africa Digital Access and Public Infrastructure for Trade),Piloting,2026-08-05,"Stated in pilot in Nigeria, Kenya and Morocco, second Digital Trade Forum, Lagos, 2026-07-02",,Advanced,Did not exist,"In pilot in Nigeria, Kenya and Morocco on the Secretary-General's statement to the second Digital Trade Forum; no live exchange, governing instrument or assessment held",2026-05-28 Building the same road twice|2026-08-05-afcfta-digital-trade-forum-lagos-oduwole-mene,,"Held through Data Landscapers analysis, which is cited as named third-party analysis; the pilot is stated by the Secretary-General and no implementation document is held"
XAF-dpi.exchange-afcfta-customs-modernisation,XAF,dpi.exchange,Shared systems and infrastructure,instrument,AfCFTA Customs Modernisation Project,Planned,2026-08-07,"Twenty-year US$3.1bn concession agreement signed with Bergmans Security Consultants, Abuja, 2026-08-06",,Baseline not held,,"A public-private partnership under which Bergmans Security Consultants and Supplies Limited mobilises the financing for customs digital solutions, secure electronic exchange of customs information, coordinated border management, One Stop Border Posts, transit systems, electronic cargo tracking, non-intrusive inspection technology, integrated data centres, multilingual customs portals, risk management and data analytics across participating State Parties; the agreement builds on a memorandum of understanding concluded in July 2026 and nothing is recorded as deployed",2026-08-07-afcfta-bergmans-concession-agreement-press-release|2026-08-06-afcfta-signs-3-1bn-customs-modernisation-deal,,"The concession agreement is not published; how Bergmans is repaid over twenty years, which State Parties have acceded and on what instrument, and who controls the data in the integrated data centres are stated by neither party. The Secretary-General's figure of about 50 countries signed on is uncorroborated and no list is published"
XAF-dpi.exchange-au-data-policy-framework,XAF,dpi.exchange,Instruments and harmonisation,instrument,AU Data Policy Framework,Implemented,2025-12-01,"Endorsed by the AU Executive Council, February 2022",2022-02-01,No change,"In force since February 2022 as the continental reference for data governance, with none of its operative texts drafted",Unchanged in text; the three operative frameworks it provides for went to validation in December 2025 and none is adopted or published,2022-02-01-au-data-policy-framework|2025-12-01-au-validation-workshop-continental-data-governance-frameworks,,"The English file on au.int is a 2024 reissue of the February 2022 instrument, not a later edition"
XAF-dpi.exchange-au-data-trade-guidelines,XAF,dpi.exchange,Instruments and harmonisation,instrument,AU Guidelines for Integrating Data Provisions in Protocols on Digital Trade,Implemented,2023-09-01,Issued September 2023,2023-09-01,No change,Issued September 2023 as a reference guide for negotiators integrating data provisions into the AfCFTA Protocol on Digital Trade,Unchanged; no record is held of its provisions being carried into the Protocol or its annexes,2023-09-01-au-guidelines-integrating-data-provisions-protocols-digital-trade,,The cover date is September 2023; the AU posted the document on 2025-05-22
XAF-dpi.exchange-continental-data-governance-frameworks,XAF,dpi.exchange,Instruments and harmonisation,instrument,Continental data governance frameworks,In development,2025-12-01,"Validation workshop, Addis Ababa, 1-4 December 2025",,Baseline not held,,"Three drafts - data categorisation and data sharing, cross-border data flows, and a continental open data strategy - validated with member states and regional economic communities; none submitted to AU policy organs and none published",2025-12-01-au-validation-workshop-continental-data-governance-frameworks,,"Run under the Data Governance in Africa Initiative, funded by BMZ and the European Union and implemented with AUDA-NEPAD and GIZ"
