row_id,place,subject,section,kind,name,status,published,milestone,since,movement,position_start,position_end,sources,probe_at,note
GAB-gov.policy-national-digital-strategy-document,GAB,gov.policy,Governance,instrument,National digital strategy document,Not held,,,,,,,,2026-09-04,
GAB-gov.policy-national-satellite-and-space-strategy,GAB,gov.policy,Governance,instrument,National satellite and space strategy,In development,2026-07-29,Eleven recommendations adopted at the closing of the Libreville seminar,,Advanced,Did not exist,"Eleven recommendations adopted and a hybrid fibre and satellite model confirmed, with an integrated national strategy recommended rather than drafted",2026-07-27-agp-gabon-communications-spatiales-11-recommandations-souverainete|2026-07-27-gabonreview-seminaire-communications-spatiales-souverainete|2026-07-29-gabon-advances-digital-sovereignty-with-national-satellite-seminar,,"No delivery date, budget line or drafting owner is named"
GAB-gov.legislate-digital-majority-and-platform-duties,GAB,gov.legislate,Governance,instrument,Digital majority and platform duties for minors,Implemented,2026-08-27,Ordinance of February 2026,,Advanced,Did not exist,"An ordinance fixing digital majority at 16 and obliging platforms to limit certain publication and interaction functions, to disable contacts from unidentified users by default and to provide age-verification mechanisms — a design duty rather than a minimum age alone, and the furthest any of the measures reported across the region has gone",2026-08-27-ecofin-protection-mineurs-reseaux-sociaux-afrique,,"the ordinance text is not held, only a comparative account of it; no implementing regulation, supervisory body or enforcement action is on record, and the constraint reported across the region is enforcement rather than law"
GAB-gov.legislate-code-de-procedure-civile,GAB,gov.legislate,Governance,instrument,Draft Code of Civil Procedure,In development,2026-08-12,Drafting commission submitted its text 2026-08-11,,Baseline not held,Not held,"A justice ministry commission submitted a draft running to more than 800 pages, rewriting the 1977 ordinance to introduce digitised and dematerialised procedural filings and secure digital tools, and to harmonise with the OHADA uniform acts; professional consultation and parliamentary debate are still ahead",2026-08-12-gabon-code-procedure-civile-digitalisation,,the draft text is not held and no timetable for consultation or introduction is stated
GAB-gov.legislate-five-implementing-texts-on-the,GAB,gov.legislate,Governance,instrument,Five implementing texts on the digitalisation of teaching,"In development, technically validated not adopted",2026-07-24,Validated by consensus at the closing of the Libreville national workshop and forwarded to the competent authorities,,Advanced,Did not exist,"Five drafts validated - two decrees on digitalised learning and on blended-learning platforms, two orders on assessment and on the steering committee, and a decree creating the basic computing certificate",2026-07-24-agp-gabon-textes-application-digitalisation-des-enseignements,,Neither the parent ordinance nor the law ratifying it is held
GAB-gov.legislate-legal-framework-for-the-national,GAB,gov.legislate,Governance,instrument,Legal framework for the national digital identity system,In development,2025-09-16,Named as the two texts on which the framework rests,,Baseline not held,No position held,"Two texts named - a law on the personal identification number and a law on the national civil registry centre - with no adoption, promulgation or gazette date for either",2025-09-16-gabon-digital-identity-governance-milestone|2025-06-23-gabon-legal-digital-id-three-projects,,"Neither text has a number, date or gazette reference on file"
GAB-gov.legislate-loi-025-2021-transactions,GAB,gov.legislate,Governance,instrument,Loi 025/2021 on electronic transactions,Implemented,2021-12-28,Gazetted 2021-12-28,2021-12-28,Advanced,Did not exist,In force as the electronic transactions statute,2021-12-28-jo-ga-loi-025-2021-transactions-electroniques,,
GAB-gov.legislate-loi-026-2018-communications,GAB,gov.legislate,Governance,instrument,Loi 026/2018 on electronic communications,Implemented,2019-10-17,Gazetted 2019-10-17,2019-10-17,Advanced,Did not exist,In force as the electronic communications sector statute,2019-10-17-jo-ga-loi-026-2018-communications-electroniques,,
GAB-gov.legislate-loi-n-027-2023-on,GAB,gov.legislate,Governance,instrument,Loi n 027/2023 on cybersecurity and cybercrime,"Implemented, text not held",2025-06-01,"Published in the Journal officiel n 218 bis of 15 July 2023, the same issue as the data-protection statute",2023-07-15,No change,"In force, text not held","In force, text not held",2023-07-15-gabon-loi-025-2023-protection-donnees-personnelles|2025-06-01-gabon-aninf-secbom-cybersecurity,,Named as present in the captured gazette issue but not reproduced in it
GAB-gov.legislate-ordonnance-n-0006-pr-2025,GAB,gov.legislate,Governance,instrument,Ordonnance n 0006/PR/2025 on digitalisation and electronic government,"Implemented, gazetted text not held",2026-02-10,Signed by the President and published in the Journal officiel of 7 September 2025,,Advanced,No comprehensive legal basis for electronic government,"In force, mandating digitisation of administrative services, compulsory interconnection between administrations, and a national-preference clause in digital public procurement",2025-10-07-gabon-egov-legal-framework|2025-10-24-gabon-2026-digital-budget-156pct|2026-02-10 Why Africa should sequence not rush into AI,,The ordinance number comes from the minister's own commentary; the wiki holds no article text or gazette reference
