indicator_id,subject,briefs_run,candidates_returned,fetched,staged_baseline,staged_progress,not_selected,dropped,drop_codes,outcome,subject_rows_at_probe
gov.policy--ict-strategy,gov.policy,2,8,3,1,2,0,0,,staged,2
gov.policy--broadband-strategy,gov.policy,2,7,3,1,2,0,0,,staged,2
gov.policy--data-storage-cloud-strategy,gov.policy,2,9,3,1,2,0,0,,staged,2
gov.policy--data-interoperability-framework-roadmap,gov.policy,2,7,3,1,2,0,2,already-seen,staged,2
gov.policy--data-localisation-policies,gov.policy,2,6,3,1,2,0,0,,staged,2
gov.policy--data-governance-policy,gov.policy,2,8,3,1,2,0,0,,staged,2
gov.policy--open-data-policy,gov.policy,2,8,3,1,2,0,0,,staged,2
gov.legislate--legislation-covering-digital-id,gov.legislate,2,8,3,1,2,1,0,,staged,6
gov.legislate--legislation-enabling-data-interoperability,gov.legislate,2,8,3,1,2,1,1,already-seen,staged,6
gov.legislate--ai-legislation-regulations,gov.legislate,2,8,3,1,2,1,0,,staged,6
gov.legislate--statistics-legislation,gov.legislate,2,7,3,1,2,1,0,,staged,6
gov.legislate--access-to-information-legislation,gov.legislate,2,8,4,1,2,1,0,,staged,6
gov.regional--regional-legal-harmonisation,gov.regional,2,8,3,1,2,4,1,already-seen,staged,2
gov.regional--shared-regional-infrastructure,gov.regional,2,11,3,1,2,6,2,already-seen,staged,2
gov.standards--national-quality-standards,gov.standards,2,11,4,1,2,7,0,,staged,2
gov.standards--adoption-of-international-standards,gov.standards,2,11,3,1,2,8,0,,staged,2
finance.budget--sustainable-domestic-financing-of-digital-transformation,finance.budget,2,7,3,1,1,3,1,fetch-blocked,staged,1
finance.new--mobilisation-of-non-state-finance,finance.new,2,9,3,1,2,6,0,,staged,1
infra.connect--internet-usage,infra.connect,2,4,2,1,1,1,1,already-seen,staged,17
infra.connect--internet-exchange-points,infra.connect,2,10,3,1,2,7,0,,staged,17
infra.store--off-site-backup-capacity,infra.store,2,11,3,1,2,8,0,,staged,6
infra.energy--rural-electrification,infra.energy,2,8,3,1,1,6,0,,staged,3
infra.capacity--robustness-of-government-hardware-and-software,infra.capacity,2,9,3,1,2,6,0,,staged,1
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,infra.capacity,2,11,3,1,2,8,0,,staged,1
dpi.exchange--national-data-exchange-system,dpi.exchange,2,9,3,1,2,0,1,already-seen,staged,2
dpi.exchange--use-of-digital-id-in-other-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,2
dpi.exchange--interoperability-of-health-systems,dpi.exchange,2,7,3,1,2,0,1,already-seen,staged,2
dpi.exchange--interoperability-of-education-systems,dpi.exchange,2,9,3,1,2,0,0,,staged,2
dpi.exchange--interoperability-of-social-protection-systems,dpi.exchange,2,9,3,1,2,0,1,already-seen,staged,2
dpi.id--authentication,dpi.id,2,9,2,1,2,0,0,,staged,12
dpi.id--digital-id-from-birth,dpi.id,2,9,2,1,2,0,1,already-seen,staged,12
dpi.id--interoperability-of-birth-registration-and-digital-id,dpi.id,2,8,2,1,2,0,0,,staged,12
digital.localgov--ict-infrastructure-for-local-government,digital.localgov,2,8,3,1,2,0,0,,staged,1
digital.localgov--digitalisation-of-local-government-records,digital.localgov,2,8,2,1,2,0,0,,staged,1
dpi.pay--g2p-functionality,dpi.pay,2,10,3,1,2,0,0,,staged,18
dpi.pay--revenue-collection,dpi.pay,2,12,3,1,2,0,0,,staged,18
dpi.pay--p2p-p2g-and-p2b-functionality,dpi.pay,2,11,3,1,2,0,0,,staged,18
dpi.registry--address-register,dpi.registry,2,10,3,1,2,0,0,,staged,5
dpi.registry--social-protection-register,dpi.registry,2,8,3,1,2,0,0,,staged,5
dpi.registry--electoral-register,dpi.registry,2,10,3,1,2,0,0,,staged,5
dpi.registry--tax-register,dpi.registry,2,9,3,1,2,0,0,,staged,5
dpi.registry--land-register,dpi.registry,2,8,3,1,2,0,0,,staged,5
dpi.mis--education,dpi.mis,2,11,4,1,2,1,0,,staged,2
dpi.mis--social-protection,dpi.mis,2,7,3,1,2,0,0,,staged,2
dpi.mis--customs,dpi.mis,2,11,3,1,2,0,0,,staged,2
digital.rural--digitalisation-of-rural-health-clinics,digital.rural,2,14,3,1,2,0,1,already-seen,staged,1
digital.rural--digitalisation-of-rural-primary-schools,digital.rural,2,10,3,1,2,0,0,,staged,1
digital.rural--digitalisation-of-rural-registry-offices,digital.rural,2,12,3,1,2,0,0,,staged,1
digital.rural--digitalisation-of-rural-police-stations,digital.rural,2,12,3,1,2,0,0,,staged,1
tech.ai--use-of-ai-in-government-administration,tech.ai,2,11,3,1,2,0,0,,staged,10
tech.ai--control-of-ai-abuse,tech.ai,2,12,3,1,2,0,0,,staged,10
capacity.training--dt-related-training-in-secondary-education,capacity.training,2,11,3,1,2,0,0,,staged,6
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,capacity.research,2,12,3,1,2,0,1,already-seen,staged,1
include.access--citizen-participation-in-policy,include.access,2,11,4,1,2,0,1,url-dead,staged,8
include.access--inclusion-of-refugees-and-idps,include.access,2,12,3,1,2,0,0,,staged,8
data.statistics--national-strategy-for-development-of-statistics,data.statistics,2,7,3,1,2,0,0,,staged,4
