indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,2,BEN-gov.policy-strategy-2031,,,,,,,"Stratégie numérique 2031 in drafting since February 2026; no adopted national strategy on record",0,
gov.policy--ict-strategy,2,BEN-gov.policy-strategy-2031,,,,,,,"only the 2031 digital strategy in drafting; no adopted ICT sector policy on record",0,
gov.policy--broadband-strategy,3,BEN-gov.policy-broadband-pdi2t,,,,,,,"broadband programme founded by decree 2015-378 stands as the instrument; no dated targets or funding on record",0,
gov.policy--data-storage-cloud-strategy,,,,,,,,,"unplaced: only an expert roadmap urging a sovereign cloud; no hosting policy or cited absence of one",0,
gov.policy--data-interoperability-framework-roadmap,2,BEN-dpi.exchange-dpi-roadmap|BEN-dpi.exchange-pasi-pdaie,,,,,,,"DPI roadmap in draft and PASI/PDAIE referentials under consultation; none adopted",0,
gov.policy--ai-strategy,3,BEN-tech.ai-sniam,,,,,,,"2023-2027 AI and big-data strategy in force; no governance body or funded action on record",0,
gov.policy--data-localisation-policies,2,BEN-gov.legislate-data-localisation,,,,,,,"localisation law committed in the presidential programme only; no draft or scope",0,
gov.policy--data-governance-policy,2,BEN-gov.regional-cotonou-declaration,,,,,,,"regional commitment to harmonised data frameworks; no national data policy drafted or adopted",0,
gov.policy--open-data-policy,,,,,,,,,"unplaced: only a budget-transparency reference survey; no open data policy or portal on record",0,
gov.legislate--data-protection-legislation,3,BEN-gov.legislate-code-du-numerique|BEN-gov.protect-apdp,,,,,,,"law in force and authority acting; no implementing regulations on record",0,
gov.legislate--cybersecurity-legislation,3,BEN-gov.legislate-code-du-numerique,,,,,,,"digital code in force as framework statute; regulations and institutional mechanism not shown on these rows",0,
gov.legislate--legislation-covering-digital-id,3,BEN-gov.legislate-identification-law-2017|BEN-dpi.id-foreigners-law,,,,,,,"2017 law creates the agency and identifier; no regulations or grievance and oversight provisions on record",0,
gov.legislate--digital-payments-legislation,3,BEN-gov.legislate-loi-2024-14-banking,,,,,,,"licensing of payment and e-money institutions in force; no consumer-protection provisions or licence acts on record",0,
gov.legislate--legislation-enabling-data-interoperability,3,BEN-dpi.exchange-decree-text,,,,,,,"décret 2020-209 in force instituting the exchange; implementing acts not on record",0,
gov.legislate--e-commerce-legislation,3,BEN-gov.legislate-code-du-numerique,,,,,,,"digital code in force; trust-service regulations and accredited providers not on record",0,
