row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
COM-infra.connect-international-connectivity-cable-system-landings,COM,infra.connect,Infrastructure,"International connectivity - cable system, landings and capacity","The state cable company's own statutes or annual report, the inspectorate audit of it planned for 2025, or any regulator or ministry statement naming the cable systems landing in Comoros, their capacity and whether the archipelago has more than one path; the base names the operator on five sources and the physical asset on none",,
COM-infra.cybersec-national-computer-emergency-response-team,COM,infra.cybersec,Infrastructure,National computer emergency response team,"Any decree, digital agency statement or regulator decision establishing an incident-response body, or a statement that none exists; the 2018 strategy costed a national cybersecurity apparatus at KMF 942,931,440 and nothing on file says what was built",,
COM-infra.energy-electricity-supply-to-digital-infrastructure,COM,infra.energy,Infrastructure,Electricity supply to digital infrastructure,"A national utility annual report, an inspectorate audit of it, or an operator statement on grid availability at telecom sites; the incumbent names consolidation of energy infrastructure as a 2025 priority without a figure, and the subject holds no Comorian source at all",,
COM-infra.store-data-centre-capacity-and-utilisation,COM,infra.store,Infrastructure,Data centre capacity and utilisation,"The digital agency's own statement or annual report, or the facility's tier certification record; the only market-level document is a commercial briefing whose figures are held and deliberately not absorbed",,
COM-dpi.govtech-national-government-services-portal-or,COM,dpi.govtech,Digital public infrastructure,National government services portal or single window,"The portal's own address and service catalogue, or the digital agency's 2026 action plan, examined by its board on 2026-07-27 and not published; the procurement notice speaks of upgrading a government portal, implying one exists",,
COM-dpi.registry-land-and-property-registry-digitisation,COM,dpi.registry,Digital public infrastructure,Land and property registry digitisation,"The territorial development ministry's cadastre programme documentation, or a development bank appraisal naming a land component; nothing is on file at all",,
COM-dpi.registry-business-registry-and-investment-one,COM,dpi.registry,Digital public infrastructure,Business registry and investment one-stop shop digitisation,"The investment agency's communique on its January 2026 working meeting with the tax authority on interconnecting their information systems, recorded in the base as a lead and never staged",,
COM-data.statistics-national-open-data-or-statistical,COM,data.statistics,Digital public infrastructure,National open-data or statistical dissemination platform,The statistics institute's data-release practice or the national statistical development strategy invoked by name at the census launch and not held,,
COM-data.satellite-national-spatial-data-infrastructure-or,COM,data.satellite,Digital public infrastructure,National spatial data infrastructure or address register,The cartography unit's or the territorial development ministry's geospatial policy document; two training programmes are recorded and no institution or dataset,,
COM-dpi.mis-routine-national-health-information-system,COM,dpi.mis,Digital public infrastructure,Routine national health information system,The health ministry's own system instance or an annual health-statistics yearbook; one campaign is on file and nothing about what runs between campaigns,,
COM-dpi.mis-education-management-information-system-beyond,COM,dpi.mis,Digital public infrastructure,Education management information system beyond the pilot,"The education ministry's statistical yearbook, or the extension study the children's fund is described as conducting; coverage, pupil count and identifier issuance are unpublished",,
COM-digital.rural-universal-service-or-rural-digital,COM,digital.rural,Digital public infrastructure,Universal service or rural digital access fund,"The regulator's statutory annual activity report, which does not exist for any year; the electronic communications statute funds the regulator from a turnover levy and the base records no access fund",,
COM-digital.localgov-municipal-or-island-government-digital,COM,digital.localgov,Digital public infrastructure,Municipal or island-government digital services,"A communal or island-executive digital plan, or the decree organising the collectivities; mayors and prefects appear only as stakeholders in the civil-registry programme",,
COM-dpi.govtech-integrated-financial-management-information-system,COM,dpi.govtech,Digital public infrastructure,Integrated financial management information system,"The public finance programme's procedures manual, or a French development agency appraisal naming the expenditure-chain system; the tax system covers tax only",,
COM-gov.policy-conseil-national-sur-le-numerique,COM,gov.policy,Governance and regulation,Conseil National sur le Numerique,"The decree or order constituting the council, or a digital agency or government statement of the sector's steering arrangements; the 2018 strategy designs it as the sector's political steering organ and nothing since mentions it",,
COM-gov.standards-regulator-sanctions-licensing-decisions-and,COM,gov.standards,Governance and regulation,"Regulator sanctions, licensing decisions and spectrum awards","The regulator's decisions series, of which the base holds exactly one item, or the statutory annual activity report that would list them",,
COM-data.open-open-government-data-policy-or,COM,data.open,Governance and regulation,Open government data policy or portal,"Any Comorian open-data instrument, a national data portal, or an access-to-information law; the subject returns no Comorian file at all, so no position on open data can be stated",,
COM-gov.policy-national-artificial-intelligence-strategy-or,COM,gov.policy,Governance and regulation,National artificial-intelligence strategy or policy,A published strategy or the ministry's or digital agency's own statement of one; the first national forum on the subject was held 2026-03-31 and discussed regulation as a structural challenge without producing an instrument,,
COM-gov.regional-position-under-the-african-union,COM,gov.regional,Governance and regulation,Position under the African Union Convention on Cyber Security and Personal Data Protection,"The African Union depositary status list, or a Comorian ratification law; no regional data or cyber instrument is connected to Comoros anywhere in the base",,
COM-tech.ai-deployed-or-piloted-artificial-intelligence,COM,tech.ai,Artificial intelligence and the technology sector,Deployed or piloted artificial-intelligence system,"Any named operational system in Comorian government or industry, or a ministry inventory of them; the base names artificial intelligence only as a forum theme, a training strand and a procurement line",,
COM-tech.innovate-start-up-statute-or-innovation,COM,tech.innovate,Artificial intelligence and the technology sector,Start-up statute or innovation-financing instrument,"A Comorian start-up law, an innovation fund decree, or the incubator's operating charter under the e-government project; no such instrument appears anywhere in the base",,
COM-tech.industry-digital-sector-contribution-to-gross,COM,tech.industry,Artificial intelligence and the technology sector,Digital sector contribution to gross domestic product,"The statistics institute's national accounts by branch, or the regulator's statutory annual activity report, which has never been published; no sector-size, employment or firm-count figure exists in the base for any year",,
COM-geopol.china-chinese-digital-or-technology-cooperation,COM,geopol.china,Artificial intelligence and the technology sector,Chinese digital or technology cooperation instrument,"The memorandum or contract behind the technology park build and the supplier training cohort, or the World Bank appraisal document naming the supplier arrangement; the supplier appears in three sources as builder and trainer and no instrument is held",,
COM-geopol.usa-united-states-digital-or-technology,COM,geopol.usa,Artificial intelligence and the technology sector,United States digital or technology cooperation instrument,"Any embassy, development finance or trade agency statement on Comorian digital cooperation, or the regulator's decision on the satellite operator's licence application; the only United States-linked item in the base is the deployment ban",,
COM-geopol.india-indian-digital-or-technology-cooperation,COM,geopol.india,Artificial intelligence and the technology sector,Indian digital or technology cooperation instrument,"A bilateral statement, a credit line, or a digital public infrastructure memorandum; the base holds nothing whatsoever on this subject",,
COM-geopol.gulf-gulf-state-digital-or-technology,COM,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital or technology cooperation instrument,"A bilateral digital agreement, or the Islamic bank's own board approval document for the e-government project, which would at least date and characterise the component the base knows only through a procurement notice",,
COM-include.divides-universal-service-or-rural-access,COM,include.divides,Inclusion and capacity,Universal service or rural access fund,"A published universal-service provision in the electronic communications statute, whose promulgating decree is held and whose own text is not, or a regulator decision establishing a fund and its levy rate; a corpus-wide search returns such funds in four other countries and nothing Comorian",,
COM-capacity.literacy-national-digital-literacy-or-digital,COM,capacity.literacy,Inclusion and capacity,National digital-literacy or digital-skills programme,"An education ministry or digital agency programme document, or the education chapter of the 2018 strategy's implementation plan, naming a programme with a target and a budget line",,
COM-include.access-official-internet-penetration-or-affordability,COM,include.access,Inclusion and capacity,Official internet-penetration or affordability series,"The regulator's statutory annual activity report, which does not exist for any year, or connectivity figures actually stored rather than pointed at; the wiki holds a reference report for Comoros whose stored body carries no figures at all",,
COM-finance.budget-execution-of-the-2025-digital,COM,finance.budget,Finance,Execution of the 2025 digital vote,"The budget execution report for 2025, due mid-2026 on the ministry's own cadence, or the fiscal operations table; neither exists at 2026-08-04, and only the 2024 outturn exists, by nature",,
COM-finance.new-financing-instrument-behind-the-technology,COM,finance.new,Finance,Financing instrument behind the technology park,"The World Bank appraisal document or aid-transparency activity for the operation carrying the US$4,090,000, which would identify the lending instrument and disbursement schedule",,
