indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,2026-07-31,0,Roadmap 2026-2028 in force on ministry press claims; text not held; no costed plan or M&E report on record,
gov.policy--ict-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,2026-07-31,0,Sector covered by the ministerial roadmap; no implementation plan or regulator report against it on record,
gov.policy--data-storage-cloud-strategy,2,CIV-tech.ai-national-sovereign-cloud,,,,,,,2026-07-31,0,National data centre and sovereign cloud under construction; no hosting policy instrument on record,
gov.policy--data-interoperability-framework-roadmap,3,CIV-gov.standards-general-interoperability-framework,,,,,,,2026-07-31,0,Framework adopted by decree 2021-913; no custodian or conformance act cited on this row,
gov.policy--ai-strategy,3,CIV-tech.ai-national-ai-strategy,,,,,,,2026-07-31,0,Counted as adopted on secondary sources; no adoption instrument held; AI committee not constituted and no funding line,
gov.policy--data-localisation-policies,2,CIV-tech.ai-national-data-governance-strategy-2030,,,,,National data centre operational and national cloud in place,2026-12-31,2026-07-31,0,Localisation of a data copy stated in strategy only; no binding instrument classifying data,
gov.policy--data-governance-policy,3,CIV-tech.ai-national-data-governance-strategy-2030,,,,,,,2026-07-31,0,Strategy handed to the Prime Minister 2025 and being implemented; no adoption instrument; no data governance organ on record,
gov.policy--open-data-policy,2,CIV-gov.policy-ogp-national-action-plan-5,,,,,,,2026-07-31,0,Open data promotion only as an OGP commitment; no open data policy instrument on record,
gov.legislate--data-protection-legislation,3,CIV-gov.protect-loi-n-2013-450-on-personal-data-protection,,,,,,,2026-07-31,0,Law in force with regulator as authority; no implementing decree or enforcement act on record,
gov.legislate--cybersecurity-legislation,3,CIV-gov.legislate-ordonnance-n-2024-950-transferring-the-cyber,,,,,,,2026-07-31,0,Ordinance ratified 2025; no implementing regulations or prosecutions on this row,
gov.legislate--legislation-covering-digital-id,3,CIV-gov.legislate-loi-2019-566-biometric-identity-card,,,,,,,2026-07-31,0,"Law 2019-566 enacted; silent on data protection, grievance and oversight",
gov.legislate--digital-payments-legislation,2,CIV-gov.legislate-banking-regulation-bill,,,,,,,2026-07-31,0,Bills adopted by Council of Ministers April 2026; passage and texts not held,
gov.legislate--legislation-enabling-data-interoperability,3,CIV-gov.legislate-ordonnance-2017-500-echanges-electroniques,,,,,,,2026-07-31,0,Ordinance 2017-500 obliges connection and once-only; no levels of assurance or custodian on record,
gov.legislate--ai-legislation-regulations,1,CIV-gov.legislate-any-ivorian-artificial-intelligence-statute,,,,,,,2026-07-31,0,No AI statute published; governance only through non-binding strategy instruments,
gov.legislate--e-commerce-legislation,3,CIV-gov.legislate-loi-n-2013-546-on-electronic-transactions,,,,,,,2026-07-31,0,Law and e-signature decrees in force; no consumer provisions or accreditation acts on record,
gov.legislate--statistics-legislation,3,CIV-gov.legislate-statistics-law-implementing-decrees,,,,,,,2026-07-31,0,Law with three decrees on a communique; statute text not held so independence and funding basis unshown,
gov.legislate--access-to-information-legislation,,,,,,,,,2026-07-31,0,"Only a programme row; no law, bill or cited absence on record",
gov.protect--data-protection-authority,3,CIV-gov.protect-loi-n-2013-450-on-personal-data-protection|CIV-gov.protect-register-of-data-protection-officers|CIV-gov.protect-compliance-and-authorisation-caseload,,,,,,,2026-07-31,0,Regulator operating registrations and authorisations; no enforcement decision or separate budget on record,
gov.protect--national-data-protection-readiness,3,CIV-dpi.govtech-certinum-data-protection-compliance-platform,,,,,,,2026-07-31,0,Regulator's compliance and authorisation platform live; none of the Guidelines' practices on record,
gov.regional--regional-policy-collaboration,3,CIV-tech.ai-francophone-west-african-ai-governance-guide,,,,,,,2026-07-31,0,Six-state AI guidelines adopted; process led by an advocacy group not a regional body,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,Only a regional payments mandate; no cyberlaw domestication or cited absence on record,
gov.regional--shared-regional-infrastructure,3,CIV-dpi.exchange-sipao-police-information-system,,,,,,,2026-07-31,0,West African police information system interconnected on a government self-report; no usage reported,
gov.standards--national-interoperability-standards,3,CIV-gov.standards-general-interoperability-framework|CIV-dpi.exchange-uxp-interoperability-platform,,,,,,,2026-07-31,0,Framework decree and platform live; no conformance testing or certification on record,
gov.standards--national-quality-standards,,,,,,,,,2026-07-31,0,"Only cyber-agency auditor certification; no standards body, quality policy or cited absence on record",
gov.standards--adoption-of-international-standards,,,,,,,,,2026-07-31,0,Only an SDMX-compliant platform; ISO membership and national adoption not on record,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,2026-07-31,0,Only a draft IPv6 strategy validation; no non-governmental input or cited absence on record,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,2026-07-31,0,Open Government Week consultations only; neither restrictions nor their absence on record,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,CIV-finance.budget-universal-service-levy-programme|CIV-finance.budget-fy2024-digital-budget-execution,,,,,,,2026-07-31,0,Universal service levy appropriated with FY2024 outturn; no sovereignty fund or published fund accounts,
finance.new--mobilisation-of-non-state-finance,1,,0.001445,per cent of GDP,2026,outputs/non-state-finance/CIV-nonstate.csv@2026-05-27,,,2026-07-31,0,"3 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,3,,65.3,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,on a survey figure via itu-sdg-5b1-mobile-ownership-10plus,
infra.connect--internet-usage,2,,41.4,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,on a survey figure via itu-sdg-17-8-1-internet-use,
infra.connect--mobile-affordability,3,,3.04,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,3,CIV-infra.connect-deployed-optical-fibre,,,,,,,2026-07-31,0,About 38000 km on ministry figures; regional reach and open-access terms not on record,
infra.connect--internet-exchange-points,3,CIV-infra.connect-civix-national-internet-exchange-point,,,,,,,2026-07-31,0,CIVIX at 36 Gbps with content peering; no second-date traffic or second site on record,
infra.connect--satellite-broadband-licensing-and-availability,3,CIV-infra.connect-starlink-network-civ|CIV-infra.connect-orange-sat-satellite-broadband,,,,,,,2026-07-31,0,Service live on a provisional individual licence; no blanket licensing or published fees,
infra.store--local-data-centre-capacity-all-providers,4,,5,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-08-25,,,2026-07-31,0,"5 of 6 multi-tenant facilities in service at Tier III or above, 4 on the operator's own statement",
infra.store--local-data-centre-capacity-national-providers,2,,25,per cent of facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-08-25,,,2026-07-31,0,1 of 4 multi-tenant facilities of known ownership nationally owned,
infra.store--off-site-backup-capacity,3,CIV-infra.store-budget-ministry-backup-data-centre,,,,,,,2026-07-31,0,Shared DR site for customs tax and budget; no continuity plan or restore test published,
infra.energy--grid-reliability,3,,3.6703,outages per month,2023,ref:enterprise-surveys-outages@2026-09-24,,,2026-07-31,0,on a survey figure via enterprise-surveys-outages,
infra.energy--rural-electrification,2,,47.7,% of rural population,2024,ref:wdi-elc-accs-rural@2026-07-13,,,2026-07-31,0,on a survey figure via wdi-elc-accs-rural,
infra.capacity--robustness-of-government-hardware-and-software,2,CIV-gov.policy-information-system-master-plan-of-the-econom,,,,,,,2026-07-31,0,Economy ministry master plan adopted after diagnostic of ageing systems; nothing built on record,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,CIV-infra.capacity-civil-service-information-systems-directorate,,,,,,,2026-07-31,0,In-house directorate runs the civil-service system; no systematic cross-government programme,
infra.cybersec--national-cybersecurity-readiness,3,CIV-gov.policy-national-cybersecurity-strategy-2021-2025|CIV-gov.legislate-national-cyber-security-agency|CIV-infra.cybersec-national-public-key-infrastructure,,,,,,,2026-07-31,0,Agency operating under an expired strategy; no prosecutions or critical-infrastructure regime on record,
dpi.exchange--national-data-exchange-system,3,CIV-dpi.exchange-uxp-interoperability-platform,,,,,,,2026-07-31,0,UXP live with five administrations; no service count or access conditions published,
dpi.exchange--use-of-digital-id-in-other-systems,2,CIV-include.access-single-social-register,,,,,,,2026-07-31,0,Social register to ID link under convention only; interfaces still under consideration,
dpi.exchange--interoperability-of-health-systems,2,CIV-dpi.mis-cmu-single-patient-identifier,,,,,,,2026-07-31,0,Patient identifier decreed with conformity deadline; no HIE policy or exchange in service on record,
dpi.exchange--interoperability-of-social-protection-systems,,,,,,,,,2026-07-31,0,Only an ID project row stating no link; no exchange plan or cited absence on record,
dpi.id--robustness-of-system,3,CIV-dpi.id-national-biometric-register-and-identificati,,,,,,,2026-07-31,0,Register in service; historic duplicates admitted; no assurance level or audit published,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,CIV-dpi.id-oneci-semlex-partnership|CIV-dpi.id-population-identification-appropriation,,,,,,,2026-07-31,0,Foreign firm built and runs the card project; terms and exit clauses unpublished,
