indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,"Roadmap 2026-2028 in force on ministry press claims; text not held; no costed plan or M&E report on record",0,
gov.policy--ict-strategy,3,CIV-tech.innovate-ministerial-digital-roadmap-2026-2028,,,,,,,"Sector covered by the ministerial roadmap; no implementation plan or regulator report against it on record",0,
gov.policy--data-storage-cloud-strategy,2,CIV-tech.ai-national-sovereign-cloud,,,,,,,"National data centre and sovereign cloud under construction; no hosting policy instrument on record",0,
gov.policy--data-interoperability-framework-roadmap,3,CIV-gov.standards-general-interoperability-framework,,,,,,,"Framework adopted by decree 2021-913; no custodian or conformance act cited on this row",0,
gov.policy--ai-strategy,3,CIV-tech.ai-national-ai-strategy,,,,,,,"Counted as adopted on secondary sources; no adoption instrument held; AI committee not constituted and no funding line",0,
gov.policy--data-localisation-policies,2,CIV-tech.ai-national-data-governance-strategy-2030,,,,,National data centre operational and national cloud in place,2026-12-31,"Localisation of a data copy stated in strategy only; no binding instrument classifying data",0,
gov.policy--data-governance-policy,3,CIV-tech.ai-national-data-governance-strategy-2030,,,,,,,"Strategy handed to the Prime Minister 2025 and being implemented; no adoption instrument; no data governance organ on record",0,
gov.policy--open-data-policy,2,CIV-gov.policy-ogp-national-action-plan-5,,,,,,,"Open data promotion only as an OGP commitment; no open data policy instrument on record",0,
gov.legislate--data-protection-legislation,3,CIV-gov.protect-loi-n-2013-450-on-personal-data-protection,,,,,,,"Law in force with regulator as authority; no implementing decree or enforcement act on record",0,
gov.legislate--cybersecurity-legislation,3,CIV-gov.legislate-ordonnance-n-2024-950-transferring-the-cyber,,,,,,,"Ordinance ratified 2025; no implementing regulations or prosecutions on this row",0,
gov.legislate--legislation-covering-digital-id,3,CIV-gov.legislate-loi-2019-566-biometric-identity-card,,,,,,,"Law 2019-566 enacted; silent on data protection, grievance and oversight",0,
gov.legislate--digital-payments-legislation,2,CIV-gov.legislate-banking-regulation-bill,,,,,,,"Bills adopted by Council of Ministers April 2026; passage and texts not held",0,
gov.legislate--legislation-enabling-data-interoperability,3,CIV-gov.legislate-ordonnance-2017-500-echanges-electroniques,,,,,,,"Ordinance 2017-500 obliges connection and once-only; no levels of assurance or custodian on record",0,
gov.legislate--ai-legislation-regulations,1,CIV-gov.legislate-any-ivorian-artificial-intelligence-statute,,,,,,,"No AI statute published; governance only through non-binding strategy instruments",0,
gov.legislate--e-commerce-legislation,3,CIV-gov.legislate-loi-n-2013-546-on-electronic-transactions,,,,,,,"Law and e-signature decrees in force; no consumer provisions or accreditation acts on record",0,
gov.legislate--statistics-legislation,3,CIV-gov.legislate-statistics-law-implementing-decrees,,,,,,,"Law with three decrees on a communique; statute text not held so independence and funding basis unshown",0,
gov.legislate--access-to-information-legislation,,,,,,,,,"Only a programme row; no law, bill or cited absence on record",0,
gov.protect--data-protection-authority,3,CIV-gov.protect-loi-n-2013-450-on-personal-data-protection|CIV-gov.protect-register-of-data-protection-officers|CIV-gov.protect-compliance-and-authorisation-caseload,,,,,,,"Regulator operating registrations and authorisations; no enforcement decision or separate budget on record",0,
gov.protect--national-data-protection-readiness,3,CIV-dpi.govtech-certinum-data-protection-compliance-platform,,,,,,,"Regulator's compliance and authorisation platform live; none of the Guidelines' practices on record",0,
gov.regional--regional-policy-collaboration,3,CIV-tech.ai-francophone-west-african-ai-governance-guide,,,,,,,"Six-state AI guidelines adopted; process led by an advocacy group not a regional body",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Only a regional payments mandate; no cyberlaw domestication or cited absence on record",0,
gov.regional--shared-regional-infrastructure,3,CIV-dpi.exchange-sipao-police-information-system,,,,,,,"West African police information system interconnected on a government self-report; no usage reported",0,
gov.standards--national-interoperability-standards,3,CIV-gov.standards-general-interoperability-framework|CIV-dpi.exchange-uxp-interoperability-platform,,,,,,,"Framework decree and platform live; no conformance testing or certification on record",0,
gov.standards--national-quality-standards,,,,,,,,,"Only cyber-agency auditor certification; no standards body, quality policy or cited absence on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"Only an SDMX-compliant platform; ISO membership and national adoption not on record",0,
gov.discourse--non-governmental-contribution-to-national-policy,,,,,,,,,"Only a draft IPv6 strategy validation; no non-governmental input or cited absence on record",0,
gov.discourse--open-discussion-of-government-policy,,,,,,,,,"Open Government Week consultations only; neither restrictions nor their absence on record",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,4,CIV-finance.budget-universal-service-levy-programme|CIV-finance.budget-fy2024-digital-budget-execution,,,,,,,"Universal service levy appropriated with FY2024 outturn; no sovereignty fund or published fund accounts",0,
infra.connect--national-fibre-backbone,3,CIV-infra.connect-deployed-optical-fibre,,,,,,,"About 38000 km on ministry figures; regional reach and open-access terms not on record",0,
infra.connect--internet-exchange-points,3,CIV-infra.connect-civix-national-internet-exchange-point,,,,,,,"CIVIX at 36 Gbps with content peering; no second-date traffic or second site on record",0,
infra.connect--satellite-broadband-licensing-and-availability,3,CIV-infra.connect-starlink-network-civ|CIV-infra.connect-orange-sat-satellite-broadband,,,,,,,"Service live on a provisional individual licence; no blanket licensing or published fees",0,
infra.store--off-site-backup-capacity,3,CIV-infra.store-budget-ministry-backup-data-centre,,,,,,,"Shared DR site for customs tax and budget; no continuity plan or restore test published",0,
infra.capacity--robustness-of-government-hardware-and-software,2,CIV-gov.policy-information-system-master-plan-of-the-econom,,,,,,,"Economy ministry master plan adopted after diagnostic of ageing systems; nothing built on record",0,
infra.capacity--local-capacity-to-maintain-manage-and-develop-government-systems,3,CIV-infra.capacity-civil-service-information-systems-directorate,,,,,,,"In-house directorate runs the civil-service system; no systematic cross-government programme",0,
infra.cybersec--national-cybersecurity-readiness,3,CIV-gov.policy-national-cybersecurity-strategy-2021-2025|CIV-gov.legislate-national-cyber-security-agency|CIV-infra.cybersec-national-public-key-infrastructure,,,,,,,"Agency operating under an expired strategy; no prosecutions or critical-infrastructure regime on record",0,
dpi.exchange--national-data-exchange-system,3,CIV-dpi.exchange-uxp-interoperability-platform,,,,,,,"UXP live with five administrations; no service count or access conditions published",0,
dpi.exchange--use-of-digital-id-in-other-systems,2,CIV-include.access-single-social-register,,,,,,,"Social register to ID link under convention only; interfaces still under consideration",0,
dpi.exchange--interoperability-of-health-systems,2,CIV-dpi.mis-cmu-single-patient-identifier,,,,,,,"Patient identifier decreed with conformity deadline; no HIE policy or exchange in service on record",0,
dpi.exchange--interoperability-of-social-protection-systems,,,,,,,,,"Only an ID project row stating no link; no exchange plan or cited absence on record",0,
dpi.id--robustness-of-system,3,CIV-dpi.id-national-biometric-register-and-identificati,,,,,,,"Register in service; historic duplicates admitted; no assurance level or audit published",0,
dpi.id--national-maintenance-of-id-and-credentials-systems,3,CIV-dpi.id-oneci-semlex-partnership|CIV-dpi.id-population-identification-appropriation,,,,,,,"Foreign firm built and runs the card project; terms and exit clauses unpublished",0,
dpi.id--authentication,3,CIV-dpi.id-register-authentication-service-for-banks,,,,,,,"One bank checking identities against the register; no second consumer on record",0,
dpi.id--digital-id-from-birth,3,CIV-dpi.id-decret-2019-805-electronic-civil-status|CIV-dpi.registry-civil-registry-software-rollout,,,,,,,"Number generated at digital registration; rollout on identification office figures; no coverage published",0,
dpi.id--use-by-other-systems,3,CIV-dpi.id-maposte-application,,,,,,,"Postal service keyed on the national register; no electoral or tax register link on this row",0,
dpi.pay--governance-role-of-central-bank,3,CIV-dpi.pay-fourth-electronic-money-licence|CIV-dpi.pay-regional-instant-payment-interoperability-ma|CIV-dpi.pay-mobile-money-accounts-and-transaction-volume,,,,,,,"Licensing, interoperability mandate and statistics on record; no consumer-protection function on record",0,
dpi.pay--g2p-functionality,,,,,,,,,"Treasury platform row shows collections not payments to individuals; no cited absence",0,
dpi.pay--revenue-collection,3,CIV-dpi.pay-e-impots-tax-portal,,,,,,,"Tax portal carried 78% of tax revenue in 2021; customs and e-invoicing not on record",0,
dpi.pay--b2b-and-b2g-functionality,3,CIV-dpi.pay-tresormoney-origin|CIV-dpi.pay-treasury-payments-platform,,,,,,,"Treasury payment platform in service; no e-procurement portal on record",0,
dpi.pay--p2p-p2g-and-p2b-functionality,3,CIV-dpi.pay-cross-network-mobile-money-transfer-app,,,,,,,"Retail mobile money in service; merchant acceptance and agent networks not on this row",0,
dpi.pay--cross-border-functionality,2,CIV-dpi.pay-cross-network-mobile-money-transfer-app,,,,,,,"Private cross-border app live; licensing and regulatory framework not stated",0,
dpi.pay--consumer-protection,,,,,,,,,"Only an unauthorised surcharge and an unanswered query; no rules or cited absence on record",0,
dpi.registry--population-register,3,CIV-dpi.id-holders-of-the-national-identification-numbe,,,,,,,"About 11 million number holders on a relayed statement; no vital-event updating on record",0,
dpi.registry--civil-register,3,CIV-dpi.registry-civil-registry-software-rollout|CIV-dpi.id-decret-2019-805-electronic-civil-status,,,,,,,"All events captured digitally in 699 centres; birth coverage below 60% and not rising",0,
dpi.registry--address-register,2,CIV-dpi.id-digital-post-box,,,,,,,"Compulsory digital post box tied to the ID number; no street address register on record",0,
dpi.registry--business-register,3,CIV-dpi.registry-rccm-business-register,,,,,,,"Online filing through two portals; public search and beneficial ownership not on record",0,
dpi.registry--social-protection-register,3,CIV-include.access-single-social-register,,,,,,,"Register in service for part of the target population; ID link under convention only",0,
dpi.registry--electoral-register,3,CIV-dpi.registry-electoral-register,,,,,,,"Biometric roll revised 2024 with public audit of provisional list; no continuous reconciliation on record",0,
dpi.registry--tax-register,2,CIV-dpi.registry-taxpayer-register|CIV-dpi.registry-electronic-filing-of-financial-statements,,,,,,,"Taxpayer account number given statutory footing; centralisation and linkage not assessed",0,
dpi.registry--land-register,3,CIV-dpi.registry-sigfu-urban-land-management-system|CIV-dpi.registry-idufci-unique-land-identifier,,,,,,,"Urban land platform in service; rural system only created; no parcel count published",0,
dpi.mis--health,3,CIV-dpi.mis-national-digital-health-platform|CIV-dpi.mis-health-facility-assessment,,,,,,,"DHIS2 national HIS since 2015 on research sources; no integration or completeness published",0,
dpi.mis--education,2,CIV-dpi.mis-sige-education-management-information-system,,,,,,,"EMIS piloted in two regions; national rollout unfunded",0,
dpi.mis--social-protection,3,CIV-include.access-single-social-register,,,,,,,"Register MIS in service; not yet linked to ID or payments",0,
dpi.mis--justice,3,CIV-dpi.govtech-e-justice-platform,,,,,,,"All 39 first-instance tribunals connected for certificates; case management and decisions online not on record",0,
dpi.mis--customs,3,CIV-dpi.exchange-port-community-system,,,,,,,"Single window platform links customs and ports; automation at all posts and risk management not on record",0,
dpi.mis--land,,,,,,,,,"Only a mining-title cadastre is cited; no land information system or cited absence on record",0,
dpi.govtech--e-government-services,3,CIV-dpi.govtech-digital-driving-licence|CIV-dpi.govtech-e-services-review,,,,,,,"Transactional services on several portals; no single gateway or usage published",0,
digital.localgov--ict-infrastructure-for-local-government,2,CIV-digital.localgov-commune-equipment-purchases,,,,,,,"One commune's own purchase; national programme still at financing stage",0,
digital.localgov--digitalisation-of-local-government-records,2,CIV-digital.localgov-sygidan-cti,,,,,,,"Central system for local authorities presented; no adoption count",0,
digital.rural--digitalisation-of-rural-health-clinics,2,CIV-digital.rural-teledermatology-at-primary-health-centres,,,,,,,"Tablet pilot in two districts on an unreviewed preprint",0,
digital.rural--digitalisation-of-rural-primary-schools,2,CIV-capacity.literacy-innovation-and-culture-centres-in-schools,,,,,,,"Nine centres in interior schools; no national connected-school share on record",0,
digital.rural--digitalisation-of-rural-registry-offices,3,CIV-dpi.registry-civil-registry-software-rollout,,,,,,,"Every centre equipped per identification office; training ongoing and flow to central register unshown",0,
tech.ai--use-of-ai-in-government-administration,3,CIV-dpi.govtech-emy-101-government-ai-assistant,,,,,,,"Government AI assistant live; no usage or inventory published",0,
tech.ai--use-of-ai-in-sectoral-management-information-systems,2,CIV-dpi.mis-agricultural-e-voucher-and-cropscope,,,,,,,"Crop platform rollout announced by vendor; no outputs on record",0,
tech.ai--development-of-national-regional-ai-systems,2,CIV-tech.ai-ai-acceleration-programme|CIV-tech.ai-national-ai-agency,,,,,,,"Programme and agency named; no model, dataset or compute in service",0,
tech.ai--control-of-ai-abuse,2,CIV-tech.ai-francophone-west-african-ai-governance-guide,,,,,,,"Non-binding regional guidelines only; no rule or designated authority",0,
tech.innovate--tech-startup-ecosystem,3,CIV-tech.innovate-startup-act-and-digital-startup-label,,,,,,,"Startup Act adopted 2023; no implementing decree or labelled count",0,
capacity.research--think-tanks-and-academic-departments-contributing-to-dt-policy,2,CIV-capacity.research-scientific-governance-workshop|CIV-capacity.research-lastic-esatic,,,,,,,"Lab programme and workshop on record; funding and publications not shown",0,
