row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
STP-infra.energy-none,STP,infra.energy,Infrastructure,National policy linking digital infrastructure to energy supply,"A national policy or programme document connecting power reliability or generation to digital-infrastructure planning.",,
STP-infra.capacity-none,STP,infra.capacity,Infrastructure,Compute or high-performance computing capacity,"A data-centre, cloud or high-performance computing specification distinct from the GoSTP data-centre tender.",,
STP-data.satellite-none,STP,data.satellite,Digital public infrastructure,Earth-observation or satellite-data programme,"A national earth-observation or geospatial-data programme document.",,
STP-digital.rural-none,STP,digital.rural,Digital public infrastructure,Dedicated rural digital-service programme,"A programme document distinct from the CST school-connectivity plan.",,
STP-digital.localgov-none,STP,digital.localgov,Digital public infrastructure,Digitisation of district-administration systems,"A district-administration system specification or digitisation programme document.",,
STP-gov.standards-none,STP,gov.standards,Governance and regulation,National technical standards or interoperability framework beyond Law 1/2024,"A distinct standards body or technical-specification document.",,
STP-data.open-none,STP,data.open,Governance and regulation,Open government data portal,"A public-sector open-data portal or policy document.",,
STP-tech.industry-none,STP,tech.industry,Artificial intelligence and the technology sector,ICT sector size or industry-policy programme,"An ICT-sector policy, statistics publication or industry-support programme document.",,
STP-geopol.india-none,STP,geopol.india,Artificial intelligence and the technology sector,Indian digital-sector engagement with STP,"Any Indian government or vendor financing, contract or memorandum covering STP.",,
STP-geopol.gulf-none,STP,geopol.gulf,Artificial intelligence and the technology sector,Gulf-state digital investment in STP,"Any Gulf-state investment, financing or memorandum covering STP.",,
STP-capacity.research-none,STP,capacity.research,Inclusion and capacity,Applied digital-research programme,"A university, agency or donor-funded applied digital-research programme document.",,
STP-finance.mou-none,STP,finance.mou,Finance,Financing memorandum distinct from the AfDB/World Bank/UNICEF instruments already recorded,"A separate financing MoU not already captured under finance.new.",,
STP-finance.budget-none,STP,finance.budget,Finance,Domestic-state digital-transformation budget line,"An STP government budget document or appropriation line for digital transformation.",,
