row_id,place,subject,section,name,what_would_settle_it,probe_at,disposition
MAR-geopol.china-morocco-china-technology-cooperation-framework,MAR,geopol.china,Artificial intelligence and the technology sector,Morocco-China technology cooperation framework,"A signed state-to-state instrument; the base holds six sources on this subject and every one is a vendor relationship, with no government-level framework on file",2026-08-06,absence
MAR-geopol.usa-morocco-united-states-bilateral-digital,MAR,geopol.usa,Artificial intelligence and the technology sector,Morocco-United States bilateral digital or artificial-intelligence agreement,"A signed bilateral instrument on digital or artificial-intelligence cooperation; the base now holds the 2023 protocol extending the two states' 2006 science and technology agreement, which is not one, and otherwise a commercial guide, ambassadorial attendance at two openings and an unresolved satellite licensing position",2026-08-06,acquisition
MAR-tech.ai-founding-decree-or-statute-al,MAR,tech.ai,Artificial intelligence and the technology sector,Founding decree or statute for the Al-Jazari institutes,"The founding agreements or the constituting decree; the base now holds the ministry's own accounts of four regional or thematic signings from 2025-04-14 and of the founding institute launched 2026-01-12, and no statute, legal form, governance structure, budget, campus or intake for any of them",2026-08-06,acquisition
MAR-tech.ai-artificial-intelligence-roadmap-morocco-ai,MAR,tech.ai,Artificial intelligence and the technology sector,"National artificial-intelligence roadmap ""Morocco AI 2030""","The roadmap text or a ministry announcement of the roadmap itself; the ministry's 2026-01-12 record names ""AI Made in Morocco"" as a national event and frames the founding institute as consolidating Maroc IA 2030, so the two names are an event and a framework rather than two roadmaps, and no text of either is held",2026-08-06,acquisition
MAR-tech.innovate-official-start-up-investment-statistics,MAR,tech.innovate,Artificial intelligence and the technology sector,Official start-up investment statistics,"A publication by the digital development agency, the investment agency or the ministry giving funded-company counts and amounts; the agency's own 1,028-entry start-up database (2025-01-03) carries no funding amounts, and investment totals remain two third-party trackers whose 2025 Morocco figures disagree",2026-08-06,acquisition
MAR-tech.innovate-start-up-legal-status,MAR,tech.innovate,Artificial intelligence and the technology sector,Start-up legal status,"A bill, decree or published legal definition of start-up status; the base carries a 3,000-start-up target and several accelerator programmes, and no instrument conferring status",2026-08-06,absence
MAR-dpi.govtech-commune-level-rollout-procedures-portal,MAR,dpi.govtech,Digital public infrastructure,Commune-level rollout of the procedures portal,"Interior ministry or local-government reporting on commune-level implementation; the subject carries no Morocco sources at all, and local government appears only as the addressee of national circulars",2026-08-06,acquisition
MAR-geopol.eu-accession-modernised-council-europe-data,MAR,geopol.eu,Governance and regulation,Accession to the modernised Council of Europe data-protection convention,"The ratification or accession instrument for the modernising protocol, or a statement that Morocco has not acceded to it; accession to Convention 108 itself is now established from the 2012 committee opinion and the regulator's recital of a 2019 ratification, and nothing on file addresses the modernised text",2026-08-06,acquisition
MAR-gov.discourse-ombudsman-s-2025-annual-report,MAR,gov.discourse,Governance and regulation,Ombudsman's 2025 annual report,"The report's own text; it was presented in Rabat on 2026-07-23 and is known only through two press accounts, and the wiki records that the institution's own site is unreachable",2026-08-06,acquisition
MAR-gov.legislate-promulgated-organic-law-amending-electoral,MAR,gov.legislate,Governance and regulation,Promulgated organic law amending the electoral code,"The gazette publication of the enacted electoral organic law; the base holds the bill as tabled with its provisions, and no held source carries the adoption or constitutional-review dates, so every citation must say it rests on the draft",2026-08-06,acquisition
MAR-gov.policy-digital-morocco-2030-progress-report,MAR,gov.policy,Governance and regulation,Digital Morocco 2030 progress report,An official progress or monitoring publication against the strategy's stated targets; the base carries the targets and no delivery figure against any of them at any date,2026-08-06,acquisition
MAR-gov.protect-data-protection-authorisation-facial-recognition,MAR,gov.protect,Governance and regulation,Data-protection authorisation for the facial-recognition patrols,"A data-protection commission decision, authorisation or opinion covering live facial recognition in the patrol vehicles; the base now holds the commission's 2019-2020 facial-recognition instruments and its 2025-03-21 decision to open hearings towards a video-surveillance deliberation, none of which reaches the patrols, and law 09-08 article 2(4) excludes processing in the interest of national defence and state security",2026-08-06,acquisition
MAR-gov.protect-data-protection-commission-annual-report,MAR,gov.protect,Governance and regulation,Data-protection commission annual report,"Any annual or activity report of the national data-protection commission; the base now holds four of its deliberations and two communiques directly, and still no enforcement statistics, registration counts or sanction record for any year",2026-08-06,acquisition
MAR-capacity.literacy-digital-literacy-programme,MAR,capacity.literacy,Inclusion and capacity,National digital literacy programme,"A named national digital-literacy or basic-skills programme document, or a household digital-skills survey; the base now holds public-university digital enrolment and a training count from the ministry's talent brochure, and nothing on citizen-level literacy",2026-08-06,acquisition
MAR-finance.budget-digital-ministry-appropriation-2026-finance,MAR,finance.budget,Finance,Digital ministry appropriation in the 2026 finance law,"The 2026 finance law or the ministry's budget annexes for 2025 and 2026; the ministry's own budget-by-chapter series is now held to 2024 and stops there, so no appropriation is established for either year the report covers",2026-08-06,acquisition
MAR-include.divides-digital-inclusion-index-or-indicator,MAR,include.divides,Inclusion and capacity,National digital inclusion index or indicator framework,"A ministry or planning-commission publication defining inclusion indicators and targets; the base carries the published finding that inclusion objectives are not operationalised and a connectivity baseline from a private tracker, and no Moroccan inclusion index, vulnerability profiling or territorial targeting instrument",2026-08-06,absence
MAR-infra.capacity-cybersecurity-workforce-plan,MAR,infra.capacity,Infrastructure,National cybersecurity workforce plan,"A government plan or published target for cybersecurity skills; the base holds one vendor study's figures of 6,000 certified professionals against demand above 12,000, and a general target of training 100,000 people by 2030, with no cybersecurity-specific plan, intake target or progress reporting",2026-08-06,acquisition
