indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,TZA-tech.industry-digital-economy-strategic-framework,,,,,,,"framework 2024-2034 adopted with targets; no progress or M&E report on record",0,
gov.policy--ict-strategy,3,TZA-gov.policy-national-ict-policy,,,,,,,"2016 policy adopted; no implementation plan or reporting against it on record",0,
gov.policy--broadband-strategy,3,TZA-gov.policy-broadband-strategy,,,,,,,"strategy overseen with coverage reported; no funding source cited against it and no primary text",0,
gov.policy--data-storage-cloud-strategy,3,TZA-gov.policy-data-centre-standard,,,,,,,"hosting standard in force; no data classification or published list of approved environments",0,
gov.policy--data-interoperability-framework-roadmap,3,TZA-gov.standards-data-or-interoperability-standards,,,,,,,"framework and standards published; no conformance regime or compliance count on record",0,
gov.policy--ai-strategy,2,TZA-tech.ai-ai-strategy-or-guidelines,,,,,,,"government says complete; independent assessments find no adopted instrument and no text is published",0,
gov.policy--data-localisation-policies,3,TZA-gov.policy-data-centre-standard|TZA-gov.policy-financial-data-localisation,,,,,,,"public-sector and financial categories localised; no application decision or transfer mechanism on record",0,
gov.policy--data-governance-policy,2,TZA-gov.policy-data-management-framework,,,,,,,"framework in development; no completion or publication on record",0,
gov.policy--open-data-policy,2,TZA-data.open-open-data-policy-or,,,,,,,"sectoral release policies and a portal; no general open data policy adopted",0,
gov.legislate--data-protection-legislation,3,TZA-gov.protect-personal-data-protection-act,,,,,,,"law and regulations in force; no enforcement act on this indicator's rows",0,
gov.legislate--cybersecurity-legislation,3,TZA-gov.legislate-cybercrimes-act,,,,,,,"act in force; no CERT, prosecution or incident-response act on record",0,
gov.legislate--legislation-covering-digital-id,3,TZA-gov.legislate-registration-of-persons-act,,,,,,,"1986 act in force; no provisions on enrolment rights or grievance shown in practice",0,
gov.legislate--digital-payments-legislation,3,TZA-gov.legislate-payment-systems-act,,,,,,,"act and consumer rules in force; non-bank licensing and interoperability rules not on this row",0,
gov.legislate--legislation-enabling-data-interoperability,3,TZA-gov.legislate-e-government-act,,,,,,,"e-government act with standards; no sharing obligation or conformance on record",0,
gov.legislate--ai-legislation-regulations,3,TZA-tech.ai-online-content-ai-rules,,,,,,,"online content rules cover AI-generated material; no enabling AI framework or regulator",0,
gov.legislate--e-commerce-legislation,3,TZA-gov.legislate-electronic-transactions-act-amendment,,,,,,,"act held only through its 2026 amendment; no trust-service regulations or accreditation on record",0,
gov.legislate--statistics-legislation,3,TZA-gov.legislate-statistics-act|TZA-data.statistics-statistical-system-objects,,,,,,,"act establishes an autonomous bureau; confidentiality and funding basis not on record",0,
gov.legislate--access-to-information-legislation,3,TZA-gov.legislate-access-to-information-act,,,,,,,"act in force; no request or appeal statistics published",0,
gov.protect--data-protection-authority,3,TZA-gov.protect-registration-data-protection-officer|TZA-gov.protect-certified-data-protection-officer,,,,,,,"commission registering controllers and certifying officers; no enforcement decision on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"only row is SIM-fraud enforcement; the data protection act sits on the legislation indicator's rows",0,
gov.regional--regional-policy-collaboration,3,TZA-gov.regional-eac-regional-ai-strategy,,,,,,,"national consultations held for the EAC regional AI strategy",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"regional commitment reaffirmed only; no REC instrument referenced or domesticated on these rows",0,
gov.regional--shared-regional-infrastructure,,,,,,,,,"rows are domestic Zanzibar broadband deals; cross-border links sit on backbone and bandwidth rows",0,
gov.regional--cross-border-data-transfers,,,,,,,,,"data protection act in force but its row states no transfer provision",0,
gov.standards--national-interoperability-standards,3,TZA-gov.standards-data-or-interoperability-standards|TZA-dpi.exchange-government-enterprise-service-bus,,,,,,,"standards published and service-bus joining directed; no conformance testing or certification on record",0,
gov.standards--adoption-of-international-standards,,,,,,,,,"international electrotechnical adoptions on record; no ISO membership and no ICT standard shown",0,
gov.discourse--open-discussion-of-government-policy,2,TZA-gov.policy-election-period-internet-shutdowns,,,,,,,"election-period shutdowns in 2025 on third-party monitoring",0,
finance.budget--sustainable-domestic-financing-of-digital-transformation,3,TZA-finance.budget-domestic-state-appropriation-digital,,,,,,,"recurring ministry vote in the read budget; no dedicated fund or levy on these rows",0,
infra.connect--national-fibre-backbone,3,TZA-infra.connect-ict-broadband-backbone|TZA-infra.connect-kenya-border-terrestrial-fibre,,,,,,,"all mainland regions and cross-border links; no open-access or wholesale terms published",0,
infra.connect--international-internet-bandwidth,3,TZA-infra.store-international-submarine-cables-landing,3,routes,2025,2026-04-10-communications-sector-surges-400pc,,,"regulator counts three cables; independence of landing stations not established",0,
infra.connect--internet-exchange-points,3,TZA-infra.connect-internet-exchange-points,,,,,,,"six exchanges on the association's account; no member count or traffic published",0,
infra.connect--satellite-broadband-licensing-and-availability,3,TZA-infra.connect-satellite-broadband-service,,,,,,,"service live via reseller arrangements; no licence terms on record",0,
