indicator_id,file,brief,rank,why
gov.policy--ict-strategy,baseline/2019-11-01-somalia-national-ict-policy-strategy-2019-2024.md,brief1,1,"Somalia's own National ICT Policy & Strategy 2019-2024, adopted by Federal Cabinet; the standing overarching ICT policy instrument"
gov.policy--ict-strategy,progress/2025-10-12-somalia-digital-transformation-strategy-2025-2030-consultation.md,brief2,1,In-window (12 Oct 2025) MoCT/ITU national consultation workshop to validate a successor Digital Transformation Strategy 2025-2030
gov.policy--broadband-strategy,baseline/2019-11-01-somalia-national-ict-policy-strategy-2019-2024.md,brief1,1,"Same 2019 National ICT Policy & Strategy; its ch.6.3 sets Somalia's broadband access/backbone/affordability targets, the closest thing to an enacted national broadband strategy; the 2025 Digital Inclusion Policy itself states no standalone broadband strategy has been published"
gov.policy--broadband-strategy,progress/2025-10-25-somalia-eardip-technical-feasibility-security-risk-consultancy.md,brief2,1,MoCT launched World Bank-funded EARDIP feasibility study mapping broadband infrastructure and designing backbone routes (25 Oct 2025)
gov.policy--broadband-strategy,progress/2025-10-12-somalia-digital-transformation-strategy-2025-2030-consultation.md,brief2,2,National consultation to validate successor strategy explicitly covering digital-infrastructure investment; reused from ICT-strategy indicator as a distinct in-window broadband-relevant event
gov.policy--data-interoperability-framework-roadmap,baseline/2025-08-01-somalia-egovernment-strategy-implementation-roadmap-2025-2029.md,brief1,1,"Somalia's e-Government Strategy and Implementation Roadmap 2025-2029: states the FGS lacks an interoperability framework and sets the corrective architecture (data-exchange hub, National Enterprise Service Bus, shared services)"
gov.policy--data-interoperability-framework-roadmap,progress/2026-06-28-somalia-nira-national-id-public-service-integration-working-group.md,brief2,1,NIRA/UNDP launched a permanent cross-institutional Working Group (28 Jun 2026) to integrate the National ID/Hubiye platform across public and private services
gov.policy--data-localisation-policies,baseline/2023-03-22-somalia-data-protection-act-law-005-2023.md,brief1,1,"Data Protection Act 2023, Articles 30-31: conditional cross-border-transfer regime, closest thing to a data-localisation policy position"
gov.policy--data-localisation-policies,progress/2026-04-05-somalia-data-protection-regulations-xeer-nidaamiyaha.md,brief2,1,"Full text of the implementing Regulations for the Public Data Protection Law (Article 24: cross-border transfer regime), published in the Official Bulletin 5 Apr 2026"
gov.policy--data-localisation-policies,progress/2026-08-07-somalia-national-data-centre-plan.md,brief2,2,"State Minister announced plans for a National Data Centre to strengthen domestic data storage/management (7 Aug 2026), a distinct sovereignty-adjacent infrastructure development"
