row_id,place,subject,section,kind,name,status,as_at,milestone,since,prior_status,prior_as_at,movement,position_start,position_end,sources,probe_at,note
ZMB-infra.capacity-transit-bandwidth-pricing,ZMB,infra.capacity,Infrastructure,instrument,International transit and wholesale bandwidth pricing,Not held,,,,,,,,,,,
ZMB-infra.capacity-internet-exchange-point,ZMB,infra.capacity,Infrastructure,instrument,National internet exchange point,Not held,,,,,,,,,,,
ZMB-infra.connect-4g-population-coverage,ZMB,infra.connect,Infrastructure,instrument,4G and mobile broadband population coverage,Not held,,,,,,,,,,,
ZMB-infra.connect-border-post-connectivity,ZMB,infra.connect,Infrastructure,instrument,Border-post connectivity upgrade across five trade corridors,Planned,2026-08-05,National standard set out and an independent ICT audit commissioned,2026-08-05,,,Advanced,"No named border-connectivity programme is on the record; gaps at Nakonde, Victoria Falls, Kazungula and Chirundu","A single national standard announced through the government network - tiered 10 to 100 Mbps, dual links with automatic failover, enterprise-grade firewalls - and an independent network specialist firm commissioned to audit ICT infrastructure at five border posts; no budget, timetable or completion date published",2026-08-05-zambia-border-connectivity-gwan-upgrade,,The audit precedes the procurement rather than following it
ZMB-infra.connect-chanida-cassacatiza-interconnector,ZMB,infra.connect,Infrastructure,instrument,Chanida-Cassacatiza cross-border fibre interconnector,Implemented,2026-02-23,Commissioned 2026-02-23,2026-02-23,,,Advanced,Did not exist; the base records cross-border infrastructure as missing at the January 2025 appraisal,"The national backbone linked to Mozambique's submarine cable network under an operator partnership, with the minister stating Zambia is now fibre-linked to eight neighbours",2026-02-23 Zambia and Mozambique launch fibre-optic interconnector at Chanida–Cassacatiza border|2025-01-20 PID Appraisal Stage - Digital Zambia Acceleration Project (P505094),,"No capacity, cost or funder is stated for the interconnector"
ZMB-infra.connect-communication-towers-phase-2,ZMB,infra.connect,Infrastructure,instrument,Communication Towers Project Phase 2,Implemented,2022-07-01,"Disbursement at 87.8% as reported by the Ministry of Finance, July 2022",2017-08-04,Implemented,2022-07-01,No change,"US$302,034,321.68 China Eximbank government concessional loan signed 2017-08-04 financing a vendor contract, 87.8% disbursed as of July 2022; scope 808 communication towers and 1,009 wireless stations, targeting 92% network coverage and data access for 40% of the country from a 5% baseline","Unchanged; no completion, handover or final tower count is held",2017-01-01-eximbank-cn-zmb-004-china-eximbank-provides-302-government-concessional,,Figures are third-party-database-sourced from Zambian ministry reporting
ZMB-infra.connect-mtn-direct-to-cell,ZMB,infra.connect,Infrastructure,instrument,Direct-to-cell satellite trials,Piloting,2026-07-28,Zambia named as a trial site,2026-07-28,,,Baseline not held,No position held on satellite direct-to-cell in Zambia,"Zambia named by an operator as a site of its direct-to-cell satellite trials, in an argument for regulatory parity between terrestrial operators and satellite entrants",2026-07-28-mtn-asante-leo-satellites-device-affordability-licence-passporting,,"Operator statement; no licence, spectrum decision or trial result is held"
ZMB-infra.connect-broadband-pricing,ZMB,infra.connect,Infrastructure,instrument,Fixed and mobile broadband pricing,Not held,,,,,,,,,,,
ZMB-infra.connect-govlink-private-4g,ZMB,infra.connect,Infrastructure,instrument,GovLink Private 4G,Implemented,2026-07-15,Launched at Ndola Teaching Hospital,2026-07-15,,,Advanced,Did not exist; no government-owned mobile network is on the record before July 2026,"Government-owned shared 4G network for public institutions, live at Ndola Teaching Hospital, with the national electronic health record and its hospital tier migrating onto it; run by the state ICT institute with three named partners and the health ministry",2026-07-16-zambia-govlink-private-4g-itweb|2026-07-16-zambia-govlink-private-4g-techafricanews|2026-07-17-zambia-govlink-private-4g,,Clinician accounts at the launch site are operator statements; no baseline or measured outcome is held
ZMB-infra.connect-government-wide-area-network,ZMB,infra.connect,Infrastructure,instrument,Government Wide Area Network,Implemented,2026-08-05,Phase 1 declared complete 2026-03-24; border-post gaps confirmed 2026-08-05,,In development,2025-02-12,Advanced,"Site works complete at 12 Western Province sites, with last-mile connections by the state operator outstanding and the network not fully usable","All 116 councils reported connected and phase 1 completed, and North-Western Province local authorities and post offices connected over fibre; connectivity gaps persist at four named border posts",2025-02-12-itweb-zambia-deploys-govt-wan-service-delivery|2026-03-25-kalemba-zambia-cdf-ecouncil-116-councils-gwan|2026-07-08-smart-zambia-expands-digital-infrastructure|2026-08-05-zambia-border-connectivity-gwan-upgrade,,The 2025-02-12 primary establishes that connected has at times meant completed site works rather than live end-to-end service
