indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,ZMB-gov.policy-ndts,,,,,,,"Strategy 2023-2027 adopted and implementation reported at a round table; no costed plan or M&E report on record",0,
gov.policy--ict-strategy,3,ZMB-gov.policy-ict-policy,,,,,,,"ICT Policy 2023 adopted with sector figures reported; no implementation plan on record",0,
gov.policy--broadband-strategy,1,ZMB-gov.policy-broadband,,,,,,,"A national mapping event's working group found no broadband policy",0,
gov.policy--data-storage-cloud-strategy,2,ZMB-gov.policy-cloud,,,,,,,"National AI data centre MoU and storage tender; no hosting or cloud policy on record",0,
gov.policy--data-interoperability-framework-roadmap,3,ZMB-gov.policy-interoperability-roadmap,,,,,,,"2019 interoperability standard and 2026 spatial policy adopted; no binding instrument or conformance act in these rows",0,
gov.policy--ai-strategy,3,ZMB-gov.policy-national-ai-strategy-text,,,,,,,"Strategy text held; National AI Council described but not shown constituted or funded",0,
gov.policy--data-localisation-policies,,,,,,,,,"Local hosting procured not legislated; no localisation rule or data categorisation on record",0,
gov.policy--data-governance-policy,,,,,,,,,"Only sectoral instruments (health data SI under review; spatial policy); no national data policy in drafting on record",0,
gov.policy--open-data-policy,2,ZMB-gov.policy-open-data,,,,,,,"Proactive-disclosure framework being operationalised; open by default only in the spatial policy",0,
gov.legislate--data-protection-legislation,3,ZMB-gov.protect-data-protection-act-2021,,,,,,,"Act in force; no regulations or enforcement act on record",0,
gov.legislate--cybersecurity-legislation,3,ZMB-gov.legislate-cyber-security-act-text|ZMB-infra.cybersec-cyber-crimes-act-2025,,,,,,,"Both 2025 Acts in force; no regulations or prosecution on record",0,
gov.legislate--legislation-covering-digital-id,3,ZMB-gov.legislate-digital-id-instruments,,,,,,,"Regulations amended by SI 98 of 2025; parent Act not held; rights and oversight provisions not on record",0,
gov.legislate--digital-payments-legislation,,,,,,,,,"Only a mobile money levy is cited here; the 2026 payment system Act sits under the B2B row",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"Only a secondhand report of an open-source directive; no data-sharing instrument on record",0,
gov.legislate--ai-legislation-regulations,2,ZMB-gov.legislate-ai-instrument,,,,,,,"No binding AI instrument; readiness assessment methodology piloted at a consultation",0,
gov.legislate--e-commerce-legislation,,,,,,,,,"Only the postal bill is cited; no e-transactions law in these rows",0,
