indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,qualifier,reassessed,cause
gov.policy--digital-transformation-strategy,3,ZWE-dpi.govtech-smart-zimbabwe-2030-master-plan,,,,,,,"Smart Zimbabwe 2030 master plan adopted with pillars; no costed plan or M&E report on record",0,
gov.policy--ict-strategy,3,ZWE-gov.policy-ict-policy-2022-2027,,,,,,,"ICT Policy 2022-2027 signed and published; no implementation plan or reporting against it on record",0,
gov.policy--broadband-strategy,,,,,,,,,"Unplaced: rows show a telecoms amendment bill and an ownership rule; no broadband plan and no cited absence",0,
gov.policy--data-storage-cloud-strategy,2,ZWE-infra.store-sovereign-cloud,,,,,,,"Sovereign cloud provided for in the AI strategy only; no hosting policy instrument; strategy lacks legal force",0,
gov.policy--data-interoperability-framework-roadmap,2,ZWE-dpi.exchange-government-interoperability-framework|ZWE-gov.standards-government-service-bus,,,,,,,"Enterprise architecture blueprint handed over May 2026; no published interoperability framework",0,
gov.policy--ai-strategy,3,ZWE-gov.policy-ai-strategy-2026-2030,,,,,,,"Adopted and published; AI council and implementation office not constituted; no financing envelope",0,
gov.policy--data-localisation-policies,3,ZWE-gov.policy-data-localisation-rule-sensitive-systems,,,,,,,"Regulator guideline localises core banking and critical financial systems; no application or exemption decision on record",0,
gov.policy--data-governance-policy,,,,,,,,,"Unplaced: only a planned data agency and AI regulatory committee in the AI strategy; no national data policy on record",0,
gov.policy--open-data-policy,2,ZWE-data.statistics-open-data-portal,,,,,,,"Statistics agency portal publishing with no open data policy behind it",0,
gov.legislate--data-protection-legislation,4,ZWE-gov.legislate-cyber-data-protection-act|ZWE-gov.legislate-statutory-instrument-155-2024-data|ZWE-gov.legislate-regulatory-notice-1-2026,,,,,,,"Act in force with licensing regulations and a regulator warning notice; Malabo ratification not on record",0,
gov.legislate--cybersecurity-legislation,3,ZWE-gov.legislate-cyber-data-protection-act|ZWE-gov.legislate-criminal-law-code-cybercrime-offences,,,,,,,"Act and code offences in force; cyber security centre operation and cybersecurity authority not on record",0,
gov.legislate--legislation-covering-digital-id,3,ZWE-gov.legislate-national-registration-act,,,,,,,"National Registration Act in force; no digital-ID law and no data-protection linkage or grievance provisions on record",0,
gov.legislate--digital-payments-legislation,3,ZWE-gov.legislate-national-payment-systems-act,,,,,,,"Payment systems act in force; non-bank licensing and interoperability rules not on these rows",0,
gov.legislate--legislation-enabling-data-interoperability,,,,,,,,,"Unplaced: no data-sharing instrument or bill on record; health FHIR guide is a draft standard not law",0,
gov.legislate--ai-legislation-regulations,2,ZWE-gov.policy-artificial-intelligence-act|ZWE-gov.policy-artificial-intelligence-ethics-framework,,,,,,,"AI act and ethics framework proposed; no bill or adopted rule on record",0,
gov.legislate--statistics-legislation,3,ZWE-gov.legislate-census-and-statistics-act,,,,,,,"Act in force; the agency calls it outdated; independence written into a board charter not the Act",0,
gov.legislate--access-to-information-legislation,3,ZWE-gov.legislate-freedom-of-information-act,,,,,,,"Act in force; no oversight body or proactive-disclosure practice on these rows",0,
gov.protect--data-protection-authority,3,ZWE-gov.protect-licensed-data-controllers|ZWE-gov.protect-data-protection-officer-certification,,,,,,,"Regulator licensing controllers and certifying officers; inspections start 2026-09-01; no enforcement decision on record",0,
gov.protect--national-data-protection-readiness,,,,,,,,,"Unplaced: rows mapped here are a child online policy and a privacy challenge; the Act sits under data-protection-legislation",0,
gov.regional--regional-policy-collaboration,,,,,,,,,"Unplaced: only a bilateral immigration memorandum; SADC strategy meeting sits under legal harmonisation",0,
gov.regional--regional-legal-harmonisation,,,,,,,,,"Unplaced: no REC instrument shown domesticated or referenced in a bill",0,
gov.regional--shared-regional-infrastructure,2,ZWE-infra.connect-cross-border-fibre-corridor-zambia,,,,,,,"Only phase 1 to Bulawayo live; the leg to Livingstone is due September 2026",0,
gov.regional--cross-border-data-transfers,4,ZWE-gov.regional-cross-border-personal-data-transfer-guideline|ZWE-gov.regional-authorised-cross-border-data-transfers,,,,,,,"Authority guideline in force and 24 transfers authorised; no regional data-flow mechanism on record",0,
gov.standards--national-interoperability-standards,2,ZWE-dpi.exchange-government-interoperability-framework,,,,,,,"Architecture framework handed over; no published standards catalogue",0,
gov.standards--national-quality-standards,2,ZWE-gov.standards-national-quality-policy,,,,,,,"2021-2025 quality policy lapsed; replacement framework in final drafting",0,
