indicator_id,stage,stage_rows,value,unit,value_year,value_source,next_milestone,due,assessed_on,reassessed,qualifier,moved_by
gov.policy--digital-transformation-strategy,3,NGA-gov.policy-ndeps-2020-2030,,,,,,,2026-07-31,0,"NDEPS 2020-2030 adopted; no costed plan, budget or review against its targets on record",
gov.policy--ict-strategy,2,NGA-infra.connect-telecom-policy,,,,,,,2026-07-31,0,Telecommunications policy of 2000 being rewritten; successor still in drafting,
gov.policy--broadband-strategy,2,NGA-infra.connect-national-broadband-plan-2020-2025,,,,,,,2026-07-31,0,Broadband plan term expired 2025-12 with no successor held; spectrum roadmap is not a broadband plan,
gov.policy--data-storage-cloud-strategy,2,NGA-gov.protect-data-cloud-policy,,,,,,,2026-07-31,0,National data and cloud policy in draft since 2021; no adopted hosting policy,
gov.policy--data-interoperability-framework-roadmap,2,NGA-dpi.exchange-dpi-standards,,,,,,,2026-07-31,0,DPI technical standards still in draft; no adopted framework,
gov.policy--ai-strategy,2,NGA-tech.ai-strategy,,,,,,,2026-07-31,0,Strategy still in development from the 2024 draft; AI Trust approved but no adopted strategy,
gov.policy--data-localisation-policies,2,NGA-dpi.pay-localisation,,,,,,,2026-07-31,0,Sectoral CBN payments-data circular binding from 2027; no data classification instrument; circular text not held,
gov.policy--data-governance-policy,2,NGA-gov.protect-data-cloud-policy,,,,,,,2026-07-31,0,National data policy still a draft; data protection law is not a data governance policy,
gov.policy--open-data-policy,3,NGA-gov.policy-open-data-policy-2018,,,,,,,2026-07-31,0,"2018 policy in force; licence, portal publication activity and compliance reporting not on record",
gov.legislate--data-protection-legislation,3,NGA-gov.protect-ndpa,,,,,,,2026-07-31,0,NDPA 2023 in force with implementing directive named; no enforcement act in these rows,
gov.legislate--cybersecurity-legislation,3,NGA-infra.cybersec-cybercrimes-act,,,,,,,2026-07-31,0,Cybercrimes Act in force; implementing regulations and institutional mechanism not on record,
gov.legislate--legislation-covering-digital-id,3,NGA-dpi.id-nimc-act,,,,,,,2026-07-31,0,NIMC Act 2026 in force from 2026-06-26; regulations and rights provisions applied in practice not on record,
gov.legislate--digital-payments-legislation,,,,,,,,,2026-07-31,0,"Rows cover crypto securities, a virtual-asset order and an unissued stablecoin regime; no payment-systems law or e-money rule on record",
gov.legislate--legislation-enabling-data-interoperability,2,NGA-dpi.govtech-econ-bill,,,,,,,2026-07-31,0,Digital Economy and E-Governance Bill before the assembly,
gov.legislate--ai-legislation-regulations,2,NGA-tech.ai-bill,,,,,,,2026-07-31,0,Risk-based AI regime only in an unpassed bill; no AI rule with legal effect,
gov.legislate--e-commerce-legislation,,,,,,,,,2026-07-31,0,Rows show consumer-protection enforcement and platform bills; no electronic-transactions law or bill on record,
gov.legislate--statistics-legislation,3,NGA-gov.legislate-statistics-act-2007,,,,,,,2026-07-31,0,2007 Act in force; independence and confidentiality provisions not read; replacement bill pending,
gov.legislate--access-to-information-legislation,3,NGA-gov.legislate-freedom-of-information-act-2011|NGA-gov.legislate-foicaselaw,,,,,,,2026-07-31,0,FOI Act 2011 in force with court decisions; oversight mechanism and proactive-disclosure practice not on record,
gov.protect--data-protection-authority,3,NGA-gov.protect-ndpc-enforcement|NGA-gov.protect-multichoice,,,,,,,2026-07-31,0,"NDPC enforcing with fines; under ministerial control and budget funding not on record, so not independent by statute",
gov.protect--national-data-protection-readiness,3,NGA-gov.legislate-inec-suit|NGA-gov.protect-ncc-mou,,,,,,,2026-07-31,0,Law in force shown only through a suit and regulator MoU; Guidelines practices not on record,
gov.regional--regional-policy-collaboration,3,NGA-gov.regional-abuja-declaration|NGA-gov.regional-nigeria-benin-cameroon-customs-committee,,,,,,,2026-07-31,0,Hosted ATU CPL-26 adopting the Abuja Declaration; no regional guidelines domesticated on record,
gov.regional--regional-legal-harmonisation,,,,,,,,,2026-07-31,0,Only an ECOWAS identity card on record; no REC cyberlaw instrument referenced or domesticated,
gov.regional--shared-regional-infrastructure,2,NGA-infra.connect-gnq-cable|NGA-dpi.exchange-adapt,,,,,,,2026-07-31,0,Equatorial Guinea cable agreement and ADAPT pilot not yet in service,
gov.regional--cross-border-data-transfers,,,,,,,,,2026-07-31,0,Rows show CBPR membership and US health data-sharing agreements; statutory transfer provisions not on record here,
gov.standards--national-interoperability-standards,3,NGA-dpi.exchange-ngea,,,,,,,2026-07-31,0,Enterprise architecture handed to NITDA and piloted at four agencies; no mandate or conformance on record,
gov.standards--adoption-of-international-standards,,,,,,,,,2026-07-31,0,ISO 20022 and ICAO PKD adopted in practice; ISO membership and national adoption not on record,
finance.budget--sustainable-domestic-financing-of-digital-transformation,,,,,,,,,2026-07-31,0,Rows show tariff and excise changes only; no budget line or fund for digital transformation on record,
finance.new--mobilisation-of-non-state-finance,2,,0.03778,per cent of GDP,2026,outputs/non-state-finance/NGA-nonstate.csv@2026-09-03,,,2026-07-31,0,"13 private commitment(s) starting 2024–2026, over GDP 2025 (WDI)",
infra.connect--mobile-penetration,3,,69.5,% of people 10+,2024,ref:itu-sdg-5b1-mobile-ownership-10plus@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-5b1-mobile-ownership-10plus), no survey since 2019",
infra.connect--internet-usage,2,,41.2,% of population,2024,ref:itu-sdg-17-8-1-internet-use@2026-06-30,,,2026-07-31,0,"on the compiler's modelled estimate (itu-sdg-17-8-1-internet-use), no survey since 2019",
infra.connect--mobile-affordability,4,,1.56,% of monthly GNI per capita,2025,ref:itu-price-basket-5gb-gni@2025-12-10,,,2026-07-31,0,on published tariffs collected by itu-price-basket-5gb-gni,
infra.connect--national-fibre-backbone,3,NGA-infra.connect-nictib|NGA-infra.connect-national-backbone-length,,,,,,,2026-07-31,0,State carrier fibre in 28 states; financier states no national backbone; no open-access terms on record,
infra.connect--international-internet-bandwidth,3,NGA-infra.connect-national-broadband-plan-2020-2025|NGA-infra.connect-2africabreakout,6,routes,2020,2020-03-01-nigerian-national-broadband-plan-2020-2025,,,2026-07-31,0,"Six cables all landing at Lagos, the sole breakout; Kwa Ibo second breakout announced, not in service",
infra.connect--internet-exchange-points,3,NGA-infra.connect-ixpn,,,,,,,2026-07-31,0,IXPN above 1 Tbps at one date; growth series and second exchange not on record,
infra.connect--satellite-broadband-licensing-and-availability,3,NGA-infra.connect-starlink,,,,,,,2026-07-31,0,Starlink licensed and in service; blanket terminal licensing and published NGSO fees not on record,
infra.store--local-data-centre-capacity-all-providers,4,,10,facilities,2026,outputs/datasets/data-centres/data-centres.csv@2026-09-19,,,2026-07-31,0,"10 of 23 multi-tenant facilities in service at Tier III or above, 7 on the operator's own statement",
